9a60051d28159f5716dd0bffe5bbc947f91b08ce954cc5d9687eb3a36ddadec5,3f9574e7c504f1c2ca33be20408e2548d4996f4b6fc31902d8dfe90b5d249d8f,07eb1a5b657556bea423a139ccc38cdf315768fda4855fa76fc29969a084cf8b,39b12119d03f43738a6eaa988073c371ec16366db8ed01d541cda801db23331b,881eac4d35aef47cc163e268e7348add3c27b7a8d25578e7a7efa94b141c1c5d,5f3aaa87730b4dfe7fa3abb8965e5666ea217387da97b9d1d1807ca19d668ee5,3ec52e07a1ad395c8132deeeeadfb48065f92eeb4239581217ec33192e37ba65,2a3edc8387e5574e42a946536a8f15d3b0445fddbfaf5f0d2d154c249f23bb22,1987c99e74df4be481716dd98f5fb2b19a0e009576b0bcdee29a96859d55baa1,4975a1e7a296b96109778e0bf185448f770e637f8ec3a94f10f7025d31537c16
"1001","","10001","126501","1","0","1","","最大50％割引確定のショップを開く（1品100％割引あり）","ライラエル"
"1002","","10001","105301","2","0","2","","最大1000マイルを入手する","モニカ"
"1003","","1","126401","1","0","3","","料理を{0}つ入手する","クローチェ"
"1004","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1","100501","3","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","マツリ"
"1005","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","101301","2","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","ナナカ"
"1006","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","104301","2","0","5","","出目が{0}のダイスを同時に振って\nどちらか選択できる","マコト"
"1007","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","102701","3","0","5","","出目が{0}のダイスを同時に振って\nどちらか選択できる","エリコ"
"1008","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","100901","1","0","6","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アンナ"
"1009","","10001","105101","1","0","1","","最大50％割引確定のショップを開く（1品100％割引あり）","ミツキ"
"1010","","10001","101801","2","0","2","","最大1000マイルを入手する","イオ"
"1011","ダイスの表と裏\nどちらを適用するか選択できる","0","129701","2","0","8","","ダイスの表と裏\nどちらを適用するか選択できる","ネフィ＝ネラ"
"1012","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1","101601","3","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","スズナ"
"1013","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","105601","2","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","ルカ"
"1014","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","102001","3","0","5","","出目が{0}のダイスを同時に振って\nどちらか選択できる","ミミ"
"1015","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","129601","1","0","6","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アネモネ"
"1016","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","1","100401","2","1","10","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","ミソギ"
"1017","出たダイスの目が{0}だった場合、\n+{1}進める","2","127701","3","1","13","","出たダイスの目が{0}だった場合、\n+{1}進める","リンド"
"1018","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","127801","2","1","10","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","ヴルム"
"1019","","10001","104801","1","0","1","","最大50％割引確定のショップを開く（1品100％割引あり）","ミフユ"
"1020","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","104701","2","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","ジュン"
"1021","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","105001","1","0","6","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ミサキ"
"1022","","10002","103201","1","0","2","","最大2000マイルを入手する","アキノ"
"1023","","1","130901","1","0","12","","福引券を{0}枚入手する","クルル"
"1024","","1","102501","1","0","3","","料理を{0}つ入手する","スズメ"
"1025","ダイスの表と裏\nどちらを適用するか選択できる","0","100801","2","0","8","","ダイスの表と裏\nどちらを適用するか選択できる","ユキ"
"1026","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","123301","2","0","5","","出目が{0}のダイスを同時に振って\nどちらか選択できる","ネア"
"1027","","10001","104601","1","0","1","","最大50％割引確定のショップを開く（1品100％割引あり）","タマキ"
"1028","ダイスの目を{0}回振りなおせる\n（あと{1}回）","2","118101","2","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","ランファ"
"1029","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","103401","1","0","6","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ユカリ"
"1030","","10002","118001","1","0","2","","最大2000マイルを入手する","クレジッタ"
"1031","","1","102801","1","0","12","","福引券を{0}枚入手する","サレン"
"1032","","1","100201","1","0","3","","料理を{0}つ入手する","ユイ"
"1033","出たダイスの目が{0}だった場合、\n+{1}進める","1","101201","3","1","13","","出たダイスの目が{0}だった場合、\n+{1}進める","ハツネ"
"1034","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1","118201","3","0","4","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","ミソラ"
"1035","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","106101","1","0","6","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ムイミ"
"1036","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","103101","2","0","5","","出目が{0}のダイスを同時に振って\nどちらか選択できる","シノブ"
"1037","","10001","103301","1","0","1","","最大50％割引確定のショップを開く（1品100％割引あり）","マヒル"
"1038","","10002","103601","1","0","2","","最大2000マイルを入手する","キョウカ"
"1039","","1","133001","1","0","12","","福引券を{0}枚入手する","グレイス"
"1040","","1","133101","1","0","3","","料理を{0}つ入手する","ヴァイオレット"
