9a4b01f53ff7b35e63611259e2c5161127dfb72fc0305ec9791d06b85cedab01,c25c9ba68ef5695953eae19e390f79ce8d98ec8c227e67ec3d19a8c3848e1be7,17f271595c2845cf72d16a81205d458a43d7f0b409a29e03fb6862ae0ed4567b,2e8587ffd7f954dabe1b5d486002212911652620316f0d6e31b7d3e902ae73ac,fa5cca086e825db2fc3da53426489f9b48d42cede92a27286efb4c1f0c7457c5,fb2cb16695ed2a6bf1b591b61b187c9053e323015667ba6651f78767cbfd221b,3673d0f47a43ad6f425ac6d2732e4455304fcf84777a3b7553efef3a216fe5e3,afccaab22b846122e628d7064fd2e435769294faf706b89f6677bfa43b1a79c2
"11001","1.ジュノー平野","1.ジュノー平野","bgm_M61","101","bgm_M61","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11002","2.パラス高原","2.パラス高原","bgm_M61_02","101","bgm_M61","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11003","3.ヘーベ丘陵","3.ヘーベ丘陵","bgm_M61_03","101","bgm_M61","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11004","4.ベスタ渓谷","4.ベスタ渓谷","bgm_M61_04","101","bgm_M61","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11005","5.ケレス森林","5.ケレス森林","bgm_M62_01","101","bgm_M62","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11006","6.フローラ湖畔","6.フローラ湖畔","bgm_M62_02","101","bgm_M62","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11007","7.メティス大瀑布","7.メティス大瀑布","bgm_M62_03","101","bgm_M62","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11008","8.イリス樹海","8.イリス樹海","bgm_M42_02","101","bgm_M42","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11009","9.フリガ雪原","9.フリガ雪原","bgm_M58","101","bgm_M58","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11010","10.ロレッタ海岸","10.ロレッタ海岸","bgm_M101","101","bgm_M101","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11011","11.ゲヌア砂漠","11.ゲヌア砂漠","bgm_M93","101","bgm_M93","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11012","12.ボノニア砂丘","12.ボノニア砂丘","bgm_M94","101","bgm_M94","2015/12/17 15:00:00","2030/12/17 14:59:59"
"11013","13.ドロテア湿地","13.ドロテア湿地","bgm_M118","101","bgm_M118","2015/12/17 15:00:00","2030/12/17 14:59:59"
