2275fa8f4e34538685366cabb26d7193f5513d7bc834a06b2829d2d414b575e2,aa918664a8f224ff3d918bc5160a95b13aa0a4aa9022e4b976fe17a5324ed3ee,c651b089942752c47237daa6becc71bc450ea857d7c598a4c55fe262344b608c,0fa4016df1550b74c8617fbb9879d55d26a21cc7833307402c001072005e400d,ecebfb301e0d68cd105e6f8987bc2bda8fc22cfada96aa7edc067de1f5ac7395,a07ee1b79ad8f14ce3718dbdd409d91f7e967151b09bff0a63cd6ac0ac42df05,3548bb7a634a3d43e74712ccc0b6f904f9380868b6903d25f34ac5f12eef184e,554d6d956f8035b94096b286f572fae3f5afd1f61cea6ee5c05ba84835ce4c11,b6aceaf3e6e993038244f5e9019a393a0353ac9f5df532f7287508075270e05e,4f5e1c955f159b2e456b9fc111a44f22bc5f3748b77b371276889f7db817f484,2cb7c73653b64cd4a87c92505fb6ba31404e0e82ca6012849942f645d148b0bb
"100111","78100111","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100111","１戦目"
"100112","78100112","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100112","２戦目"
"100113","78100113","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100113","３戦目"
"100114","78100114","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100114","４戦目"
"100115","78100115","bgm_MC295B","90","1001","2","1001","bgm_MC295B","103624","78100115","５戦目"
"100121","78100121","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100121","１戦目"
"100122","78100122","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100122","２戦目"
"100123","78100123","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100123","３戦目"
"100124","78100124","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100124","４戦目"
"100125","78100125","bgm_MC295B","90","1001","2","1001","bgm_MC295B","103624","78100125","５戦目"
"100131","78100131","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100131","１戦目"
"100132","78100132","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100132","２戦目"
"100133","78100133","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100133","３戦目"
"100134","78100134","bgm_MC294","90","1001","1","1001","bgm_MC294","103624","78100134","４戦目"
"100135","78100135","bgm_MC295B","90","1001","2","1001","bgm_MC295B","103624","78100135","５戦目"
"100211","78100211","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100211","１戦目"
"100212","78100212","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100212","２戦目"
"100213","78100213","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100213","３戦目"
"100214","78100214","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100214","４戦目"
"100215","78100215","bgm_MC295B","90","1002","2","1002","bgm_MC295B","103624","78100215","５戦目"
"100221","78100221","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100221","１戦目"
"100222","78100222","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100222","２戦目"
"100223","78100223","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100223","３戦目"
"100224","78100224","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100224","４戦目"
"100225","78100225","bgm_MC295B","90","1002","2","1002","bgm_MC295B","103624","78100225","５戦目"
"100231","78100231","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100231","１戦目"
"100232","78100232","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100232","２戦目"
"100233","78100233","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100233","３戦目"
"100234","78100234","bgm_MC294","90","1002","1","1002","bgm_MC294","103624","78100234","４戦目"
"100235","78100235","bgm_MC295B","90","1002","2","1002","bgm_MC295B","103624","78100235","５戦目"
"100311","78100311","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100311","１戦目"
"100312","78100312","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100312","２戦目"
"100313","78100313","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100313","３戦目"
"100314","78100314","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100314","４戦目"
"100315","78100315","bgm_MC295B","90","1003","2","1003","bgm_MC295B","103624","78100315","５戦目"
"100321","78100321","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100321","１戦目"
"100322","78100322","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100322","２戦目"
"100323","78100323","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100323","３戦目"
"100324","78100324","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100324","４戦目"
"100325","78100325","bgm_MC295B","90","1003","2","1003","bgm_MC295B","103624","78100325","５戦目"
"100331","78100331","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100331","１戦目"
"100332","78100332","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100332","２戦目"
"100333","78100333","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100333","３戦目"
"100334","78100334","bgm_MC294","90","1003","1","1003","bgm_MC294","103624","78100334","４戦目"
"100335","78100335","bgm_MC295B","90","1003","2","1003","bgm_MC295B","103624","78100335","５戦目"
"100411","78100411","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100411","１戦目"
