1eddb438c6244783bb4d4c40c986d621321e44f4f28e4134870262f3850e6a36,053c801553e4208b81662fc583eacb41b1569779935b77eb7bc1c2948dc97c02,2203b9df9487e06b8b54d09a8c5c022fd87a86972a5d11f6b8b3afe4a1c472cc,ba6677a5b70e01b1df9dffa6a665520ad0e7b7fb83481bb02d398481072e3fa1,bd90ebc198ae9a477a3858a1c041f68bd6209ab831d1f75ea64a347a53478fa4,0817d4ffcd79723cd725418d6c771bc2c222f5ca4e432842fe1295e956c85d4f,412ec2636c314fd2d5abd0d361af50552eed2c289e105a7a7456be512822c635,07be14f03813ead7c7aa312e9cb9079e77e752ce7adc53cc5daf18218c9a2400,7378bf6e1b2534fb5b0682702074b67a69b85062b10c0290c9f9532f243de5a2
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100101","100101","1001","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100102","100102","1001","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100103","100103","1001","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100104","100104","1001","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100105","100105","1001","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100106","100106","1001","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100107","100107","1001","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100108","100108","1001","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100109","100109","1001","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100110","100110","1001","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100111","100111","1001","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100112","100112","1001","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100113","100113","1001","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100114","100114","1001","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100115","100115","1001","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100116","100116","1001","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100117","100117","1001","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100118","100118","1001","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100119","100119","1001","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100120","100120","1001","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100121","100121","1001","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100122","100122","1001","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100123","100123","1001","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100124","100124","1001","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100125","100125","1001","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100126","100126","1001","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100201","100201","1002","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100202","100202","1002","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100203","100203","1002","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100204","100204","1002","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100205","100205","1002","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100206","100206","1002","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100207","100207","1002","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100208","100208","1002","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100209","100209","1002","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100210","100210","1002","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100211","100211","1002","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100212","100212","1002","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100213","100213","1002","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100214","100214","1002","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100215","100215","1002","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100216","100216","1002","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100217","100217","1002","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100218","100218","1002","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100219","100219","1002","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100220","100220","1002","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100221","100221","1002","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100222","100222","1002","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100223","100223","1002","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100224","100224","1002","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100225","100225","1002","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100226","100226","1002","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100301","100301","1003","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100302","100302","1003","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100303","100303","1003","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100304","100304","1003","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100305","100305","1003","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100306","100306","1003","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100307","100307","1003","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100308","100308","1003","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100309","100309","1003","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100310","100310","1003","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100311","100311","1003","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100312","100312","1003","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100313","100313","1003","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100314","100314","1003","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100315","100315","1003","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100316","100316","1003","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100317","100317","1003","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100318","100318","1003","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100319","100319","1003","5"
