f9c41f1b50f2bbf8d672197e2d780bacedb8bc6de1d8a0911634c09d6cf0364f,cfc4fc5a256afc16cfaaf20c578caf420a5636a87896dfedd03b324ce82f2cbf,b7a2d16d0e22f6bf4fc95483623daaee21093fc719938e4b40c0de85e968ff4a,31c919478fa117b00f98e42e84fa92f98c279ce00c065673baf9c3113659f612,a0daf84c133c0e473e684966b0bb9492f957249fb2273ab0ef0f90dbef74c303,1d5fd8da194feb1754aca6c3d3d0bd6dafe14e16fd06c141e2c3a9aaeaeda42e,7bcf9290d0ac7c4d39fbefe66121899a408e24c796333bf20e43ea02e9702035,57c6a2f763da9ae10ac5b552e129c291491000c96d28afcda7b08afe44ddd5de,8103bdf7231549cf01f48208240615b9b9d428c8f622f1817688fdae0f886ce0
"1","10","90001","30000","90043","10000","1","12000","0"
"2","20","90002","30000","90047","10000","2","24000","0"
"3","20","90002","30000","90047","10000","3","24000","0"
"4","20","90002","30000","90047","10000","4","24000","0"
"5","20","90002","30000","90047","10000","5","24000","0"
"6","20","90002","30000","90047","10000","6","24000","0"
"7","20","90002","30000","90047","10000","7","24000","0"
"8","20","90002","30000","90047","10000","8","24000","0"
"9","20","90002","30000","90047","10000","9","24000","0"
"10","20","90002","30000","90047","10000","10","24000","0"
"11","40","90003","30000","90051","10000","11","48000","90011"
"12","40","90003","30000","90051","10000","12","48000","90011"
"13","40","90003","30000","90051","10000","13","48000","90011"
"14","40","90003","30000","90051","10000","14","48000","90011"
"15","40","90003","30000","90051","10000","15","48000","90011"
"16","40","90003","30000","90051","10000","16","48000","90011"
"17","40","90003","30000","90051","10000","17","48000","90011"
"18","40","90003","30000","90051","10000","18","48000","90011"
"19","40","90003","30000","90051","10000","19","48000","90011"
"20","40","90003","30000","90051","10000","20","48000","90011"
"21","60","90004","30000","90055","10000","21","72000","90015"
"22","60","90004","30000","90055","10000","22","72000","90015"
"23","60","90004","30000","90055","10000","23","72000","90015"
"24","60","90004","30000","90055","10000","24","72000","90015"
"25","60","90004","30000","90055","10000","25","72000","90015"
"26","60","90004","30000","90055","10000","26","72000","90015"
"27","60","90004","30000","90055","10000","27","72000","90015"
"28","60","90004","30000","90055","10000","28","72000","90015"
"29","60","90004","30000","90055","10000","29","72000","90015"
"30","60","90004","30000","90055","10000","30","72000","90015"
"31","80","90005","30000","90059","10000","31","96000","90015"
"32","80","90005","30000","90059","10000","32","96000","90015"
"33","80","90005","30000","90059","10000","33","96000","90015"
"34","80","90005","30000","90059","10000","34","96000","90015"
"35","80","90005","30000","90059","10000","35","96000","90015"
"36","80","90005","30000","90059","10000","36","96000","90015"
"37","80","90005","30000","90059","10000","37","96000","90015"
"38","80","90005","30000","90059","10000","38","96000","90015"
"39","80","90005","30000","90059","10000","39","96000","90015"
"40","80","90005","30000","90059","10000","40","96000","90015"
"41","120","90005","30000","90063","10000","41","144000","90017"
"42","120","90005","30000","90063","10000","42","144000","90017"
"43","120","90005","30000","90063","10000","43","144000","90017"
"44","120","90005","30000","90063","10000","44","144000","90017"
"45","120","90005","30000","90063","10000","45","144000","90017"
"46","120","90005","30000","90063","10000","46","144000","90017"
"47","120","90005","30000","90063","10000","47","144000","90017"
"48","120","90005","30000","90063","10000","48","144000","90017"
"49","120","90005","30000","90063","10000","49","144000","90017"
"50","120","90005","30000","90063","10000","50","144000","90017"
"51","150","90006","30000","90067","10000","51","180000","90019"
"52","150","90006","30000","90067","10000","52","180000","90019"
"53","150","90006","30000","90067","10000","53","180000","90019"
"54","150","90006","30000","90067","10000","54","180000","90019"
"55","150","90006","30000","90067","10000","55","180000","90019"
"56","150","90006","30000","90067","10000","56","180000","90019"
"57","150","90006","30000","90067","10000","57","180000","90019"
"58","150","90006","30000","90067","10000","58","180000","90019"
"59","150","90006","30000","90067","10000","59","180000","90019"
"60","150","90006","30000","90067","10000","60","180000","90019"
"61","180","90007","30000","90071","10000","61","216000","90021"
"62","180","90007","30000","90071","10000","62","216000","90021"
"63","180","90007","30000","90071","10000","63","216000","90021"
"64","180","90007","30000","90071","10000","64","216000","90021"
"65","180","90007","30000","90071","10000","65","216000","90021"
"66","180","90007","30000","90071","10000","66","216000","90021"
"67","180","90007","30000","90071","10000","67","216000","90021"
"68","180","90007","30000","90071","10000","68","216000","90021"
"69","180","90007","30000","90071","10000","69","216000","90021"
"70","180","90007","30000","90071","10000","70","216000","90021"
