05237c47f6113a9a9626535de7ef1f554867f04a525c233c5e79596735134405,1e4125e6dd1e24dd812cb8ac89cb2d4c7c33061bd0404e69c929f87a6f68829c,ff67fa7f106c0501689c3222cdcce6686e308e12793909a507903da75dfc0803,6fe24f3c5c23dd0c23247ae7fdf253452fedb3c32a0c490f595baa616b10f82d,3fc71f729f172cb11bffefd91654eec7b2014c81e128a5d77956eb1a4e0727a3,c6a923f2f01d1f9f3a468011536961d2046d69490b6ad9594ad9adba705a8ce2,611ab920f41c6280d4ca7830102906c7b39ae8c56762361534e1e23a6129aab3,36e11d1454264a9a5eb8b7843e5d4923a867688902c0a705d606727ce9b0f2be
"170","-401","-90","182","1","1","71","1"
"170","-401","-90","182","2","2","81","1"
"255","-255","90","182","3","3","121","1"
"255","-255","90","182","4","4","131","1"
"255","-255","90","182","5","5","141","1"
"229","-107","-80","176","6","6","191","1"
"229","-107","-80","176","7","7","201","1"
"218","136","-85","151","8","8","271","1"
"218","136","-85","151","9","9","281","1"
"218","136","-85","151","10","10","291","1"
"156","280","80","219","11","11","331","1"
"156","280","80","219","12","12","341","1"
"156","280","80","219","13","13","351","1"
"213","417","-97","183","14","14","401","1"
"213","417","-97","183","15","15","411","1"
"242","-259","-73","229","1","2","451","2"
"226","-222","124","179","2","4","481","2"
"219","-101","-67","192","3","6","501","2"
"168","-26","-27","190","4","8","521","2"
"192","117","-50","260","5","11","551","2"
"159","241","120","138","6","14","601","2"
"159","241","120","138","7","14","611","2"
"224","243","-71","229","8","14","621","2"
"71","-353","32","43","1","1","781","3"
"235","-228","-30","268","2","2","801","3"
"80","-243","144","45","3","3","831","3"
"221","20","-76","225","4","4","851","3"
"211","230","-74","222","5","5","861","3"
"115","-100","44","136","6","6","891","3"
"115","-100","44","136","7","7","901","3"
"306","116","76","250","8","8","991","3"
"306","116","76","250","9","9","1001","3"
"306","116","76","250","10","10","1011","3"
"96","322","40","188","11","11","1041","3"
"96","322","40","188","12","12","1051","3"
"294","-211","-6","272","1","1","1091","4"
"92","-288","129","115","2","2","1101","4"
"92","-288","129","115","3","3","1111","4"
"135","-58","128","174","4","4","1121","4"
"222","143","133","184","5","5","1151","4"
"134","-277","-129","98","6","6","1161","4"
"134","-277","-129","98","7","7","1171","4"
"67","-60","-12","70","8","8","1211","4"
"67","-60","-12","70","9","9","1221","4"
"132","116","-55","185","10","10","1231","4"
"93","-17","-103","89","11","11","1261","4"
"93","-17","-103","89","12","12","1271","4"
"150","232","23","239","13","13","1311","4"
"114","-289","-161","72","1","1","1391","5"
"114","-289","-161","72","2","2","1401","5"
"228","-261","80","248","3","3","1411","5"
"223","-103","-91","211","4","4","1431","5"
"186","-87","95","181","5","5","1471","5"
"132","69","-122","176","6","6","1551","5"
"132","69","-122","176","7","7","1561","5"
"143","54","91","184","8","8","1611","5"
"211","204","45","247","9","9","1641","5"
"137","308","141","167","10","10","1651","5"
"175","282","-46","174","11","11","1661","5"
"222","-252","-11","240","1","1","1741","6"
"311","-19","-96","245","2","2","1761","6"
"261","-46","95","221","3","3","1771","6"
"166","152","83","237","4","4","1781","6"
"183","227","-100","229","5","5","1782","6"
"223","-249","-46","183","1","1","1811","7"
"337","-159","54","247","2","2","1881","7"
"202","30","-70","191","3","3","1921","7"
"176","173","0","215","4","4","1941","7"
"204","292","77","236","5","5","1981","7"
"209","-472","89","254","1","1","2001","8"
"250","-375","-77","282","2","2","2031","8"
"241","-280","110","223","3","3","2051","8"
"243","-148","-85","270","4","4","2101","8"
"274","3","74","264","5","5","2131","8"
"321","155","-36","302","6","6","2171","8"
"199","283","82","277","7","7","2201","8"
"349","374","0","344","8","8","2271","8"
"240","-275","-30","301","1","1","2321","9"
"106","-132","-115","108","2","2","2361","9"
"106","-132","-115","108","3","3","2371","9"
"202","-73","32","246","4","4","2381","9"
"114","-43","-140","84","5","5","2411","9"
"114","-43","-140","84","6","6","2421","9"
"86","50","65","84","7","8","2461","9"
"86","50","65","84","8","9","2471","9"
"185","80","-110","137","9","10","2481","9"
"185","80","-110","137","10","11","2491","9"
"301","131","24","377","11","7","2521","9"
"190","280","-50","305","12","12","2531","9"
"123","-527","-137","145","1","3","2601","10"
"123","-527","-137","145","2","4","2611","10"
"408","-379","35","295","3","1","2621","10"
"171","-299","103","192","4","2","2622","10"
"342","-138","-64","244","5","6","2623","10"
"224","-47","9","254","6","5","2701","10"
"253","131","-88","204","7","8","2781","10"
"110","89","23","139","8","9","2791","10"
"110","89","23","139","9","10","2801","10"
"292","275","42","249","10","7","2811","10"
"126","274","-120","151","11","11","2821","10"
"126","274","-120","151","12","12","2831","10"
"276","448","-17","316","13","13","2841","10"
"158","-292","-87","203","1","1","2901","11"
"256","-224","123","187","2","2","3011","11"
"144","-65","-80","225","3","3","3031","11"
"149","80","-84","214","4","4","3111","11"
