3472b38356cc334e563e013311d9bb21f45b05c6279f32ac686afdae0c1095b3,4476b569b9d6d3683b4de949781ce86f0f87fda3374d811372fd982530a367b7,3af0b44c36d7e5fbafdc90d9c6427cd9c9263034fe626cdaeff67e1a719c7827,55681370097f37d2dfdaf88507e8719e007aa754f56536e9f89b311cad8b2516,c49a5a125c720e90ab3b46f47c098167db5e699dc4fefabd54dfc9e1ae54e2ea,54afa9e1e6eb7f43f1500425bc37035c876d51ef0181690dbaf34636eb527519,9752a1b54cf8bedb6be5becda7ae499454c1dd4b095b0344374f98eaf53e83ef
"1006401","開会式","0","4","20036104","0","10064"
"1006402","開会式","0","3","20036104","0","10064"
"1006403","徒競走","1006402","1","20036104","0","10064"
"1006404","徒競走","1006402","4","20036104","0","10064"
"1006405","徒競走","1006402","2","20036104","0","10064"
"1006406","騎馬戦","1006405","2","20036104","0","10064"
"1006407","騎馬戦","1006405","4","20036104","0","10064"
"1006408","昼休憩","1006406","3","20036106","0","10064"
"1006409","昼休憩","1006406","4","20036106","0","10064"
"1006410","学術文化出展各種","1006408","3","20036106","0","10064"
"1006411","学術文化出展各種","1006408","4","20036106","0","10064"
"1006412","学術文化出展各種","1006408","1","20036106","0","10064"
"1006413","侍女風給仕喫茶","1006410","4","20036108","0","10064"
"1006414","侍女風給仕喫茶","1006410","3","20036108","0","10064"
"1006415","総合リレー","1006414","3","20036113","0","10064"
"1006416","総合リレー","1006414","4","20036113","0","10064"
"1006417","セレモニーステージ","1006415","1","0","2003601","10064"
"1006418","セレモニーステージ","1006415","4","0","2003601","10064"
"1006419","セレモニーステージ","1006415","2","0","2003601","10064"
"1006420","閉会式","1006419","3","0","2003601","10064"
"1006421","閉会式","1006419","4","0","2003601","10064"
"1006422","コンプリート演出","1006420","4","0","2003601","10064"
