530f495f8564886855cfe1cf3c7348543189435d5eea4b7e3ca2a910102c48df,b9531b250944b9c9abd475ad82a556f34d8d425e76a4f27b508fe58a6cd624f1,ef9e0262ba7bc8f393d4c86ab90a809a2c7ece634b4e5cc72d0ff5dd4c8a1fea,19e63bf1eabebb65191cddb9f259badd5885422755dc12a69114b57452627d80,07fcf63e7cd1c285a5435e726883b7f83216feb92dc274c84e9a51cf460091ed,3816ca4393e9db1463ebed0d94f293fd849092e340cc6cad214ce2067411e154,fb21866267e30860dc2909e33ae2bfe6e57c8a8f4c993e29c2e692f55da3384c,09eb36c5adde688721da38b40699ea2557f910185d8d935a20cc70339a8729b5
"10101020","3050100","1","1","24","0","1","0"
"0","4010200","2","1","24","0","2","0"
"10401020","3030200","3","1","24","0","3","0"
"10401020","3050200","4","1","24","0","4","0"
"10401020","3040200","5","1","24","0","5","0"
"10401020","3020200","6","1","24","0","6","0"
"0","4010300","7","1","24","0","7","0"
"10101020","3030100","8","1","24","0","101","0"
"0","3010201","9","1","24","0","102","0"
"0","3020201","10","1","24","0","103","0"
"0","3010301","11","1","24","0","104","0"
"0","3030301","12","1","24","0","105","0"
"0","3040301","13","1","24","0","106","0"
"0","3050301","14","1","24","0","107","0"
"0","3020301","15","1","24","0","108","0"
"10401050","3030300","16","1","24","0","109","0"
"10401050","3040300","17","1","24","0","110","0"
"10401050","3050300","18","1","24","0","111","0"
"10401050","3020300","19","1","24","0","112","0"
"10101020","3010100","20","1","24","0","201","0"
"10101020","3020100","21","1","24","0","202","0"
"10101020","3030100","22","1","24","0","203","0"
"10101020","3040100","23","1","24","0","204","0"
"10101020","3050100","24","1","24","0","205","0"
"10101020","3010200","25","1","24","0","206","0"
"10101020","3020200","26","1","24","0","207","0"
"10101020","3030200","27","1","24","0","208","0"
"10101020","3040200","28","1","24","0","209","0"
"10101020","3050200","29","1","24","0","210","0"
"0","1010301","30","1","24","112","401","0"
"0","1020301","31","1","24","203","402","0"
"0","1030301","32","1","24","306","403","0"
"0","1040301","33","1","24","401","404","0"
"0","1050301","34","1","24","508","405","0"
"20101050","1020301","35","1","24","209","406","0"
"20101050","1030301","36","1","24","306","407","0"
"20101050","1040301","37","1","24","407","408","0"
"20101050","1050301","38","1","24","501","409","0"
"0","0","39","1","15","0","600","11001337"
"0","0","40","150","8","0","600","91002"
"0","0","41","1","15","0","700","11001338"
"0","0","42","150","8","0","799","91002"
"0","0","43","1","15","0","800","11001339"
"0","0","44","1","24","0","999","0"
