35e4889e80898a1a5bb0a66361dfae8ebd70c1a56c571b69b89f6c447883f281,f5bd67c471a4fe8b2a2ee0800318722f3b20f92d03aa0fd0f6264eb6fe0a9cf0,f1af29740f4900670fef91b592d9595e09f1b08b587073ea477930aec5be5cae,62c7d7e1ac699b9139507f1b6aff1d113fd0a19063f80bac6babf8a7fca03279,10603b581c79f8655f39318ff59d2dca133bde396060f2c9939ec7141db18ded,0df62689584c39ae16e73abbd87f55ad37cbe56c24aac0ac66a4a70c785e8e0f
"118001","1013206","3001","2023/11/30 12:00:00","1","バトル開始後90秒間物理攻撃力極大\nアップ"
"118001","1013206","3002","2023/11/30 12:00:00","2","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ"
"118001","1013206","3010","2023/11/30 12:00:00","3","バトル開始後90秒間ＴＰ上昇大アップ"
"105801","1013206","3001","2023/11/30 12:00:00","4","バトル開始後90秒間物理攻撃力極大\nアップ"
"105801","1013206","3004","2023/11/30 12:00:00","5","バトル開始後90秒間魔法防御力極大\nアップ"
"105801","1013206","3005","2023/11/30 12:00:00","6","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）"
"107501","1013206","3001","2023/11/30 12:00:00","7","バトル開始後90秒間物理攻撃力極大\nアップ"
"107501","1013206","3002","2023/11/30 12:00:00","8","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ"
"107501","1013206","3010","2023/11/30 12:00:00","9","バトル開始後90秒間ＴＰ上昇大アップ"
"111801","1013206","3001","2023/11/30 12:00:00","10","バトル開始後90秒間物理攻撃力絶大\nアップ"
"111801","1013206","3004","2023/11/30 12:00:00","11","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効"
"121001","1013206","3001","2023/11/30 12:00:00","13","バトル開始後90秒間物理攻撃力絶大\nアップ"
"121001","1013206","3004","2023/11/30 12:00:00","14","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効"
"180401","1013206","3001","2023/11/30 12:00:00","16","バトル開始後90秒間物理攻撃力極大\nアップ"
"180401","1013206","3004","2023/11/30 12:00:00","17","バトル開始後90秒間魔法防御力極大\nアップ"
"180401","1013206","3005","2023/11/30 12:00:00","18","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）"
"127901","1013206","3003","2023/11/30 12:00:00","19","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"127901","1013206","3004","2023/11/30 12:00:00","20","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効"
"106601","1013406","3001","2023/12/31 12:00:00","21","バトル開始後90秒間物理攻撃力絶大\nアップ"
"106601","1013406","3012","2023/12/31 12:00:00","22","バトル開始後90秒間物理/魔法無効バ\nリア"
"101401","1013406","3003","2023/12/31 12:00:00","23","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"101401","1013406","3010","2023/12/31 12:00:00","24","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"101201","1013406","3003","2023/12/31 12:00:00","25","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"101201","1013406","3010","2023/12/31 12:00:00","26","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"116501","1013406","3001","2023/12/31 12:00:00","27","バトル開始後90秒間物理攻撃力絶大\nアップ"
"116501","1013406","3012","2023/12/31 12:00:00","28","バトル開始後90秒間物理/魔法無効バ\nリア"
"121601","1013406","3001","2023/12/31 12:00:00","29","バトル開始後90秒間物理攻撃力絶大\nアップ"
"121601","1013406","3012","2023/12/31 12:00:00","30","バトル開始後90秒間物理/魔法無効バ\nリア"
"128301","1013406","3001","2023/12/31 12:00:00","31","バトル開始後90秒間物理攻撃力極大\nアップ"
"128301","1013406","3012","2023/12/31 12:00:00","32","バトル開始後90秒間物理/魔法無効バ\nリア"
"112201","1013406","3003","2023/12/31 12:00:00","33","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"112201","1013406","3010","2023/12/31 12:00:00","34","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"115701","1013406","3003","2023/12/31 12:00:00","35","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"115701","1013406","3010","2023/12/31 12:00:00","36","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"113401","1013406","3003","2023/12/31 12:00:00","37","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"113401","1013406","3010","2023/12/31 12:00:00","38","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"128401","1013406","3003","2024/01/03 19:00:00","39","バトル開始後90秒間魔法攻撃力絶大\nアップ"
"128401","1013406","3010","2024/01/03 19:00:00","40","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"180701","1013406","3001","2023/12/31 12:00:00","41","バトル開始後90秒間物理攻撃力絶大\nアップ"
"180701","1013406","3010","2023/12/31 12:00:00","42","バトル開始後90秒間ＴＰ上昇大アップ"
"100101","1013606","3001","2024/01/31 12:00:00","43","バトル開始後90秒間物理攻撃力極大\nアップ"
"100101","1013606","3010","2024/01/31 12:00:00","44","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"100101","1013606","3013","2024/01/31 12:00:00","45","攻撃力吸収無効"
"100201","1013606","3003","2024/01/31 12:00:00","46","バトル開始後90秒間魔法攻撃力極大\nアップ"
"100201","1013606","3004","2024/01/31 12:00:00","47","バトル開始後90秒間魔法防御力極大\nアップ"
"100201","1013606","3010","2024/01/31 12:00:00","48","バトル開始後90秒間ＴＰ上昇特大アッ\nプ"
"100201","1013606","3013","2024/01/31 12:00:00","49","攻撃力吸収無効"
