82dc8786f3a1539b2f7fbe4b93f537676360ea23c08ebda425119e0787470a05,2ed1bebf862c580f8943632b9dca90a833e59e3339f63858505cedc80f153305,3929aabb797ff5bfb92b6b992b9592030268ebc71c03afa7695729e4740f2c26,258b5206ea02e0d049ba5c77e65e8c26d90920d00a4dfba3fcf78c81aad768bc
"20","2","1","20"
"30","3","1","30"
"80","3","2","50"
"160","3","3","80"
"60","4","1","60"
"160","4","2","100"
"340","4","3","180"
"700","4","4","360"
"1200","4","5","500"
"100","5","1","100"
"260","5","2","160"
"540","5","3","280"
"1020","5","4","480"
"1800","5","5","780"
"100","6","1","100"
"260","6","2","160"
"540","6","3","280"
"1020","6","4","480"
"1800","6","5","780"
"100","7","1","100"
"260","7","2","160"
"540","7","3","280"
"1020","7","4","480"
"1800","7","5","780"
"100","8","1","100"
"260","8","2","160"
"540","8","3","280"
"1020","8","4","480"
"1800","8","5","780"
"100","9","1","100"
"260","9","2","160"
"540","9","3","280"
"1020","9","4","480"
"1800","9","5","780"
"100","10","1","100"
"260","10","2","160"
"540","10","3","280"
"1020","10","4","480"
"1800","10","5","780"
