3f2e793d839547216f172614d9600ca97255f2de715859709f3f219859c3b435,37a1196af1a8cf564757e98385ab49ed885db22516176997ccd99eed01073181
"1","999999999"
"2","5"
"3","3"
"4","1"
"5","1"
"6","2"
"7","3"
"8","999999999"
"9","999999999"
"10","9"
"11","2"
"12","4"
"13","6"
"14","7"
"15","3"
"100","2"
"101","300"
"102","600"
"103","1200"
"104","2400"
"105","4800"
"106","9999"
"201","500"
"202","500"
"203","500"
"204","500"
"205","500"
"211","100"
"212","100"
"213","100"
"214","100"
"215","100"
"221","100"
"222","200"
"223","100"
"224","1000"
"225","1500"
"226","1500"
