ffa3c6e5205c80de18471fd4f7aee39bb18e7dd6092ae7bca9f6f5c8aafe4997,f50bad20f509276006218a57052e09e109e875720008c55bc94bbc5a1c5966cf,a2831361709be0411975f9324dd2525d0f96631d5ed5a85d307e1fe46225def2,09ee81175cf391a6f0d2d6ec4e3ca4fcccefff4c449fc7b981d11437ebf587aa
"18","1","4301511","1"
"18","2","4301512","1"
"18","3","4301513","1"
"18","4","4301514","1"
"18","5","4301515","1"
"2","6","26202","1"
"18","1","4302511","2"
"18","2","4302512","2"
"18","3","4302513","2"
"18","4","4302514","2"
"18","5","4302515","2"
"2","6","26202","2"
"18","1","4303511","3"
"18","2","4303512","3"
"18","3","4303513","3"
"18","4","4303514","3"
"18","5","4303515","3"
"2","6","26202","3"
"18","1","4304511","4"
"18","2","4304512","4"
"18","3","4304513","4"
"18","4","4304514","4"
"18","5","4304515","4"
"2","6","26202","4"
"18","1","4305511","5"
"18","2","4305512","5"
"18","3","4305513","5"
"18","4","4305514","5"
"18","5","4305515","5"
"2","6","26202","5"
"18","1","4301516","6"
"18","2","4301517","6"
"18","3","4301518","6"
"18","4","4301519","6"
"18","5","4301520","6"
"2","6","26202","6"
"18","1","4302516","7"
"18","2","4302517","7"
"18","3","4302518","7"
"18","4","4302519","7"
"18","5","4302520","7"
"2","6","26202","7"
"18","1","4303516","8"
"18","2","4303517","8"
"18","3","4303518","8"
"18","4","4303519","8"
"18","5","4303520","8"
"2","6","26202","8"
"18","1","4304516","9"
"18","2","4304517","9"
"18","3","4304518","9"
"18","4","4304519","9"
"18","5","4304520","9"
"2","6","26202","9"
"18","1","4305516","10"
"18","2","4305517","10"
"18","3","4305518","10"
"18","4","4305519","10"
"18","5","4305520","10"
"2","6","26202","10"
"18","1","4201511","11"
"18","2","4201512","11"
"18","3","4201513","11"
"18","4","4201514","11"
"18","5","4201515","11"
"2","6","26202","11"
"18","1","4202511","12"
"18","2","4202512","12"
"18","3","4202513","12"
"18","4","4202514","12"
"18","5","4202515","12"
"2","6","26202","12"
"18","1","4203511","13"
"18","2","4203512","13"
"18","3","4203513","13"
"18","4","4203514","13"
"18","5","4203515","13"
"2","6","26202","13"
"18","1","4204511","14"
"18","2","4204512","14"
"18","3","4204513","14"
"18","4","4204514","14"
"18","5","4204515","14"
"2","6","26202","14"
