49851390feaf77d256c4ea3ac3a03706f74c4d1372746dce1ed069f0b87be867,792f0a826658d652d491309e2f7637fd3bae6f1d7562c3e1f0c3406dfd49f286,0d99ef731ac313ac33d46aa3438b862e6b1de6804206d2d78fc855b356a34568,5ef87a89f63dbce7b91a316757b5085356c305a2dcc4f5a660bd2e819f0592b0
"1","20","2","20"
"1","30","3","30"
"2","50","3","80"
"3","80","3","160"
"1","60","4","60"
"2","100","4","160"
"3","180","4","340"
"4","360","4","700"
"5","500","4","1200"
"1","100","5","100"
"2","160","5","260"
"3","280","5","540"
"4","480","5","1020"
"5","780","5","1800"
"1","100","6","100"
"2","160","6","260"
"3","280","6","540"
"4","480","6","1020"
"5","780","6","1800"
"1","100","7","100"
"2","160","7","260"
"3","280","7","540"
"4","480","7","1020"
"5","780","7","1800"
"1","100","8","100"
"2","160","8","260"
"3","280","8","540"
"4","480","8","1020"
"5","780","8","1800"
"1","100","9","100"
"2","160","9","260"
"3","280","9","540"
"4","480","9","1020"
"5","780","9","1800"
"1","100","10","100"
"2","160","10","260"
"3","280","10","540"
"4","480","10","1020"
"5","780","10","1800"
"1","100","11","100"
"2","160","11","260"
"3","280","11","540"
"4","480","11","1020"
"5","780","11","1800"
