3631e7b374e17bad88602ca1f35c473f8d5614242124f5c431f7d6be60e0f0e3,2b9b830aecb9ec85a4b0c742b59a8d9ba8ab52ef7da653e57ebffe9ff1a7df47,b011aa3760f834820d0b0cab889e5a6cd94af22d632a75c8c8b3c452b2d9ca0e,ba7ff34425fd518c568a3665ad7f5851efa79f1b740900d8a18fdb156396e829,735717bc0ae7a2ac42c06f79997215c49af5ea3cdcabb28374688c2527cfa986,d392054765c97f700d45e2ba6456f3b037c6d864ea92bb57991bd6533f0fb2bd
"5201009","2","2","102010201","0","10201"
"5201010","3","2","102010202","0","10201"
"0","502510","3","102010301","0","10201"
"0","501220","2","102020201","0","10202"
"0","501201","3","102020301","0","10202"
"0","500801","2","102030201","0","10203"
"0","500031","3","102030301","0","10203"
"0","502360","2","102040201","0","10204"
"0","500030","3","102040301","0","10204"
"0","502170","2","102050201","0","10205"
"0","502080","3","102050301","0","10205"
