6d5fa3e21b0c08d3802a050a7c13354bea8796c25d680b609196044f0c4a4b6f,e88129f18995a5e08416aeb6a615685e842bd3cd9e063d41286c32b0e968006b,7d33b07a8e0adab52b39230c3f7f52c22afbf268a3a8a2aa1d86ab0de15ea7ae,83dfbfdc6f1d94f2a01529a7b9e3e22115756b08c4455583b6a371398582c052,b248df8c2ccc92f6a31ba657f847e1a64996d9accd965b79d5a9cb27914b5e4b
"2991101","0","0.07","2991101","0"
"2991102","0","0.08","2991102","0"
"2991103","0","0.07","2991103","0"
"2991104","0","20","2991104","0"
"2991105","0","40","2991105","0"
"2991106","0","60","2991106","0"
"2991107","15","15","2991107","-1"
"2991112","15","15","2991112","-1"
"2991117","0","0.07","2991117","0"
"2991118","0","0.08","2991118","0"
"2991119","0","0.09","2991119","0"
"2991120","0","0.1","2991120","0"
"2991121","0","4.08","2991121","0"
"2991122","0","4.09","2991122","0"
"2991123","0","4.1","2991123","0"
"2991124","0","4.08","2991124","0"
"2991125","0","4.09","2991125","0"
"2991126","0","4.1","2991126","0"
"2991127","0","0.08","2991127","0"
"2991128","0","0.08","2991128","0"
"2991129","0","0.08","2991129","0"
"2991132","0","0.5","2991132","0"
"2991133","0","0.5","2991133","0"
"2991134","15","15","2991134","-1"
"2991139","15","15.01","2991139","-1"
"2991144","15","15.02","2991144","-1"
"2991149","15","15","2991149","-1"
"2991154","15","15.01","2991154","-1"
"2991159","15","15.02","2991159","-1"
"2991164","0","0.07","2991164","0"
"2991165","0","0.08","2991165","0"
"2991166","0","0.09","2991166","0"
"2991167","0","0.07","2991167","0"
"2991168","20","20","2991168","-1"
"2991172","9","9","2991172","-1"
"2991177","0","20","2991177","0"
"2991178","0","40","2991178","0"
"2991179","0","60","2991179","0"
"2991180","0","0.07","2991180","0"
"2991182","0","4.08","2991182","0"
"2991183","0","0.07","2991183","0"
"2991184","0","0.07","2991184","0"
"2991185","0","0.07","2991185","0"
"2991186","20","20","2991186","-1"
"2991190","0","0.07","2991190","0"
"2999101","0","0.07","2999101","0"
"2999102","0","0.08","2999102","0"
"2999103","0","0.07","2999103","0"
"2999104","0","20","2999104","0"
"2999105","0","40","2999105","0"
"2999106","0","60","2999106","0"
"2999107","0","0.1","2999107","0"
"2999108","0","0","2999108","0"
"2999112","1","0.1","2999112","-1"
"2999113","0","0","2999113","0"
"2999117","0","0.07","2999117","0"
"2999118","0","0.08","2999118","0"
"2999119","0","0.09","2999119","0"
"2999120","0","0.1","2999120","0"
"2999121","0","4.08","2999121","0"
"2999122","0","4.09","2999122","0"
"2999123","0","4.1","2999123","0"
"2999124","0","4.08","2999124","0"
"2999125","0","4.09","2999125","0"
"2999126","0","4.1","2999126","0"
"2999127","0","0.08","2999127","0"
"2999128","0","0.08","2999128","0"
"2999129","0","0.08","2999129","0"
"2999130","0","0.08","2999130","0"
"2999132","0","0.5","2999132","0"
"2999133","0","0.5","2999133","0"
"2999134","15","15","2999134","-1"
"2999139","15","15.01","2999139","-1"
"2999144","15","15.02","2999144","-1"
"2999149","15","15","2999149","-1"
"2999154","15","15.01","2999154","-1"
"2999159","15","15.02","2999159","-1"
"2999164","0","0.07","2999164","0"
"2999165","0","0.08","2999165","0"
"2999166","0","0.09","2999166","0"
"2999167","0","0.07","2999167","0"
"2999168","20","20","2999168","-1"
"2999172","9","9","2999172","-1"
"2999177","0","20","2999177","0"
"2999178","0","40","2999178","0"
"2999179","0","60","2999179","0"
"2999180","0","0.07","2999180","0"
"2999182","0","4.08","2999182","0"
"2999185","0","0.07","2999185","0"
"2999186","0","0.07","2999186","0"
"2999187","0","0.07","2999187","0"
"2999188","0","0.07","2999188","0"
"2999189","0","0.07","2999189","0"
"2999190","0","0.07","2999190","0"
"2999191","0","1","2999191","0"
"2999192","0","0.08","2999192","0"
"2999193","0","0.07","2999193","0"
"2999194","0","1","2999194","0"
"2999195","30","30","2999195","-1"
"2999197","15","15","2999197","-1"
"2999202","0","0.07","2999202","0"
"2999203","0","0.08","2999203","0"
"2999204","0","0.05","2999204","0"
"2999205","0","0.08","2999205","0"
"2999206","0","0.08","2999206","0"
"2999207","1","4","2999207","-1"
