2c12b897671509cf30683237bd3282d2e278298f31f67935690c5edeef0625c8,e47f4d6e8e209458fc60c6fd7ac3671fb16c5d6b04020a6e770fd0cb58a045a6,baf468283047633b4305b69c7e58bcb839fe6cb21de4789ce0f61632fb45e87c,03a2af8662bb9a07cd736af1ab46fa513e6b3d2e14fb6302c2d76da3a7e36241,baef42c5e2fa8178cdcbb625c467db837cbc88940f92ff750b0362a788b180bd,96838161cea9f3ddbabd3566075e46384c22338c4acfe8128570ec127ed7be00,9e18f1057596d343b866fe83bca337eb4172fd4942ed512c05a97f23c40ffb7a,1be5bfe6e475032e11f39351f9afc4ce7d2be4efa41ed0509dd25e6888a8215b,78f040a43df16cb9733bd44de98c3ddb681ed37e68817861258fb0ee401641b3,e0bc80f0aadfe679eb22f35394e35b0770cd7eb3cfd422635b899dd61258b334,f1375170f6f5a9c5de0cbf2d178d4a52bb0f4d7f042f0fd107b8c2189942bf83,1096add348a260081bdbf0f5f4c010650193476a88c2edd39d0ff34b2041fe5f
"全対象のキャラから1人選んで仲間にできる。","0","0","1","全対象のセレクトサイン","99999999","11000000","1","0","0","0","0"
"プリンセスフェスのキャラから1人選んで仲間にできる。","0","999","1","プリンセスフェスのセレクトサイン","3600","11000999","1","0","0","0","0"
"アタッカーロールのキャラから1人選んで仲間にできる。","0","0","1","アタッカーロールのセレクトサイン","2800","11001000","1","0","0","0","1"
"ブレイカーロールのキャラから1人選んで仲間にできる。","0","0","1","ブレイカーロールのセレクトサイン","2800","11002000","1","0","0","0","2"
"バッファーロールのキャラから1人選んで仲間にできる。","0","0","1","バッファーロールのセレクトサイン","2800","11003000","1","0","0","0","3"
"デバッファーロールのキャラから1人選んで仲間にできる。","0","0","1","デバッファーロールのセレクトサイン","2800","11004000","1","0","0","0","4"
"ブースターロールのキャラから1人選んで仲間にできる。","0","0","1","ブースターロールのセレクトサイン","2800","11005000","1","0","0","0","5"
"ヒーラーロールのキャラから1人選んで仲間にできる。","0","0","1","ヒーラーロールのセレクトサイン","2800","11006000","1","0","0","0","6"
"タンクロールのキャラから1人選んで仲間にできる。","0","0","1","タンクロールのセレクトサイン","2800","11007000","1","0","0","0","7"
"ジャマーロールのキャラから1人選んで仲間にできる。","0","0","1","ジャマーロールのセレクトサイン","2800","11008000","1","0","0","0","8"
"【美食殿】のキャラから3人選んで仲間にできる。","0","0","1","【美食殿】のセレクトサイン","99999999","13000001","3","0","1","1","0"
"【トゥインクルウィッシュ】のキャラから3人選んで仲間にできる。","0","0","1","【トゥインクルウィッシュ】のセレクトサイン","99999999","13000002","3","0","1","2","0"
"【ラビリンス】のキャラから3人選んで仲間にできる。","0","0","1","【ラビリンス】のセレクトサイン","99999999","13000003","3","0","1","3","0"
"【王宮騎士団（NIGHTMARE）】のキャラから3人選んで仲間にできる。","0","0","1","【王宮騎士団（NIGHTMARE）】のセレクトサイン","99999999","13000008","3","0","1","8","0"
"【サレンディア救護院】のキャラから3人選んで仲間にできる。","0","0","1","【サレンディア救護院】のセレクトサイン","99999999","13000009","3","0","1","9","0"
"","0","0","2","バトル報酬ランダムサイン","99999999","21000000","1","0","0","0","0"
"全対象のキャラからランダムに1人仲間にできる。","0","0","3","全対象のランダムサイン","99999999","31000000","1","0","0","0","0"
"プリンセスフェスのキャラからランダムに1人仲間にできる。","0","999","3","プリンセスフェスのランダムサイン","1800","31000999","1","0","0","0","0"
"アタッカーロールのキャラからランダムに1人仲間にできる。","0","0","3","アタッカーロールのランダムサイン","1200","31001000","1","0","0","0","1"
"ブレイカーロールのキャラからランダムに1人仲間にできる。","0","0","3","ブレイカーロールのランダムサイン","1200","31002000","1","0","0","0","2"
"バッファーロールのキャラからランダムに1人仲間にできる。","0","0","3","バッファーロールのランダムサイン","1200","31003000","1","0","0","0","3"
"デバッファーロールのキャラからランダムに1人仲間にできる。","0","0","3","デバッファーロールのランダムサイン","1200","31004000","1","0","0","0","4"
"ブースターロールのキャラからランダムに1人仲間にできる。","0","0","3","ブースターロールのランダムサイン","1200","31005000","1","0","0","0","5"
"ヒーラーロールのキャラからランダムに1人仲間にできる。","0","0","3","ヒーラーロールのランダムサイン","1200","31006000","1","0","0","0","6"
"タンクロールのキャラからランダムに1人仲間にできる。","0","0","3","タンクロールのランダムサイン","1200","31007000","1","0","0","0","7"
"ジャマーロールのキャラからランダムに1人仲間にできる。","0","0","3","ジャマーロールのランダムサイン","1200","31008000","1","0","0","0","8"
"ラビリスタを仲間にできる。","0","40005","3","ラビリスタサイン","99999999","31040005","1","0","0","0","0"
"ジュンを仲間にできる。","0","40006","3","ジュンサイン","99999999","31040006","1","0","0","0","0"
"火属性のキャラからランダムに1人仲間にできる。","1","0","3","火属性のランダムサイン","1200","31100000","1","0","0","0","0"
"水属性のキャラからランダムに1人仲間にできる。","2","0","3","水属性のランダムサイン","1200","31200000","1","0","0","0","0"
"風属性のキャラからランダムに1人仲間にできる。","3","0","3","風属性のランダムサイン","1200","31300000","1","0","0","0","0"
"光属性のキャラからランダムに1人仲間にできる。","4","0","3","光属性のランダムサイン","1200","31400000","1","0","0","0","0"
"闇属性のキャラからランダムに1人仲間にできる。","5","0","3","闇属性のランダムサイン","1200","31500000","1","0","0","0","0"
