5ef32a0a3adb012afc252dca23c2ea68b38aaa070d705dbaf6af56c1c75c4ae6,53a42ca339e9a9d655c82c5b83082662e0cb0419837ee47791e7c264e70d2ab7,8bdbad772c321e092357e57275189f20a73f8902c83e7f0e853741d37b95fc39,bd4defd5b959a5d12efa76b868022b2b8dca3385c47112c30f7d681301c8a5f8,50491a5e2cc99a20176f3e1232b8b2ccb1831d1924efb15064ca3dacc51debe1,ac27264ae5563166c39d042c60897bd5e8ed4847bffc8baa6e410090bc5da25d
"0","10201","2","5201009","2","102010201"
"0","10201","2","5201010","3","102010202"
"0","10201","3","0","502510","102010301"
"0","10202","2","0","501220","102020201"
"0","10202","3","0","501201","102020301"
"0","10203","2","0","500801","102030201"
"0","10203","3","0","500031","102030301"
"0","10204","2","0","502360","102040201"
"0","10204","3","0","500030","102040301"
"0","10205","2","0","502170","102050201"
"0","10205","3","0","502080","102050301"
"0","10206","2","0","501030","102060201"
"0","10206","3","0","500160","102060301"
"0","10207","2","0","500690","102070201"
"0","10207","3","0","500163","102070301"
"0","10208","3","0","532300","102080201"
"0","10209","2","0","502460","102090201"
"0","10209","3","0","502290","102090301"
"0","10210","3","0","502080","102100201"
"0","10211","2","0","501460","102110201"
"0","10211","3","0","500037","102110301"
"0","10212","2","0","500341","102120201"
"0","10212","3","0","501470","102120301"
"0","10213","1","5213006","2","102130102"
"0","10213","1","5213010","3","102130103"
"0","10213","1","5213013","4","102130104"
"0","10213","3","0","502790","102130301"
"0","10214","2","0","502820","102140201"
"0","10214","3","0","502230","102140301"
"0","10215","1","5215007","2","102150102"
"0","10215","2","0","500194","102150201"
"0","10215","3","0","502830","102150301"
"0","10216","2","0","500361","102160201"
"0","10216","3","0","500360","102160301"
"0","10216","5","0","500140","102160501"
"0","10217","1","5217007","2","102170102"
"0","10217","2","0","502500","102170201"
"0","10217","3","0","502451","102170301"
