ef0e379bf2c9495873dc34b756f9a8b0b296a3ffeecd1c417a4af6abacb91e11,a4f1f7f7bc4bce9ae97c63003c78190ff52f7f7b621967067b62cddf00f7bedc,6739f511c981ee2a485e9e13f8bcfcc95ba90761f80b5e5723dc2c0b4e3aba0c,263e1a66df3fb963d8926b064fe12a7f5279bbdac9f26569acffb4b8411c907d,2648174bb2e3793b587dc3ec1728cd89df02e88479f03c4891fd965e0925d529,8ddacc41dc2a0f062590b6a3e7b8c1c3f722f030548d8aa8ecd27fa23a4ae897,87aeb51cd6d569364e87624b937d4038464001bb7d683dcf24817bc17f50448b,2b19baaa958f4c72e854c7e50b3a79033215e4b58398a56d8d98f1751f34d7fb,bcb5d79d552b2b58e405e5396d2e30135c7f04f05aaff16814a0ca24bdaecd1e,b0c107f0f658ee6d73cec46dca2507acf638533cd7e9950d3a99d04ff06daa48
"1","0","ウヅキとリンのメモリー","0","0","0","7001","10174","0","10174101"
"2","0","ニュージェネレーションズのメモリー","0","0","0","7002","10174","0","10174103"
"4","0","ウヅキとミオのメモリー","0","0","0","7003","10174","0","10174103"
"6","0","美食殿のメモリー","0","0","0","7004","10174","0","10174105"
"7","0","リンとミオのメモリー","0","0","0","7005","10174","0","10174105"
"8","0","ニュージェネレーションズのメモリー","0","0","0","7006","10174","0","10174105"
"9","0","ニュージェネレーションズと美食殿のメモリー","0","0","0","7007","10174","0","10174107"
"10","0","美食殿のメモリー","0","0","0","7008","10174","0","10174107"
"14","0","ニュージェネレーションズと美食殿のメモリー","0","0","0","7009","10175","0","10175105"
"3","0","ニュージェネレーションズのメモリー","0","0","0","7102","10174","0","10174103"
"5","0","美食殿のメモリー","0","0","0","7103","10174","0","10174103"
"11","0","ニュージェネレーションズと美食殿のメモリー","0","0","0","7104","10174","0","10174107"
"12","0","ニュージェネレーションズと美食殿のメモリー","0","0","0","7105","10175","0","10175105"
"13","0","ニュージェネレーションズと美食殿のメモリー","0","0","0","7106","10175","0","10175105"
"15","2405","","7","0","1","7201","10174","1","10174101"
