f23a63cd40c9f8cf17af51687d2be9eb7f54a662e30ad0195badb4ec6bdda418,15e194eae63f5afc0eead7c3247586e34bf3e695bee6d94311daadac7fcb0e4f,e5731afbc0fc725e7fed25769c14f289df20038a791a831a1a8dbb7322d283c4,8e0c4c67022de697d52f4b6946bab7a2cf10a43fffcb58cf3a346d1828d87cee,5ff471756edae4d0540a5648052c33169426eb64f983d7eee3d97b95f9d7445f,a09c227d34078b43af18c0501e6bc71c3eb8946bb5a0221e86ead860f68f5dbc,d5acbdb8295a1e6734b5af3ef548966280cb1c7ab7260e2fcc60ca2881d1e887,6d7fe6689c0299d27d0c114d3c3634c47c58bd945c428bcc2e37569265a0dddf,09b5f34a3c83fefd7ef385e846c5cfc214475a79a61ba6dce10d26408881241b,8178765213fe61beab300b6604721855ba4c3fb7df252bf0f85c896cd3aa20ac
"最大50％割引確定のショップを開く（1品100％割引あり）","1001","126501","1","ライラエル","0","","","1","10001"
"最大1000マイルを入手する","1002","105301","2","モニカ","0","","","2","10001"
"料理を{0}つ入手する","1003","126401","1","クローチェ","0","","","3","1"
"ダイスの目を{0}回振りなおせる","1004","100501","3","マツリ","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","1"
"ダイスの目を{0}回振りなおせる","1005","101301","2","ナナカ","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","2"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","1006","104301","2","マコト","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","5","4"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","1007","102701","3","エリコ","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","5","3"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","1008","100901","1","アンナ","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","6","7"
"最大50％割引確定のショップを開く（1品100％割引あり）","1009","105101","1","ミツキ","0","","","1","10001"
"最大1000マイルを入手する","1010","101801","2","イオ","0","","","2","10001"
"ダイスの表と裏\nどちらを適用するか選択できる","1011","129701","2","ネフィ＝ネラ","0","ダイスの表と裏\nどちらを適用するか選択できる","","8","0"
"ダイスの目を{0}回振りなおせる","1012","101601","3","スズナ","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","1"
"ダイスの目を{0}回振りなおせる","1013","105601","2","ルカ","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","2"
"出目が{0}のダイスを同時に振って\nどちらか選択できる","1014","102001","3","ミミ","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","","5","3"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","1015","129601","1","アネモネ","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","6","7"
"出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1016","100401","2","ミソギ","1","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","","10","1"
"出たダイスの目が{0}だった場合、\n+{1}進める","1017","127701","3","リンド","1","出たダイスの目が{0}だった場合、\n+{1}進める","","13","2"
"出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1018","127801","2","ヴルム","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","","10","1"
"最大50％割引確定のショップを開く（1品100％割引あり）","1019","104801","1","ミフユ","0","","","1","10001"
"ダイスの目を{0}回振りなおせる","1020","104701","2","ジュン","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","2"
"出目の合計が{0}以上になるまで\nダイスを追加で振れる","1021","105001","1","ミサキ","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","6","7"
"最大2000マイルを入手する","1022","103201","1","アキノ","0","","","2","10002"
"福引券を{0}枚入手する","1023","130901","1","クルル","0","","","12","1"
"料理を{0}つ入手する","1024","102501","1","スズメ","0","","","3","1"
