a9772b56eaebbf3fd42caab33c9301c254704cda3a186b78e8f046961531e223,8b1eeaef16f82e440a46379cd957e98beb7838a92f20fb525f8fceab3613c25f,26fb91b170214fcf5f95d5a41d699e4b26e894ffc492481182857d56594fa9e0,86f83002dfb8635bed74c05e37326be880710b80f5da464f45e55dd144f5993a,508c09b83abffe9232fd8b7c88957ca9131951906efb5b07a6ab9e9e0b2e2cc5,63eddb624bdc934ac2dca387096a7d80b8881d0179b4f14232c1e7c5442d0497,9a9e9aa061a50873745977e1f284a59b4170d9eb4bf00b3a4ec074a0a11479df,8511b1dc4a1049f669d197bdda7d2ba39547de5302b3a32c0c09f1a1d9c61238,f1ce67e64f9f6821dda562f49c5b6eea87fd027b0d93db28db82fe047fbdd544,9ab0e1a8ea5f859c8eaf4c5e8db65c0f55f3e860c2356cbcf5a7851e2ae3bfdf,23ed85ef336d3d2af89f9609dd7828e4ecf1a532018c073910e41b13a73a99df
"2","8","25011","8","281001001","1","91002","10","2","25021","31"
"2","8","25011","8","281001002","2","91002","10","2","25021","31"
"2","8","25011","8","281001003","3","91002","10","2","25021","32"
"2","8","25011","8","281001004","4","91002","10","2","25021","32"
"2","8","25011","8","281001005","5","91002","10","2","25021","33"
"2","8","25011","9","281001006","6","91002","10","2","25021","33"
"2","8","25011","9","281001007","7","91002","10","2","25021","34"
"2","8","25011","9","281001008","8","91002","10","2","25021","35"
"2","8","25011","9","281001009","9","91002","10","2","25021","35"
"2","8","25011","10","281001010","10","91002","30","2","25021","37"
"2","8","25011","10","281001011","11","91002","10","2","25021","41"
"2","8","25011","11","281001012","12","91002","10","2","25021","43"
"2","8","25011","11","281001013","13","91002","10","2","25021","46"
"2","8","25011","12","281001014","14","91002","10","2","25021","48"
"2","8","25011","12","281001015","15","91002","10","2","25021","50"
"2","8","25011","13","281001016","16","91002","10","2","25021","53"
"2","8","25011","14","281001017","17","91002","10","2","25021","55"
"2","8","25011","14","281001018","18","91002","10","2","25021","58"
"2","8","25011","15","281001019","19","91002","10","2","25021","60"
"2","8","25011","15","281001020","20","91002","30","2","25021","62"
"2","8","25011","16","281001021","21","91002","10","2","25021","68"
"2","8","25011","16","281001022","22","91002","10","2","25021","70"
"2","8","25011","16","281001023","23","91002","10","2","25021","72"
"2","8","25011","17","281001024","24","91002","10","2","25021","75"
"2","8","25011","18","281001025","25","91002","10","2","25021","77"
"2","8","25011","18","281001026","26","91002","10","2","25021","79"
"2","8","25011","19","281001027","27","91002","10","2","25021","82"
"2","8","25011","19","281001028","28","91002","10","2","25021","84"
"2","8","25011","19","281001029","29","91002","10","2","25021","86"
"2","8","25011","20","281001030","30","91002","30","2","25021","89"
"2","8","25011","20","281001031","31","91002","10","2","25021","94"
"2","8","25011","21","281001032","32","91002","10","2","25021","96"
"2","8","25011","21","281001033","33","91002","10","2","25021","99"
"2","8","25011","22","281001034","34","91002","10","2","25021","101"
"2","8","25011","22","281001035","35","91002","10","2","25021","103"
"2","8","25011","23","281001036","36","91002","10","2","25021","106"
"2","8","25011","23","281001037","37","91002","10","2","25021","108"
"2","8","25011","24","281001038","38","91002","10","2","25021","111"
"2","8","25011","25","281001039","39","91002","10","2","25021","113"
"2","8","25011","25","281001040","40","91002","30","2","25021","115"
"2","8","25011","26","281001041","41","91002","10","2","25021","121"
"2","8","25011","27","281001042","42","91002","10","2","25021","123"
"2","8","25011","28","281001043","43","91002","10","2","25021","125"
"2","8","25011","28","281001044","44","91002","10","2","25021","128"
"2","8","25011","29","281001045","45","91002","10","2","25021","130"
"2","8","25011","30","281001046","46","91002","10","2","25021","132"
"2","8","25011","30","281001047","47","91002","10","2","25021","135"
"2","8","25011","31","281001048","48","91002","10","2","25021","137"
"2","8","25011","31","281001049","49","91002","10","2","25021","139"
"2","8","25011","31","281001050","50","91002","30","2","25021","142"
