4ff973c122b296a7b617df6b2d3946c46cb86e9d749ef1feea65fe024945ecb4,d1802571898b7a4171a1a6ddfe0de8d2b653f99754c3686feaa0c85f8d930576,ce092db4a2e2e5d344140403fd34079f5c9b036e30d153979dcdd680cff270de,58be9d62dcc14d1b48e27272c3ed7aa4d26c2f61794d5b00dac0e62e0cb5e86c
"2019/03/01 4:59:59","2019/02/15 5:00:00","10000","1st Anniversary スペシャルログインボーナス"
"2019/05/07 4:59:59","2019/04/27 5:00:00","10001","GW スペシャルログインボーナス"
"2019/09/01 4:59:59","2019/08/15 5:00:00","10002","1.5Year Anniversary スペシャルログインボーナス"
"2020/03/01 4:59:59","2020/02/15 5:00:00","10003","2nd Anniversary スペシャルログインボーナス"
"2020/09/01 4:59:59","2020/08/15 5:00:00","10004","2.5 Year Anniversary スペシャルログインボーナス"
"2021/03/01 4:59:59","2021/02/15 5:00:00","10005","3rd Anniversary スペシャルログインボーナス"
"2021/09/01 4:59:59","2021/08/15 5:00:00","10006","3.5 Year Anniversary スペシャルログインボーナス"
"2022/03/01 4:59:59","2022/02/15 5:00:00","10007","4th Anniversary スペシャルログインボーナス"
"2022/09/01 4:59:59","2022/08/15 5:00:00","10008","4.5 Year Anniversary スペシャルログインボーナス"
"2023/03/01 4:59:59","2023/02/15 5:00:00","10009","5th Anniversary スペシャルログインボーナス"
"2023/09/01 4:59:59","2023/08/15 5:00:00","10010","5.5 Year Anniversary スペシャルログインボーナス"
"2024/03/01 4:59:59","2024/02/15 5:00:00","10011","6th Anniversary スペシャルログインボーナス"
"2024/09/01 4:59:59","2024/08/15 5:00:00","10012","6.5 Year Anniversary スペシャルログインボーナス"
"2025/03/01 4:59:59","2025/02/15 5:00:00","10013","7th Year Anniversary スペシャルログインボーナス"
"2025/09/01 4:59:59","2025/08/15 5:00:00","10014","7.5 Year Anniversary スペシャルログインボーナス"
"2026/03/01 4:59:59","2026/02/15 5:00:00","10015","8th Anniversary スペシャルログインボーナス"
