279bc75982fc8884e3684d141703194774b96f3f48def5bb7a88eb01de4cd723,5911ff91593a4475e4399a0ae0f4a31319d4260a77afc25683cbcc723e4b4266,a2b849ec8b74f2569f8f57b9841d38697964414b8f9484e80477523e6eb89aaf,279cd026763792c986b8d05821d909c60f1cfec61ba018dfc4647772a6cd5332,565cfb5e56d8d6613e755ff25fc86b314e407b0617baa14eaaad5f3d30fb2100,7f97fe69c9f9a10a44b13205799fec73a553830d8f379c8582b1d4d8c4522945,51e0f6b69386118bfcf298b2710ba9776bd1200b6cf60e1e3d7b256fa6db3f48,6c0428e4d992fea0ca3d88f0253aa23581e42cc838f7b81957cbc545cac34855,aeda0680adaa69dede269329a8a13a8dece23df6deb4f9af6e850da89d2ea073,dbdc55f79a40cfe7f30c1f95eb775a0616096c47fb8edf3020a25867224e04d6,47cbaf264f35ceca4dfc600b979a34f2e51eaf746de345d0afbfa4f4551960d1
"1","talk_sad","1","12001","0","52","30","-250","2.2","12","5"
"1","","1","12002","0","1","1","0","0","12","6"
"0","black","0","12003","0","29","50","0","1","12","5"
"1","","0","12004","0","1","1","0","0","12","6"
"","","0","12005","","","","","","12","91"
"1","","1","12006","0","1","1","1","0.2","12","6"
"1","","0","12007","0","1","1","1","0.2","12","6"
"-20","","1","12008","","-250","0.3","2","","12","2"
"0","","0","12009","","0","0.3","2","","12","2"
"0","","0.6","12010","","","","","","12","93"
"vo_asb_0121","","vo_asb","12011","","0","0","","","12","21"
"思えば手土産すらも、\n持参できず仕舞いでした……","0","1","12012","0","10","1","1","0","12","11"
"","","0","12013","","0","0","","","12","91"
"guts2_talk_shy","","1","12014","","1","","","0.2","12","3"
"vo_asb_0122","","vo_asb","12015","","0","0","","","12","21"
"次に伺う時は必ず……！","0","1","12016","0","10","1","1","0","12","11"
"","","0","12017","","0","0","","","12","91"
"sad_talk_surprise","","1","12018","","1","","","0.2","12","3"
"vo_asb_0123","","vo_asb","12019","","0","0","","","12","21"
"……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","0","1","12020","0","10","1","1","0","12","11"
"","","0","12021","","0","0","","","12","91"
"surprise_talk_dere","","1","12022","","1","","","0.3","12","3"
"vo_asb_0124","","vo_asb","12023","","0","0","","","12","21"
"やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","0","1","12024","0","10","1","1","0","12","11"
"","","0","12025","","0","0","","","12","91"
"sad_talk_riri_in","","1","12026","0","0","sad_idle_red_riri","1","0.4","12","3"
"vo_asb_0125","","vo_asb","12027","","0","0","","","12","21"
"……一緒に……手土産を……\n……ぽっ。","0","1","12028","0","10","1","1","0","12","11"
"","","0","12029","","0","0","","","12","91"
"","","12031","12030","","","","","","12","101"
"1","","1","12031","0","1","1","0","0.3","12","6"
"1","","0","12032","0","1","1","0","0.3","12","6"
"-120","","1","12033","","-250","0.3","1","","12","2"
"-100","","0","12034","","0","0.3","1","","12","2"
"0","","0","12035","","","","","","12","22"
"0","","0.4","12036","","","","","","12","93"
