4850f9c54128d0c092de3d2505e72d532761050a93ddffa0f600ddade181b7dc,9ee3dbd3d4501bb667562670a11a6d4f0ad5ffe79fc49096eed46e1f8db883bd,7342e8ddca3714828199ebeb339fbb7d23e015d1aaeee155f6b20a9127e8f594,6b2c7ba0942a125ec715659927242ffa17a5e40c71a5c012bb5c89e8f57866cd,11bf50b771b8d4db7d66394fac740d471bd3aea33198becd5eb5ca72eb8bd6b6
"0","3","1","803100201","3001"
"0","3","2","803100202","3001"
"0","3","3","803100203","3001"
"0","3","1","803100204","3002"
"0","3","2","803100205","3002"
"0","3","3","803100206","3002"
"0","3","1","803100207","3003"
"0","3","2","803100208","3003"
"0","3","3","803100209","3003"
"0","3","1","803100210","3004"
"0","3","2","803100211","3004"
"0","3","3","803100212","3004"
"0","3","1","803100213","3005"
"0","3","2","803100214","3005"
"0","3","3","803100215","3005"
"0","3","1","803100216","3006"
"0","3","2","803100217","3006"
"0","3","3","803100218","3006"
"0","3","1","803100219","3007"
"0","3","2","803100220","3007"
"0","3","3","803100221","3007"
