2c5431244d501ac2bed437c782e8158e4132bff9585ed8a017f7b526e27fc498,f8fb4d218f1d665a7db338837c3c1ec6e8f0584ba96621d12bc18a739406cf31,6d6f5cbcfeb71a4404a743e27f738c1ff3ed23268d161d4c143ccf2adaed23f6
"6","32001","エレクトロ・ギガス"
"7","32001","壊乱の黒鎧騎士"
"8","32001","ライライ"
"9","32001","ニードルクリーパー"
"10","32001","白陽・黒月の守護像"
"6","32002","エレクトロ・ギガス"
"7","32002","壊乱の黒鎧騎士"
"8","32002","ライライ"
"9","32002","ニードルクリーパー"
"10","32002","白陽・黒月の守護像"
"6","32003","ハイ・ガルグ"
"7","32003","カース・オラム"
"8","32003","ワイルドグリフォン"
"9","32003","ジャッカルシーフ"
"10","32003","黒月・白陽の守護像"
"6","32004","マスター・ウキキー"
"7","32004","キリングオルカ"
"8","32004","ランドスロース"
"9","32004","マッドベア"
"10","32004","ラースドラゴン"
"6","32005","イワノヅチ"
"7","32005","水瑚麟"
"8","32005","ワイバーン"
"9","32005","マダムプリズム"
"10","32005","ラースドラゴン"
"6","32006","ロード・イビリィ"
"7","32006","紅極鳥"
"8","32006","ライライ"
"9","32006","オークチーフ"
"10","32006","ラースドラゴン"
"6","32007","エレクトロ・ギガス"
"7","32007","クリスタルゴーレム"
"8","32007","ランドスロース"
"9","32007","ソードコブラ"
"10","32007","アルティマガーディアン"
"6","32008","マスター・ウキキー"
"7","32008","カース・オラム"
"8","32008","ゴブリンライダー"
"9","32008","ライデン"
"10","32008","アルティマガーディアン"
"6","32009","イワノヅチ"
"7","32009","紅極鳥"
"8","32009","ワイバーン"
"9","32009","トライロッカー"
"10","32009","アルティマガーディアン"
"6","32010","マスター・ウキキー"
"7","32010","ゴブリンメイスター"
"8","32010","フロストハウンド"
"9","32010","スカイワルキューレ"
"10","32010","ゴブリンロード"
"6","32011","壊乱の黒鎧騎士"
"7","32011","オクタスキッド"
"8","32011","ゴブリングレート"
"9","32011","ティタノタートル"
"10","32011","ゴブリンロード"
"6","32012","ハイ・ガルグ"
"7","32012","カース・オラム"
"8","32012","ワイルドグリフォン"
"9","32012","オブシダンワイバーン"
"10","32012","ゴブリンロード"
