947c64b74bc3c2d5ab5ff7c20b7dbff6e9b03e591a13884b2f9c36b926b62bb9,49532ae1abed5e36db30c5777acad97d22596ac9b17908cdaa88fae044b9cf09,2ec290f95b7d62020d9f4b528f5802db78db4c15b4155579760c143a72e60396,e00cb23af1e602cc77913909f890c21b5a712031cc0bc1c53cf46be68b7e74a6,800819a992b0dd604eb6f5e96d9844135b704ba8d810976f6b16200dfdb57e27,f02e24f46feaaeb8813943e1850c5d487b9f509bdf5666bda3e3b232366ed7cf,283a00bbebfff9b6c7d81b9214539d2690c2252937f8aa8db715b3ff081f5d1d,506355ab49b85f635395326c3ab5fabf444651f1d3df00cc4491f16a66f8a102,15d7deea7c35555aff365acb41b3fce752607c56c02c256f0b062a4748e9744c,cf0b6728e1abaf815118f48355e3d73ba93ecade365cc9de213a8ce975ca72d4,fd2f640bca4b2e80044ba3c9bb935f1af107b4e969386152c9cc0a9d150a438c
"111001","wac_215_karin_idle_normal","1","2","-273","111","-345","0","202","118511","1"
"111002","wac_215_idle_joy1","1","2","170","111","-355","1","205","105811","1"
"111003","wac_215_idle_normal_joy","1","2","50","111","-325","1","202","105911","1"
"111004","wac_215_idle_arm_crossed","1","2","300","111","-330","1","203","106011","1"
"111005","wac_215_idle_normal2","1","2","450","111","-360","1","204","106431","1"
"111006","","131","","","111","","","","","1"
"112001","","93","","","112","","","","0","1"
"112002","","3","0.2","","112","","","1","wac_215_karin_talk_normal","118511"
"112003","","21","","0","112","","","0","vo_wac_220215_000","vo_wac_220215"
"112004","0.5","11","0","1","112","1","0","10","【美食殿】のみなさん、\n来ていただいてありがとうございます！","118511"
"112005","","91","","","112","","","","","112004"
"112006","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112007","","3","0.2","wac_215_talk_normal","112","1","0.2","0","wac_215_peko_oissu","105811"
"112008","","21","","0","112","","","0","vo_wac_220215_001","vo_wac_220215"
"112009","0.5","11","0","1","112","1","0","10","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","105811"
"112010","","91","","","112","","","","","112009"
"112011","","3","0.2","","112","","","1","wac_215_idle_normal","105811"
"112012","","3","0.2","","112","","","1","wac_215_karin_talk_normal","118511"
"112013","","21","","0","112","","","0","vo_wac_220215_002","vo_wac_220215"
"112014","0.5","11","0","1","112","1","0","10","今日はみなさんにお願いしたい\n重要な依頼があるんです。","118511"
"112015","","91","","","112","","","","","112014"
"112016","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112017","","3","0.2","wac_215_talk_arm_crossed_loop","112","1","0","0","wac_215_talk_arm_crossed","106011"
"112018","","21","","0","112","","","0","vo_wac_220215_003","vo_wac_220215"
"112019","0.5","11","0","1","112","1","0","10","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","106011"
"112020","","91","","","112","","","","","112019"
"112021","","3","0.2","","112","","","1","wac_215_idle_arm_crossed","106011"
"112022","","3","0.2","","112","","","1","wac_215_karin_talk_normal","118511"
"112023","","21","","0","112","","","0","vo_wac_220215_004","vo_wac_220215"
