7537a788b69f3e65a36da196089e90efc0a1642c2a4b23aa490491c0db169cd4,a97c18174d05a2110243a73e90445cf00823ee71f86310b1906914327764c620,ba7a1f01887c2eaee273d9e0e1faf4dcc48f8f63c43d8ed4f77227815c18b7a4,9fe2aefabca64370d14797683f4e88472a71822ecba9c93cda95e5c4e6890bc1,7e424f3ac2a95e47261bc9437ce50fa0ddab5f49e468b1bc86c51f9100ca60a1,73d4bfa23897f1ac8859be7f1d460a91a4d31297a39caed270fc44cff913f176,8108c132c85281b04501776d8cd41fe93b8bf7c43be20767ac99d2c1882545cd,d4f7a95b361af48f8efbf11aa318a886aaf13914d438dc7a632e56a4e3666a8a,f2516964c13bbdbcac2ff2b14576916179018c8e19cfcbc5c2024ba061f0c86c,a6d4dc7bfe68a03293b7491d04c2196faa3d3e971a3a051b49526f577f9eb0ab,cd799f42c5b7ec33dbe66ba770308a47f0d9b98fd40e63038ed66a9b5d90ffc9
"1","1","1","cmn_talk_def_N","850","1.5","1032501","1032501001","-220","400","103211"
"8","31","","","0","1","1032501","1032501002","1","0","8"
"7","31","","","0","1","1032501","1032501003","1","0","7"
"83","31","","","0","1","1032501","1032501004","1","0","83"
"3","31","","","0","1","1032501","1032501005","1","0","3"
"2","31","","","0","1","1032501","1032501006","1","0","2"
"1","31","","","0","1","1032501","1032501007","1","0","1"
"12","31","","","0","0","1032501","1032501008","1","0","12"
"103211","3","","","1","0.3","1032501","1032501009","","","blb_run_01"
"103211","2","","","-220","","1032501","1032501010","0","1.3","90"
"bgm_M321","25","","","0","","1032501","1032501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1032501","1032501012","0","1.25","0"
"12","32","","","0","1","1032501","1032501013","1","0","1"
"se_common","23","","","0","","1032501","1032501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1032501","1032501015","","",""
"103211","3","0.3","","0","0.05","1032501","1032501016","0","blb_idle","blb_stop"
"103211","2","","","-220","","1032501","1032501017","0","0.25","80"
"1.4","93","","","","","1032501","1032501018","","",""
"0","121","","","1.4","3","1032501","1032501019","1","1.4","0"
"1","131","","","","","1032501","1032501020","","",""
"103211","3","0.3","","0","0.3","1032501","1032501021","1","blb_idle_02","blb_blowout_03"
"0.7","93","","","","","1032501","1032501022","","",""
"12","32","","","0","1","1032501","1032501023","1","0","0"
"13","31","","","0","1","1032501","1032501024","1","0","13"
"0.2","93","","","","","1032501","1032501025","","",""
"se_common","23","","","0","","1032501","1032501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1032501","1032501027","","",""
"se_adv_tickle_02","23","","","0","","1032501","1032501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1032501","1032501029","1","0","4"
"1","93","","","","","1032501","1032501030","","",""
"se_common","23","","","0","","1032501","1032501031","","0","se_sys_login_birthday_02"
"103211","3","","","1","0.3","1032501","1032501032","0","","blb_idle_02"
"1.05","93","","","","","1032501","1032501033","","",""
"se_common","23","","","0","","1032501","1032501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1032501","1032501035","1","0","6"
"103211","3","","","0","0","1032501","1032501036","1","blb_wish_04","blb_joy_04"
"2","93","","","","","1032501","1032501037","","",""
"vo_adv_1032501","21","","","0","","1032501","1032501038","","0","vo_adv_1032501_000"
"103211","13","","","","","1032501","1032501039","","","870"
"103211","11","0","","6","0","1032501","1032501040","1","1","私のお誕生日を\nお祝いしてくださって\nありがとうございます！"
"0","91","","","","","1032501","1032501041","","",""
"vo_adv_1032501","21","","","0","","1032501","1032501042","","0","vo_adv_1032501_001"
"103211","11","0","","6","0","1032501","1032501043","1","1","それにしてもすばらしいケーキですわね。\nどちらの高名な菓子職人に\n依頼されたのでしょう？"
"0","91","","","","","1032501","1032501044","","",""
"vo_adv_1032501","21","","","0","","1032501","1032501045","","0","vo_adv_1032501_002"
"103211","11","0","","5","0","1032501","1032501046","1","1","あなたさまが作って\nくださったのですか！？\nすごい！　本当にすごいですわ！"
"0","91","","","","","1032501","1032501047","","",""
"vo_adv_1032501","21","","","0","","1032501","1032501048","","0","vo_adv_1032501_003"
"103211","11","0","","6","0","1032501","1032501049","1","1","食べてしまうのが\nもったいないくらいですが\n心して味わわせていただきます……！"
"0","91","","","","","1032501","1032501050","","",""
"vo_adv_1032501","21","","","0","","1032501","1032501051","","0","vo_adv_1032501_004"
"103211","11","0","","6","0","1032501","1032501052","1","1","あなたさまのお誕生日には気持ちを\n何倍も込めてお返しいたしますわ\n楽しみにしていてくださいまし♪"
"0","91","","","","","1032501","1032501053","","",""
"9","31","","","0","1","1032501","1032501054","1","0","9"
"0","131","","","","","1032501","1032501055","","",""
"0","22","","","0","","1032501","1032501056","","0","1"
"","111","","","","","1032501","1032501057","","",""
"0","91","","","","","1032501","1032501058","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1033501","1033501001","-220","400","103311"
"8","31","","","0","1","1033501","1033501002","1","0","8"
"7","31","","","0","1","1033501","1033501003","1","0","7"
"80","31","","","0","1","1033501","1033501004","1","0","80"
"3","31","","","0","1","1033501","1033501005","1","0","3"
"2","31","","","0","1","1033501","1033501006","1","0","2"
"1","31","","","0","1","1033501","1033501007","1","0","1"
"12","31","","","0","0","1033501","1033501008","1","0","12"
"103311","3","","","1","0.3","1033501","1033501009","","","blb_run_01"
"103311","2","","","-220","","1033501","1033501010","0","1.3","90"
"bgm_M321","25","","","0","","1033501","1033501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1033501","1033501012","0","1.25","0"
"12","32","","","0","1","1033501","1033501013","1","0","1"
"se_common","23","","","0","","1033501","1033501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1033501","1033501015","","",""
"103311","3","0.3","","0","0.05","1033501","1033501016","0","blb_idle","blb_stop"
"103311","2","","","-220","","1033501","1033501017","0","0.25","80"
"1.4","93","","","","","1033501","1033501018","","",""
"0","121","","","1.4","3","1033501","1033501019","1","1.4","0"
"1","131","","","","","1033501","1033501020","","",""
"103311","3","0.3","","0","0.3","1033501","1033501021","1","blb_idle","blb_blowout_02"
"0.7","93","","","","","1033501","1033501022","","",""
"12","32","","","0","1","1033501","1033501023","1","0","0"
"13","31","","","0","1","1033501","1033501024","1","0","13"
"0.2","93","","","","","1033501","1033501025","","",""
"se_common","23","","","0","","1033501","1033501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1033501","1033501027","","",""
"se_adv_tickle_02","23","","","0","","1033501","1033501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1033501","1033501029","1","0","4"
"1","93","","","","","1033501","1033501030","","",""
"se_common","23","","","0","","1033501","1033501031","","0","se_sys_login_birthday_02"
"103311","3","","","1","0.3","1033501","1033501032","0","","blb_idle"
