8b5bd4e7cf6fdfaa94ead00baefd99b5b0809c593764e68f3d1e74c04326d7d5,2c4c6ce03881038bc1dcaa51d29a5f6344d1bc458bfd3ad7ce5009242cb94283,681ef456f73c2c477a200bccc459645e4dcbe67fafc56835a0bdcfeba47b0483,3f1abf5c56a935b31c5e524efe8fe8d015d099543668dc7b80108466d2ec0316,1e67ebd94f2c67fde0ee33e392254374ed258a6e5ce2d8520937183ba2e4b0ad,127b205e5981bee457b008cd2bfa901ec720e77ce8bae89c36f2c4d26259ed8b,2482305ce4bea713e7f9d9dc1e80eb5f66d3a278871dc27486e5579fa158ac34,c0a60fa0c9214833e15a11749443c433ffadb684f6d6f51f4904686dc281cfab,a836f644cd01c91690cfc2474d4289350c83202681cb6f9590de91eae6b22509,91cb99cf703412081160f2d4f375941189a0d26abc6c5f1356b755ee016fa43b
"15","3","2","53003","10001","8","22","","2","-1"
"1","3","1","53003","10002","5","22","","1","14"
"0","3","0","52019","10003","2","23","ワカナの施し","0","0"
"15","4","2","53003","10004","8","22","","2","-1"
"1","4","1","53003","10005","5","22","","1","14"
"0","4","0","52019","10006","2","23","ワカナの施し","0","0"
"15","5","2","53003","10007","8","22","","2","-1"
"1","5","1","53003","10008","5","22","","1","14"
"0","5","0","52019","10009","2","23","ワカナの施し","0","0"
"15","6","2","53003","10010","8","22","","2","-1"
"1","6","1","53003","10011","5","22","","1","14"
"0","6","0","52019","10012","2","23","ワカナの施し","0","0"
