8ac8cdda73504f2c23438ecc665a1f2476b8e6f548c68ccc4720ce140ba54117,51b6d0ccb1edc9b110a3c7d342bbb0885aed4dc05e925d89eca61ff42ca1c744,e14ffddbf981d5066e7ae725c7081329a9d0f0fa7fd8452f51b5323894a85896,035619598ce4a77b0fcc9956e0ce99ca43c151704ce84654e050eea644e2f809,8bd6a76608a757a29ea6f6d9cd73ecb727f14e059daf82ed02ced32380f9cc48,9ce41deff14ef728e945253fd81878be6f5a034c8a52c979f9e0f79d04c677fa
"0","0","10036","0","5035005","5035004"
"0","0","10059","0","5058005","5058004"
"1006201","10062","10063","10062115","0","0"
"1008401","10084","10085","10084115","0","0"
"1008601","10086","10087","10086115","0","0"
"1011001","10110","10111","10110115","0","0"
"1011201","10112","10113","10112115","0","0"
"1013601","10136","10137","10136110","0","0"
"1013801","10138","10139","10138115","0","0"
"1016401","10164","10165","10164110","0","0"
"1017401","10174","10175","10174107","0","0"
"2003301","20033","20034","20033115","0","0"
"2004601","20046","20047","20046115","0","0"
"2005901","20059","20060","20059115","0","0"
"2006701","20067","20068","20067110","0","0"
