10818d61e9b8fd34aefc4ac648338e4de4eae7d60673a61392fceda0bf84c986,bf5199c4716298f90b7c1ed48255fc4d2bed476cea2add4361f80054d4d8c8cd,28684c9c567d7e7d1c4bda5304000365d70542b15f15dc2611abe55cff6c2fcb,217580a4291b8f520cec516361710d0581a13438bd1466eb91c4dd433bda54e4,f06b835767f424f65dcad47b343b1f18b75614663f319ae1e0b477f673ace4a8,404c7435cdf2ffab199ecc3dc67115bbb84ebe57a91e180f1f4b6e1e684cdf7d,32ff6c8154277938dead3753ae9eb93d7fe4d34b64f01acb480f9c916e8a540f,35b0083db5358481646b7acedc65964d44a888ad1ca24c6fe3d16e9fd2c0c6ef,d29bd0dee89e9e1ec1ad5e9c721336e89ea888315822c05d72061656363043f0,2dbde120058770cf69c9ce821eb7448d34f70fca72ec77a69c3bcd430a0f67da,f39f396a33780373eb058816790e5d35489b73f18809839fe37793fb8860a9d8,b1603558d10f2b349804a0a44bf8c9aa6641ec19bdc10eb52a27299d52f413d8,8a81a71508721aca338f10ea819f10141e8abcebc584169f2c37812360243a4c,34eabecc7fe75e6327733f4fdea42bd7f2127885fceabdf45e69704e4861dd4c,e111451f06e775940587c174705591689358b130916b40a2b71c3d1ecbe02a4b,0ef89696c8476f1d61312ab40b1fbf28c1d556705e8f31f3d109fb03c8920853,c51656285ec3cb734d0fe84d7e9f9a0fb64974ddd9b728bd3cd09d51bd46c442,56bb8cf09ec343a78f2896e1a7b24774ef1037dd546caf99627746a2ebe63284,573db7b82d22720af48c4bcc7ab8d4933a563aa4f1daed6a5cbd3a6a548923a1,face038b7da6c77f1a2a142e7ff3f12cd62379a5c7882ff9d9c81d9f6542c47e
"31001","300","0","0","20","0","0","0","0","94","0","0","0","0","0","0","0","130011","0","0"
"31004","300","0","0","0","0","0","0","0","67","2","0","0","0","0","0","0","130041","0","6"
"31006","300","0","0","0","0","0","0","0","0","3","0","0","0","0","72","0","130061","0","3"
"31007","300","0","0","0","0","0","0","0","0","3","230","0","0","0","0","0","130071","0","13"
"31010","300","0","0","0","0","0","0","0","0","5","0","0","5","0","42","0","130101","0","6"
"31012","300","0","0","0","0","0","10","0","0","0","0","0","0","0","88","0","130121","0","1"
"31014","300","0","0","0","0","0","0","0","0","4","0","0","0","0","70","0","130141","0","3"
"31016","300","0","0","0","0","0","0","0","108","0","0","0","0","0","0","0","130161","0","0"
"31020","300","0","0","15","0","0","0","0","88","0","0","0","0","0","0","0","130201","0","0"
"31021","300","0","0","0","0","0","0","0","0","8","100","0","0","0","0","200","130211","0","8"
"31022","300","0","0","0","0","0","10","0","0","1","0","0","0","0","85","0","130221","0","0"
"31023","300","0","0","12","0","0","0","0","50","4","0","0","0","0","0","0","130231","0","6"
"31028","300","0","0","0","0","0","0","0","105","0","25","0","0","0","0","0","130281","0","0"
"31032","300","0","0","0","0","0","0","0","60","0","150","0","0","0","0","0","130321","0","2"
"31034","300","0","0","0","0","0","0","0","64","3","0","0","12","0","0","0","130341","0","0"
"31036","300","0","0","0","0","0","18","0","0","0","0","0","0","0","88","0","130361","0","0"
"31037","300","0","0","24","0","0","0","0","60","0","0","0","0","0","0","0","130371","0","0"
"31044","300","0","0","0","1","0","0","0","0","4","0","0","0","0","80","0","130441","0","0"
"31048","300","0","0","0","0","0","0","0","75","3","0","0","0","0","0","0","130481","0","3"
"31051","300","0","0","5","0","0","0","0","90","0","100","0","0","0","0","0","130511","0","0"
"31057","300","0","0","22","0","0","0","0","95","0","0","0","0","0","0","0","130571","0","0"
"31058","300","0","0","0","0","0","0","0","0","9","0","0","5","0","0","0","130581","0","10"
"31059","300","0","0","0","0","0","0","0","50","5","0","0","5","0","0","0","130591","0","5"
"31060","300","0","0","0","0","0","10","0","0","0","0","0","0","0","94","0","130601","0","0"
"31061","300","0","0","9","0","0","0","0","104","0","0","0","0","0","0","0","130611","0","0"
"31063","300","0","0","16","0","0","0","0","95","0","0","0","0","0","0","0","130631","0","0"
"31064","300","0","0","25","0","0","0","0","91","0","0","0","0","0","0","0","130641","0","0"
"31077","300","0","0","0","0","0","0","0","0","6","0","0","0","0","40","0","130771","0","6"
"31079","300","0","0","30","0","0","0","0","85","0","0","0","0","0","0","0","130791","0","0"
"31080","300","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","130801","0","0"
"31092","300","0","0","0","0","0","0","0","0","0","0","0","0","0","106","0","130921","0","0"
"31093","300","0","0","0","0","0","35","0","0","0","0","0","0","0","70","0","130931","0","0"
"31094","300","0","0","0","0","0","0","0","0","0","0","0","0","0","107","0","130941","0","0"
