43c9db901eb21c31ab3fc0d19aa41db006168f119e378cd4ce8617f86ed61a6d,50797a81af18c6117736ec73494ec69f485ede9d926c9e132cb911edd619c4a3,6c8915f91534cd88ba737e4affb5407969c0033690af7439743777894d4d7365,74f98bb2a53ea124ce19a3095936e2c1718685e7ea75628a34cae758c45c6f5e,ffe29dc2eb025f67aa9001d82154b26635f192449ea326b048b9528eb0d852d6,ed76e63960e066dc98cdc5624f83b5124537f1d9b14fa9cd805919cf99d4ba5e,a2603cf6e4fa5d67fb10f13cf84cbe4655fc67297b2ae3433f4b982869bb31ca,751154286a36237a310786123c4c3eeefeabc982e005c341569c28a9f7b8eeeb,033020aa474f111d8d9163218b25596841c0f28c5671de80422cd92373ae26e5,b07758868f6f426d0d8c092e72be161aa832d48688495b8b21bf35aed152fb53,241b3baa696157c5a0b73dde189677001b1e9bd3b340daeca1d14e50098e6d24,60b8eb01077e2edfc24bd2c25c41775cb3359d8b569dc926c1a85a75b4e58554
"0","0","0","0","0","0","4","3","1","1","1","1010001"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_000","2","0","2","0","1","1010002"
"1.418","1","202","0","0","0","1","0","3","0","1","1010003"
"0","0","0","0","0","0","4","1","4","1.858","1","1010004"
"2.536","2","316","0","0","0","1","0","5","0","1","1010005"
"0","0","0","0","0","0","4","1","6","3.484","1","1010006"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_001","2","0","7","0","1","1010007"
"1.131","3","121","0","0","0","1","0","8","0","1","1010008"
"0","0","0","0","0","0","4","1","9","1.407","1","1010009"
"1.043","3","276","0","121","0","1","0","10","0","1","1010010"
"0","0","0","0","0","0","4","1","11","1.719","1","1010011"
"0.69","3","389","0","276","0","1","0","12","0","1","1010012"
"0","0","0","0","0","0","4","1","13","0.69","1","1010013"
"1.694","4","224","0","0","0","1","0","14","0","1","1010014"
"0","0","0","0","0","0","4","1","15","2.204","1","1010015"
"1.298","4","384","0","224","0","1","0","16","0","1","1010016"
"0","0","0","0","0","0","4","1","17","1.298","1","1010017"
"1.118","5","131","0","0","0","1","0","18","0","1","1010018"
"0","0","0","0","0","0","4","1","19","1.199","1","1010019"
"0.958","5","244","0","131","0","1","0","20","0","1","1010020"
"0","0","0","0","0","0","4","1","21","1.269","1","1010021"
"1.373","5","394","0","244","0","1","0","22","0","1","1010022"
"0","0","0","0","0","0","4","1","23","1.373","1","1010023"
"0.193","6","25","0","0","0","1","0","24","0","1","1010024"
"0","0","0","0","0","0","4","1","25","0.552","1","1010025"
"2.64","6","368","0","25","0","1","0","26","0","1","1010026"
"0","0","0","0","0","0","4","1","27","3.195","1","1010027"
"0.599","7","65","0","0","0","1","0","28","0","1","1010028"
"0","0","0","0","0","0","4","1","29","0.929","1","1010029"
"1.302","7","252","0","65","0","1","0","30","0","1","1010030"
"0","0","0","0","0","0","4","1","31","2.395","1","1010031"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_002","2","0","32","0","1","1010032"
"2.09","8","271","0","0","0","1","0","33","0","1","1010033"
"0","0","0","0","0","0","4","1","34","2.512","1","1010034"
"0.868","8","400","0","271","0","1","0","35","0","1","1010035"
"0","0","0","0","0","0","4","1","36","0.907","1","1010036"
"2.214","9","315","0","0","0","1","0","37","0","1","1010037"
"0","0","0","0","0","0","4","1","38","2.562","1","1010038"
"1.65","10","242","0","0","0","1","0","39","0","1","1010039"
"0","0","0","0","0","0","4","1","40","2.654","1","1010040"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_003","2","0","41","0","1","1010041"
"0.685","10","345","0","242","0","1","0","42","0","1","1010042"
"0","0","0","0","0","0","4","1","43","1.036","1","1010043"
"0.378","10","397","0","345","0","1","0","44","0","1","1010044"
"0","0","0","0","0","0","4","1","45","0.378","1","1010045"
"2.438","11","377","0","0","0","1","0","46","0","1","1010046"
"0","0","0","0","0","0","4","1","47","3.395","1","1010047"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_004","2","0","48","0","1","1010048"
"0.642","12","83","0","0","0","1","0","49","0","1","1010049"
"0","0","0","0","0","0","4","1","50","1.061","1","1010050"
"0.539","12","159","0","83","0","1","0","51","0","1","1010051"
"0","0","0","0","0","0","4","1","52","0.877","1","1010052"
"1.135","12","316","0","159","0","1","0","53","0","1","1010053"
"0","0","0","0","0","0","4","1","54","2.635","1","1010054"
"0","0","0","0","0","0","4","3","1","1","2","1020001"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_000","2","0","2","0","2","1020002"
"2.91","1","345","0","0","0","1","0","3","0","2","1020003"
"0","0","0","0","0","0","4","1","4","3.814","2","1020004"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_001","2","0","5","0","2","1020005"
"1.67","2","239","0","0","0","1","0","6","0","2","1020006"
"0","0","0","0","0","0","4","1","7","2.19","2","1020007"
"2.455","3","314","0","0","0","1","0","8","0","2","1020008"
"0","0","0","0","0","0","4","1","9","3.527","2","1020009"
