88ca35a29d5f784f1234f429b298b95ab334598504db5e618e7c20cc900f6394,f21972734906b2bea3abd3e1f4a5ad0ba07bb173bf8d5b33f057fc61143594fa,8f41f8e082a093dad5fc11139440763df3632d0d80be416f18fba0f2ee6d802d,2b0d2a217f840af25a2184a2e6cef2fd8817cfe829ee6f4a116188d86b66a1eb,d38c020f9444a056a4da9c5e039c3ab6d20a4805f31770fc6246891773808509,031024180e3fdbf68dafcbcc47ae6432d124c9348f3eed3b6dc5e724578151c2,64fc6b94eee973b9dc81bf8633be4112a84c5a35c270100802d692bf9eb642b5,2c64a8dadfdd3bcb033d17957524949af2902fe6b160b89f81fdba879d5bc357
"111","104","1","200","3","2","4","5"
"211","14","1","2","3","2","4","5"
"311","103","1","2","3","2","4","5"
"411","102","1","2","3","2","4","5"
"511","104","1","200","3","2","4","5"
"611","1","1","250","3","2","4","5"
"711","101","1","3","3","2","4","5"
"811","100","1","3","3","2","4","5"
"911","104","1","200","3","2","4","5"
"1011","1","1","250","3","2","4","5"
"1111","3","1","250","3","2","4","5"
"1112","5","1","250","3","2","4","5"
"1211","6","1","150","3","2","4","5"
"1212","7","1","150","3","2","4","5"
"1311","104","1","200","3","2","4","5"
"1411","103","1","2","3","2","4","5"
"1511","102","1","2","3","2","4","5"
"1611","1","1","250","3","2","4","5"
"1711","104","1","200","3","2","4","5"
"1811","2","1","500","3","2","4","5"
"1812","4","1","500","3","2","4","5"
"1911","101","1","3","3","2","4","5"
"2011","100","1","3","3","2","4","5"
"2111","104","1","200","3","2","4","5"
"2211","1","1","250","3","2","4","5"
"2311","100","1","3","3","2","4","5"
"2411","101","1","3","3","2","4","5"
"2511","104","1","200","3","2","4","5"
"2611","2","1","500","3","2","4","5"
"2612","4","1","500","3","2","4","5"
"2711","6","1","150","3","2","4","5"
"2712","7","1","150","3","2","4","5"
"2811","2","1","500","3","2","4","5"
"2812","4","1","500","3","2","4","5"
"2911","104","1","200","3","2","4","5"
"3011","3","1","250","3","2","4","5"
"3012","5","1","250","3","2","4","5"
"3111","100","1","3","3","2","4","5"
"3211","101","1","3","3","2","4","5"
"3311","104","1","200","3","2","4","5"
"3411","100","1","2","3","2","4","5"
"3511","104","1","200","3","2","4","5"
"3611","103","1","1","3","2","4","5"
"3711","102","1","1","3","2","4","5"
"3811","2","1","250","3","2","4","5"
"3812","4","1","250","3","2","4","5"
"3911","102","1","1","3","2","4","5"
"4011","104","1","200","3","2","4","5"
"4111","100","1","2","3","2","4","5"
"4211","6","1","150","3","2","4","5"
"4212","7","1","150","3","2","4","5"
"4311","104","1","200","3","2","4","5"
"4411","103","1","1","3","2","4","5"
"4511","104","1","200","3","2","4","5"
"4611","101","1","2","3","2","4","5"
"4711","102","1","1","3","2","4","5"
"4811","104","1","200","3","2","4","5"
"4911","103","1","1","3","2","4","5"
"5011","104","1","200","3","2","4","5"
"5111","101","1","2","3","2","4","5"
"5211","102","1","1","3","2","4","5"
"5311","104","1","200","3","2","4","5"
"5411","6","1","150","3","2","4","5"
"5412","7","1","150","3","2","4","5"
"5511","103","1","1","3","2","4","5"
"5611","104","1","200","3","2","4","5"
"5711","100","1","2","3","2","4","5"
"5811","101","1","2","3","2","4","5"
"5911","103","1","1","3","2","4","5"
"6011","104","1","200","3","2","4","5"
"6111","102","1","1","3","2","4","5"
"6211","2","1","250","3","2","4","5"
"6212","4","1","250","3","2","4","5"
"6311","104","1","200","3","2","4","5"
"6411","103","1","1","3","2","4","5"
"6511","102","1","1","3","2","4","5"
"6611","104","1","200","3","2","4","5"
