a718a1857b0a0b7fc8880f7fb0db3661f801407e10be2d2865a9d89d27cf1236,fc43d9a38cdbc2e325238de0e67723df9df736e954872778ceff488f227f7b98,bb9074d09cd96c3316b671587d33d085f1f04d58e12ade61d16d6cb088126fad,cfd44e05bdd89dd99e78be6874b8af643e4324877e78796084ba04e0161e3826,2bb9a3a2612697583b3da3b2922dfaf195e5843d8a9397ad9217db464bccc7ff,66886144c5a78dd0d9d19a085982329ab7df7d782ae713e67eb454876fffcbc7,18227fffbe094cbe0749308ac8d0105aec004cde34128946b24b08ed353cb0c3,5dda0ec1c84c5e1edc724cb9a064c6ff35cfad1c818062ea6ce65419fddb6187,591547cb5e98f48a5bda1e82d99937e675f92467e6ef9b338072c204eac98b7d,780399ef91f91ed1ad22e472e841d7020d797a19c285e1ae54ac022791fff335,661d59e66d0677639383988fead496753b79ffbea5403768d393036b9452bcb1
"","","se_fpc_water_random","","se_10053800","","101","","","23","11010001"
"1.75","-180","<unit_id>","0","1","23","101","cmn_swm_tread","-850","1","11010002"
"1.75","-180","1","0","1","22","101","cmn_swm_tread_pink","-850","5","11010003"
"1","1","3","","3","-850","101","","-180","31","11010004"
"","","0","","0","","101","","","91","11010005"
"","","850","","<unit_id>","-180","101","","10","2","11010006"
"","","850","","1","-180","101","","10","2","11010007"
"","","850","","3","-180","101","","10","33","11010008"
"","","se_fpc_water_random","","se_10053800","","102","","","23","11020001"
"1.75","-180","<unit_id>","0","1","23","102","cmn_swm_tread","-850","1","11020002"
"1.75","-180","1","0","1","22","102","cmn_swm_tread_blue","-850","5","11020003"
"1","1","3","","3","-850","102","","-180","31","11020004"
"","","0","","0","","102","","","91","11020005"
"","","850","","<unit_id>","-180","102","","10","2","11020006"
"","","850","","1","-180","102","","10","2","11020007"
"","","850","","3","-180","102","","10","33","11020008"
"","","se_fpc_water_random","","se_10053800","","103","","","23","11030001"
"1.75","-180","<unit_id>","0","1","23","103","cmn_swm_tread","-850","1","11030002"
"1.75","-180","1","0","1","22","103","cmn_swm_tread","-850","5","11030003"
"1","1","3","","3","-850","103","","-180","31","11030004"
"","","0","","0","","103","","","91","11030005"
"","","850","","<unit_id>","-180","103","","10","2","11030006"
"","","850","","1","-180","103","","10","2","11030007"
"","","850","","3","-180","103","","10","33","11030008"
"","","se_fpc_water_random","","se_10053800","","151","","","23","11510001"
"1.75","-180","<unit_id>","0","1","22","151","cmn_swm_flutterKick","-850","1","11510002"
"1","1","1","","1","-850","151","","-180","31","11510003"
"","","0","","0","","151","","","91","11510004"
"","","1050","","<unit_id>","-180","151","","10","2","11510005"
"","","1050","","1","-180","151","","10","33","11510006"
"","","se_fpc_water_random","","se_10053800","","201","","","23","12010001"
"1.75","-180","<unit_id>","0","1","22","201","cmn_swm_breastStroke","-850","1","12010002"
"1","1","2","","2","-850","201","","-180","31","12010003"
"","","0","","0","","201","","","91","12010004"
"","","850","","<unit_id>","-180","201","","10","2","12010005"
"","","850","","2","-180","201","","10","33","12010006"
"","","se_fpc_water_random","","se_10053800","","251","","","23","12510001"
"1.75","-180","<unit_id>","0","1","22","251","cmn_swm_diving","-850","1","12510002"
"1","1","9","","9","-850","251","","-180","31","12510003"
"","","0","","0","","251","","","91","12510004"
"","","850","","<unit_id>","-180","251","","10","2","12510005"
"","","850","","9","-180","251","","10","33","12510006"
"","","se_fpc_water_random","","se_10053800","","301","","","23","13010001"
"1.75","-180","<unit_id>","0","1","23","301","cmn_swm_flutterKick_floatRing","-850","1","13010002"
"1.75","-180","1","0","1","22","301","cmn_swm_flutterKick_floatRing_pink","-850","5","13010003"
"1","1","1","","1","-850","301","","-180","31","13010004"
"","","0","","0","","301","","","91","13010005"
"","","1050","","<unit_id>","-180","301","","10","2","13010006"
"","","1050","","1","-180","301","","10","2","13010007"
"","","1050","","1","-180","301","","10","33","13010008"
"","","se_fpc_water_random","","se_10053800","","302","","","23","13020001"
"1.75","-180","<unit_id>","0","1","23","302","cmn_swm_flutterKick_floatRing","-850","1","13020002"
"1.75","-180","1","0","1","22","302","cmn_swm_flutterKick_floatRing_blue","-850","5","13020003"
"1","1","1","","1","-850","302","","-180","31","13020004"
"","","0","","0","","302","","","91","13020005"
"","","1050","","<unit_id>","-180","302","","10","2","13020006"
"","","1050","","1","-180","302","","10","2","13020007"
"","","1050","","1","-180","302","","10","33","13020008"
"","","se_fpc_water_random","","se_10053800","","303","","","23","13030001"
"1.75","-180","<unit_id>","0","1","23","303","cmn_swm_flutterKick_floatRing","-850","1","13030002"
"1.75","-180","1","0","1","22","303","cmn_swm_flutterKick_floatRing","-850","5","13030003"
"1","1","1","","1","-850","303","","-180","31","13030004"
"","","0","","0","","303","","","91","13030005"
"","","1050","","<unit_id>","-180","303","","10","2","13030006"
"","","1050","","1","-180","303","","10","2","13030007"
"","","1050","","1","-180","303","","10","33","13030008"
"","","se_fpc_water_random","","se_10053800","","351","","","23","13510001"
"1.75","-180","<unit_id>","0","1","23","351","cmn_swm_flutterKick_floatRing","-850","1","13510002"
"1.75","-180","1","0","1","22","351","cmn_swm_flutterKick_floatBoad","-850","5","13510003"
"1","1","1","","1","-850","351","","-180","31","13510004"
"","","0","","0","","351","","","91","13510005"
"","","1050","","<unit_id>","-180","351","","10","2","13510006"
"","","1050","","1","-180","351","","10","2","13510007"
"","","1050","","1","-180","351","","10","33","13510008"
"","","se_fpc_water_random","","se_10053800","","352","","","23","13520001"
"1.75","-180","<unit_id>","0","1","23","352","cmn_swm_flutterKick_floatRing","-850","1","13520002"
"1.75","-180","1","0","1","22","352","cmn_swm_flutterKick_floatBoad_blue","-850","5","13520003"
"1","1","1","","1","-850","352","","-180","31","13520004"
"","","0","","0","","352","","","91","13520005"
"","","1050","","<unit_id>","-180","352","","10","2","13520006"
"","","1050","","1","-180","352","","10","2","13520007"
"","","1050","","1","-180","352","","10","33","13520008"
"","","se_fpc_water_random","","se_10053800","","401","","","23","14010001"
"1.75","-180","<unit_id>","0","1","22","401","cmn_float","-850","1","14010002"
"1","1","6","","6","-850","401","","-180","31","14010003"
"","","0","","0","","401","","","91","14010004"
"","","1050","","<unit_id>","-180","401","","10","2","14010005"
"","","1050","","6","-180","401","","10","33","14010006"
"","","se_fpc_water_random","","se_10053800","","402","","","23","14020001"
"1.75","-180","<unit_id>","0","1","22","402","cmn_float_4","-850","1","14020002"
"1","1","6","","6","-850","402","","-180","31","14020003"
"","","0","","0","","402","","","91","14020004"
"","","1050","","<unit_id>","-180","402","","10","2","14020005"
"","","1050","","6","-180","402","","10","33","14020006"
"","","se_fpc_water_random","","se_10053800","","451","","","23","14510001"
"1.75","-180","<unit_id>","0","1","22","451","cmn_crawl","-850","1","14510002"
"1","1","1","","1","-850","451","","-180","31","14510003"
"","","0","","0","","451","","","91","14510004"
"","","1050","","<unit_id>","-180","451","","10","2","14510005"
"","","1050","","1","-180","451","","10","33","14510006"
"","","se_fpc_water_random","","se_10053800","","501","","","23","15010001"
"1.75","-250","<unit_id>","0","1","45","501","cmn_surfing","-850","1","15010002"
"1.75","-250","6","0","6","44","501","cmn_surfing","-850","5","15010003"
"1","1","11","","11","-850","501","","-250","31","15010004"
"","","0","","0","","501","","","91","15010005"
"","","1800","","<unit_id>","-250","501","","6","2","15010006"
"","","1800","","6","-250","501","","6","2","15010007"
"","","1800","","11","-250","501","","6","33","15010008"
"","","se_10053800_surfing_wave","","se_10053800","","501","","","23","15010009"
"","","se_fpc_water_random","","se_10053800","","851","","","23","18510001"
"1.75","-125","107511","0","1","45","851","cmn_surfing","-850","1","18510002"
"1.75","-250","107611","0","1","45","851","cmn_surfing","-1100","1","18510003"
"1.75","-125","107811","0","1","45","851","cmn_surfing","-1350","1","18510004"
"1.75","-125","1","0","6","44","851","cmn_surfing","-850","5","18510005"
"1.75","-250","2","0","6","44","851","cmn_surfing","-1100","5","18510006"
"1.75","-125","3","0","6","44","851","cmn_surfing","-1350","5","18510007"
"1","1","1","","11","-850","851","","-125","31","18510008"
"1","1","2","","11","-1100","851","","-250","31","18510009"
"1","1","3","","11","-1350","851","","-125","31","18510010"
"","","2350","","107511","-125","851","","6","2","18510011"
"","","2100","","107611","-250","851","","6","2","18510012"
"","","1850","","107811","-125","851","","6","2","18510013"
"","","2350","","1","-125","851","","6","2","18510014"
"","","2100","","2","-250","851","","6","2","18510015"
"","","1850","","3","-125","851","","6","2","18510016"
"","","2350","","1","-125","851","","6","33","18510017"
"","","2100","","2","-250","851","","6","33","18510018"
"","","1850","","3","-125","851","","6","33","18510019"
"","","se_10053800_surfing_wave","","se_10053800","","851","","","23","18510020"
"","","","","0.3","","851","","","93","18510021"
"","","vo_fpc_85101","","vo_fpc","","851","","0","21","18510022"
"","","se_fpc_water_random","","se_10053800","","852","","","23","18520001"
"1.75","-125","122411","0","1","13","852","cmn_swm_flutterKick_floatRing","-850","1","18520002"
"1.75","-250","122511","0","1","33","852","cmn_swm_flutterKick_floatRing","-1100","1","18520003"
"1.75","-125","122611","0","1","13","852","cmn_swm_flutterKick_floatRing","-1350","1","18520004"
"1.75","-125","1","0","1","12","852","cmn_swm_flutterKick_floatRing","-850","5","18520005"
"1.75","-250","2","0","1","32","852","cmn_swm_flutterKick_floatRing_blue","-1100","5","18520006"
"1.75","-125","3","0","1","12","852","cmn_swm_flutterKick_floatRing_pink","-1350","5","18520007"
"1","1","1","","7","-850","852","","-125","31","18520008"
"1","1","2","","1","-1100","852","","-250","31","18520009"
"1","1","3","","7","-1350","852","","-125","31","18520010"
"","","1750","","122411","-125","852","","10","2","18520011"
"","","1500","","122511","-250","852","","10","2","18520012"
"","","1250","","122611","-125","852","","10","2","18520013"
"","","1750","","1","-125","852","","10","2","18520014"
"","","1500","","2","-250","852","","10","2","18520015"
"","","1250","","3","-125","852","","10","2","18520016"
"","","1750","","1","-125","852","","10","33","18520017"
"","","1500","","2","-250","852","","10","33","18520018"
"","","1250","","3","-125","852","","10","33","18520019"
"","","se_fpc_water_random","","se_10053800","","853","","","23","18530001"
"1.75","-125","117211","0","1","12","853","cmn_swm_breastStroke","-850","1","18530002"
"1.75","-250","117311","0","1","32","853","cmn_swm_breastStroke","-1100","1","18530003"
"1.75","-125","117411","0","1","12","853","cmn_swm_breastStroke","-1350","1","18530004"
"1","1","1","","2","-850","853","","-125","31","18530005"
"1","1","2","","2","-1100","853","","-250","31","18530006"
"1","1","3","","2","-1350","853","","-125","31","18530007"
"","","1750","","117211","-125","853","","10","2","18530008"
"","","1500","","117311","-250","853","","10","2","18530009"
"","","1250","","117411","-125","853","","10","2","18530010"
"","","1750","","1","-125","853","","10","33","18530011"
"","","1500","","2","-250","853","","10","33","18530012"
"","","1250","","3","-125","853","","10","33","18530013"
"","","se_fpc_water_random","","se_10053800","","854","","","23","18540001"
"1.75","-125","122711","0","1","13","854","cmn_swm_flutterKick_floatRing","-850","1","18540002"
"1.75","-250","122811","0","1","33","854","cmn_swm_flutterKick_floatRing","-1100","1","18540003"
"1.75","-125","122911","0","1","13","854","cmn_swm_flutterKick_floatRing","-1350","1","18540004"
"1.75","-125","1","0","1","12","854","cmn_swm_flutterKick_floatBoad","-850","5","18540005"
"1.75","-250","2","0","1","32","854","cmn_swm_flutterKick_floatBoad_blue","-1100","5","18540006"
"1.75","-125","3","0","1","12","854","cmn_swm_flutterKick_floatBoad","-1350","5","18540007"
"1","1","1","","7","-850","854","","-125","31","18540008"
"1","1","2","","1","-1100","854","","-250","31","18540009"
"1","1","3","","7","-1350","854","","-125","31","18540010"
"","","1750","","122711","-125","854","","10","2","18540011"
"","","1500","","122811","-250","854","","10","2","18540012"
"","","1250","","122911","-125","854","","10","2","18540013"
"","","1750","","1","-125","854","","10","2","18540014"
"","","1500","","2","-250","854","","10","2","18540015"
"","","1250","","3","-125","854","","10","2","18540016"
"","","1750","","1","-125","854","","10","33","18540017"
"","","1500","","2","-250","854","","10","33","18540018"
"","","1250","","3","-125","854","","10","33","18540019"
"","","se_fpc_water_random","","se_10053800","","855","","","23","18550001"
"1.75","-125","113411","0","1","13","855","cmn_swm_flutterKick_floatRing","-850","1","18550002"
"1.75","-250","113511","0","1","33","855","cmn_swm_flutterKick_floatRing","-1100","1","18550003"
"1.75","-125","1","0","1","12","855","cmn_swm_flutterKick_floatBoad","-850","5","18550004"
"1.75","-250","2","0","1","32","855","cmn_swm_flutterKick_floatBoad_blue","-1100","5","18550005"
"1","1","1","","7","-850","855","","-125","31","18550006"
"1","1","2","","1","-1100","855","","-250","31","18550007"
"","","1750","","113411","-125","855","","10","2","18550008"
"","","1500","","113511","-250","855","","10","2","18550009"
"","","1750","","1","-125","855","","10","2","18550010"
"","","1500","","2","-250","855","","10","2","18550011"
"","","1750","","1","-125","855","","10","33","18550012"
"","","1500","","2","-250","855","","10","33","18550013"
"","","se_fpc_water_random","","se_10053800","","856","","","23","18560001"
"1.75","-125","110311","0","1","13","856","cmn_swm_tread","-850","1","18560002"
"1.75","-250","107711","0","1","33","856","cmn_swm_tread","-1100","1","18560003"
"1.75","-125","1","0","1","12","856","cmn_swm_tread_pink","-850","5","18560004"
"1.75","-250","2","0","1","32","856","cmn_swm_tread","-1100","5","18560005"
"1","1","1","","13","-850","856","","-125","31","18560006"
"1","1","2","","3","-1100","856","","-250","31","18560007"
"","","1750","","110311","-125","856","","13.5","2","18560008"
"","","1500","","107711","-250","856","","13.5","2","18560009"
"","","1750","","1","-125","856","","13.5","2","18560010"
"","","1500","","2","-250","856","","13.5","2","18560011"
"","","1750","","1","-125","856","","13.5","33","18560012"
"","","1500","","2","-250","856","","13.5","33","18560013"
"","","se_fpc_water_random","","se_10053800","","857","","","23","18570001"
"1.75","-125","110411","0","1","13","857","cmn_swm_tread","-850","1","18570002"
"1.75","-250","110511","0","1","33","857","cmn_swm_tread","-1100","1","18570003"
"1.75","-125","115711","0","1","13","857","cmn_swm_tread","-1350","1","18570004"
"1.75","-250","110611","0","1","33","857","cmn_boat_relax","-1600","1","18570005"
"1.75","-125","1","0","1","12","857","cmn_swm_tread_blue","-850","5","18570006"
"1.75","-250","2","0","1","32","857","cmn_swm_tread","-1100","5","18570007"
"1.75","-125","3","0","1","12","857","cmn_swm_tread_pink","-1350","5","18570008"
"1.75","-250","4","0","2","32","857","cmn_boat_idle_l","-1600","5","18570009"
"1","1","1","","13","-850","857","","-125","31","18570010"
"1","1","2","","3","-1100","857","","-250","31","18570011"
"1","1","3","","13","-1350","857","","-125","31","18570012"
"1","1","4","","116","-1600","857","","-250","31","18570013"
"","","1750","","110411","-125","857","","13.5","2","18570014"
"","","1500","","110511","-250","857","","13.5","2","18570015"
"","","1250","","115711","-125","857","","13.5","2","18570016"
"","","1000","","110611","-250","857","","13.5","2","18570017"
"","","1750","","1","-125","857","","13.5","2","18570018"
"","","1500","","2","-250","857","","13.5","2","18570019"
"","","1250","","3","-125","857","","13.5","2","18570020"
"","","1000","","4","-250","857","","13.5","2","18570021"
"","","1750","","1","-125","857","","13.5","33","18570022"
"","","1500","","2","-250","857","","13.5","33","18570023"
"","","1250","","3","-125","857","","13.5","33","18570024"
"","","1000","","4","-250","857","","13.5","33","18570025"
"","","se_fpc_water_random","","se_10053800","","858","","","23","18580001"
"1.75","-125","126711","0","1","13","858","cmn_swm_tread","-850","1","18580002"
"1.75","-125","126711","0","1","13","858","cmn_swm_tread","-850","1","18580003"
"1.75","-250","126811","0","1","33","858","cmn_swm_tread","-1100","1","18580004"
"1.75","-125","108011","0","1","13","858","cmn_swm_tread","-1350","1","18580005"
"1.75","-250","107911","0","1","33","858","cmn_boat_cat","-1600","1","18580006"
"1.75","-125","1","0","1","12","858","cmn_swm_tread_pink","-850","5","18580007"
"1.75","-250","2","0","1","32","858","cmn_swm_tread","-1100","5","18580008"
"1.75","-125","3","0","1","12","858","cmn_swm_tread_blue","-1350","5","18580009"
"1.75","-250","4","0","2","32","858","cmn_boat_idle_l","-1600","5","18580010"
"1","1","1","","13","-850","858","","-125","31","18580011"
"1","1","2","","3","-1100","858","","-250","31","18580012"
"1","1","3","","13","-1350","858","","-125","31","18580013"
"1","1","4","","116","-1600","858","","-250","31","18580014"
"","","1750","","126711","-125","858","","13.5","2","18580015"
"","","1500","","126811","-250","858","","13.5","2","18580016"
"","","1250","","108011","-125","858","","13.5","2","18580017"
"","","1000","","107911","-250","858","","13.5","2","18580018"
"","","1750","","1","-125","858","","13.5","2","18580019"
"","","1500","","2","-250","858","","13.5","2","18580020"
"","","1250","","3","-125","858","","13.5","2","18580021"
"","","1000","","4","-250","858","","13.5","2","18580022"
"","","1750","","1","-125","858","","13.5","33","18580023"
"","","1500","","2","-250","858","","13.5","33","18580024"
"","","1250","","3","-125","858","","13.5","33","18580025"
"","","1000","","4","-250","858","","13.5","33","18580026"
"","","se_fpc_water_random","","se_10053800","","859","","","23","18590001"
"1.75","-125","113111","0","1","45","859","cmn_surfing","-850","1","18590002"
"1.75","-250","113211","0","1","45","859","cmn_surfing","-1100","1","18590003"
"1.75","-125","113311","0","1","45","859","cmn_surfing","-1350","1","18590004"
"1.75","-250","117011","0","1","45","859","cmn_surfing","-1600","1","18590005"
"1.75","-125","1","0","6","44","859","cmn_surfing","-850","5","18590006"
"1.75","-250","2","0","6","44","859","cmn_surfing","-1100","5","18590007"
"1.75","-125","3","0","6","44","859","cmn_surfing","-1350","5","18590008"
"1.75","-250","4","0","6","44","859","cmn_surfing","-1600","5","18590009"
"1","1","1","","11","-850","859","","-125","31","18590010"
"1","1","2","","11","-1100","859","","-250","31","18590011"
"1","1","3","","11","-1350","859","","-125","31","18590012"
"1","1","4","","11","-1600","859","","-250","31","18590013"
"","","2350","","113111","-125","859","","6","2","18590014"
"","","2100","","113211","-250","859","","6","2","18590015"
"","","1850","","113311","-125","859","","6","2","18590016"
"","","1600","","117011","-250","859","","6","2","18590017"
"","","2350","","1","-125","859","","6","2","18590018"
"","","2100","","2","-250","859","","6","2","18590019"
"","","1850","","3","-125","859","","6","2","18590020"
"","","1600","","4","-250","859","","6","2","18590021"
"","","2350","","1","-125","859","","6","33","18590022"
"","","2100","","2","-250","859","","6","33","18590023"
"","","1850","","3","-125","859","","6","33","18590024"
"","","1600","","4","-250","859","","6","33","18590025"
"","","se_10053800_surfing_wave","","se_10053800","","859","","","23","18590026"
"","","","","0.3","","859","","","93","18590027"
"","","vo_fpc_85901","","vo_fpc","","859","","0","21","18590028"
"","","se_fpc_water_random","","se_10053800","","860","","","23","18600001"
"1.75","-180","110011","0","1","23","860","cmn_boat_relax_l","-850","1","18600002"
"1.75","-180","110111","0","1","23","860","cmn_boat_relax","-1200","1","18600003"
"1.75","-180","1","0","2","22","860","cmn_boat_idle_blue","-850","5","18600004"
"1.75","-180","2","0","2","22","860","cmn_boat_idle_l","-1200","5","18600005"
"1","1","1","","116","-850","860","","-180","31","18600006"
"1","1","2","","116","-1200","860","","-180","31","18600007"
"","","1750","","110011","-180","860","","13.5","2","18600008"
"","","1400","","110111","-180","860","","13.5","2","18600009"
"","","1750","","1","-180","860","","13.5","2","18600010"
"","","1400","","2","-180","860","","13.5","2","18600011"
"","","1750","","1","-180","860","","13.5","33","18600012"
"","","1400","","2","-180","860","","13.5","33","18600013"
"","","","","2.7","","860","","","93","18600014"
"","","vo_fpc_86001","","vo_fpc","","860","","0","21","18600015"
"","","se_fpc_water_random","","se_10053800","","861","","","23","18610001"
"1.75","-125","129511","0","1","13","861","cmn_swm_tread","-850","1","18610002"
"1.75","-250","129411","0","1","33","861","cmn_swm_tread","-1100","1","18610003"
"1.75","-125","129311","0","1","13","861","cmn_swm_tread","-1350","1","18610004"
"1.75","-125","1","0","1","12","861","cmn_swm_tread_pink","-850","5","18610005"
"1.75","-250","2","0","1","32","861","cmn_swm_tread_blue","-1100","5","18610006"
"1.75","-125","3","0","1","12","861","cmn_swm_tread","-1350","5","18610007"
"1","1","1","","13","-850","861","","-125","31","18610008"
"1","1","2","","3","-1100","861","","-250","31","18610009"
"1","1","3","","13","-1350","861","","-125","31","18610010"
"","","1750","","129511","-125","861","","13.5","2","18610011"
"","","1500","","129411","-250","861","","13.5","2","18610012"
"","","1250","","129311","-125","861","","13.5","2","18610013"
"","","1750","","1","-125","861","","13.5","2","18610014"
"","","1500","","2","-250","861","","13.5","2","18610015"
"","","1250","","3","-125","861","","13.5","2","18610016"
"","","1750","","1","-125","861","","13.5","33","18610017"
"","","1500","","2","-250","861","","13.5","33","18610018"
"","","1250","","3","-125","861","","13.5","33","18610019"
"","","se_fpc_water_random","","se_10053800","","862","","","23","18620001"
"1.75","-125","126711","0","1","13","862","cmn_swm_tread","-850","1","18620002"
"1.75","-250","126811","0","1","33","862","cmn_swm_tread","-1100","1","18620003"
"1.66","-180","21","0","21","22","862","02_neneka_floatRing","-1350","5","18620004"
"1.75","-125","1","0","1","12","862","cmn_swm_tread","-850","5","18620005"
"1.75","-250","2","0","1","32","862","cmn_swm_tread_blue","-1100","5","18620006"
"1","1","1","","13","-850","862","","-125","31","18620007"
"1","1","2","","3","-1100","862","","-250","31","18620008"
"1","1","3","","102","-1350","862","","-180","31","18620009"
"","","1750","","126711","-125","862","","13.5","2","18620010"
"","","1500","","126811","-250","862","","13.5","2","18620011"
"","","1250","","21","-180","862","","13.5","2","18620012"
"","","1750","","1","-125","862","","13.5","2","18620013"
"","","1500","","2","-250","862","","13.5","2","18620014"
"","","1750","","1","-125","862","","13.5","33","18620015"
"","","1500","","2","-250","862","","13.5","33","18620016"
"","","1250","","3","-180","862","","13.5","33","18620017"
