47b84a5957588766b55d8c7132add820096191cc17cc371e43824abead4e178d,6a93d57847c5e91e99d8109fcad419b7b334793c32a680e60e3cb899f4629a16,a403a3078a24bb860284a72c78c4ab4c82e8693a16a20cde95606af5ab7c0a4d,fe36844f0201873d6b162589107e42ffeb0de53347fedc8827f7620e929877bc,02c30897647e36a6b2372b6369acb322d23cee44dca7a30e9eaa628cc08f84dd
"add_shadow","シャドウ1体追加","ジータのシャドウが追加される。","74001102","1"
"add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103","2"
"star6_shadow","シャドウ★6化","ノゾミのシャドウが★6になる。","74001104","3"
"add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104","4"
"star6_shadow","シャドウ★6化","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105","5"
"add_shadow","シャドウ3体追加","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105","6"
"add_shadow","シャドウ1体追加","ユカリのシャドウが追加される。","74001202","7"
"add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203","8"
"star6_shadow","シャドウ★6化","ユカリとユイのシャドウが★6になる。","74001204","9"
"add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204","10"
"star6_shadow","シャドウ★6化","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205","11"
"add_shadow","シャドウ3体追加","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205","12"
"boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301","13"
"boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302","14"
"add_shadow","シャドウ1体追加","シズル（サマー）のシャドウが追加される。","74001302","15"
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303","16"
"boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001303","17"
"add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001303","18"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001304","19"
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001304","20"
"boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","74001304","21"
"add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001304","22"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74001305","23"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001305","24"
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001305","25"
"boss_magic_cut","ボス魔法ダメージカット","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","74001305","26"
"add_shadow","シャドウ2体追加","シズル（サマー）とクリスティーナのシャドウが追加される。","74001305","27"
"boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","74001401","28"
"boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001402","29"
"add_shadow","シャドウ1体追加","クウカ（オーエド）のシャドウが追加される。","74001402","30"
