f13e59cac7b188661d812cc1fddbbf2089bd465e5d2ec0e7a6e82adfb2c194d0,61836d961207a7b8c0d1d9edd5859fa3e399d49b14ab416a30783e7055687626,ef22442812f79d64497ebb379d3b67a37e1e80efc2095de8b2a087402b0d7789,472fd3044aabc99a734f6b71afbac498d8cf89d03605e1f80f02d28166e75631,4fd44036642cf9b4c9db15e4073b20137de2035a3c8adf53b01aa55fdd6a1120,691b78bbba009e350e906752707daa5a5d4b64665dbb986b97c8bdb908ea8ac4,68bf165f49aa2ab2fb3d6bcafb47ee107f9787d65a4572d3c8574d1b3456dac0,9a75e1631ed52163e1f0b42020a8baac973c091d6d20aa0eb88d9832c285f362
"1","1","3050100","0","10101020","1","24","0"
"2","1","4010200","0","0","2","24","0"
"3","1","3030200","0","10401020","3","24","0"
"4","1","3050200","0","10401020","4","24","0"
"5","1","3040200","0","10401020","5","24","0"
"6","1","3020200","0","10401020","6","24","0"
"7","1","4010300","0","0","7","24","0"
"101","1","3030100","0","10101020","8","24","0"
"102","1","3010201","0","0","9","24","0"
"103","1","3020201","0","0","10","24","0"
"104","1","3010301","0","0","11","24","0"
"105","1","3030301","0","0","12","24","0"
"106","1","3040301","0","0","13","24","0"
"107","1","3050301","0","0","14","24","0"
"108","1","3020301","0","0","15","24","0"
"109","1","3030300","0","10401050","16","24","0"
"110","1","3040300","0","10401050","17","24","0"
"111","1","3050300","0","10401050","18","24","0"
"112","1","3020300","0","10401050","19","24","0"
"201","1","3010100","0","10101020","20","24","0"
"202","1","3020100","0","10101020","21","24","0"
"203","1","3030100","0","10101020","22","24","0"
"204","1","3040100","0","10101020","23","24","0"
"205","1","3050100","0","10101020","24","24","0"
"206","1","3010200","0","10101020","25","24","0"
"207","1","3020200","0","10101020","26","24","0"
"208","1","3030200","0","10101020","27","24","0"
"209","1","3040200","0","10101020","28","24","0"
"210","1","3050200","0","10101020","29","24","0"
"401","1","1010301","112","0","30","24","0"
"402","1","1020301","203","0","31","24","0"
"403","1","1030301","306","0","32","24","0"
"404","1","1040301","401","0","33","24","0"
"405","1","1050301","508","0","34","24","0"
"406","1","1020301","209","20101050","35","24","0"
"407","1","1030301","306","20101050","36","24","0"
"408","1","1040301","407","20101050","37","24","0"
"409","1","1050301","501","20101050","38","24","0"
"600","1","0","0","0","39","15","11001337"
"600","150","0","0","0","40","8","91002"
"700","1","0","0","0","41","15","11001338"
"799","150","0","0","0","42","8","91002"
"800","1","0","0","0","43","15","11001339"
"999","1","0","0","0","44","24","0"
