2f5cee8ae4525157fd732c8fb1b22bdadefc88a985e6fce600974073d38c8aae,f5b9171db9922a79c1232d7e9dfeae7d617a7f2f7b21354068ef1dc117801839
"130112","16"
"130132","19"
"130162","4"
"130252","1"
"130332","9"
"130492","15"
"130582","10"
"130592","29"
"130602","5"
"130772","1"
"130792","2"
"130802","3"
"130812","6"
"130822","7"
"130832","8"
"130842","11"
"130852","12"
"130862","13"
"130902","14"
"130912","15"
"130952","17"
"130962","18"
"131002","4"
"131012","21"
"131032","22"
"131042","23"
"131052","24"
"131062","25"
"131072","20"
"131112","26"
"131122","27"
"131132","28"
