539b78f96a9f64df4a1f3c952d5c0ceff8d04961725045f989f8a23f52978086,9d37b98bff2439ec29dac8288575ba7ff8659eb36c1c5a6106529eb74501303e,37a9ea538566f7320ddff9511f23629377826f42e1324dc6279d6192372cf20a,84ea1c70fd1852c3ea2f9291254bfa8b248a425e47ac2afda8f6341be12ac4ae,e86b293585da8de9f7226256021209757819c3d3e49e0768f32070a6c9d27474,b67f8dc85059921fe8e31b4f3a197ded03924fb32c149ae0f0d6ea74c4ba37c6,7b287a560e313f98eb48f71ae9165068f09684ed46545f91090ef6b06d03e064
"2500","91002","1","8","101","10","累計スコアを2500pt 獲得しよう"
"5000","91002","1","8","102","10","累計スコアを5000pt 獲得しよう"
"10000","91002","1","8","103","10","累計スコアを10000pt 獲得しよう"
"12500","91002","1","8","104","10","累計スコアを12500pt 獲得しよう"
"15000","91002","1","8","105","10","累計スコアを15000pt 獲得しよう"
"20000","91002","1","8","106","10","累計スコアを20000pt 獲得しよう"
"25000","91002","1","8","107","10","累計スコアを25000pt 獲得しよう"
"30000","91002","1","8","108","10","累計スコアを30000pt 獲得しよう"
"35000","91002","1","8","109","10","累計スコアを35000pt 獲得しよう"
"40000","91002","1","8","110","10","累計スコアを40000pt 獲得しよう"
"45000","91002","1","8","111","10","累計スコアを45000pt 獲得しよう"
"50000","11001302","1","15","112","1","累計スコアを50000pt 獲得しよう"
"2500","91002","2","8","201","10","累計スコアを2500pt 獲得しよう"
"5000","91002","2","8","202","10","累計スコアを5000pt 獲得しよう"
"10000","91002","2","8","203","10","累計スコアを10000pt 獲得しよう"
"12500","91002","2","8","204","10","累計スコアを12500pt 獲得しよう"
"15000","91002","2","8","205","10","累計スコアを15000pt 獲得しよう"
"20000","91002","2","8","206","10","累計スコアを20000pt 獲得しよう"
"25000","91002","2","8","207","10","累計スコアを25000pt 獲得しよう"
"30000","91002","2","8","208","10","累計スコアを30000pt 獲得しよう"
"35000","91002","2","8","209","10","累計スコアを35000pt 獲得しよう"
"40000","91002","2","8","210","10","累計スコアを40000pt 獲得しよう"
"45000","91002","2","8","211","10","累計スコアを45000pt 獲得しよう"
"50000","11001303","2","15","212","1","累計スコアを50000pt 獲得しよう"
