1b2552e97064f93a6fe190dbcf358b4713b3919f5432f19c20ab290729c8b859,637d900c745b94320e86aba325a9ddd68948534c24248079b3721f9acada517a,02672ea3e5b9c264696e6e511e84a31e58d177d6e942a6891a1d6824b17fb163,dd76f09e3b1e532125c434a9b1e4d6c9797a462e766b21f73472c4d885a3f8cf
"1020301","104001","10203","2025/03/31 12:00:00"
"1020302","126401","10203","2025/03/31 12:00:00"
"1020303","134701","10203","2025/04/15 15:00:00"
"1020304","126501","10203","2025/03/31 12:00:00"
"1020305","127801","10203","2025/03/31 12:00:00"
"1020401","132501","10204","2025/05/15 15:00:00"
"1020402","132301","10204","2025/05/03 19:00:00"
"1020403","100901","10204","2025/04/30 12:00:00"
"1020404","102701","10204","2025/04/30 12:00:00"
"1020405","101301","10204","2025/04/30 12:00:00"
"1020406","105101","10204","2025/04/30 12:00:00"
"1020407","105601","10204","2025/04/30 12:00:00"
"1020501","134901","10205","2025/06/10 12:00:00"
"1020502","105401","10205","2025/05/31 12:00:00"
"1020503","113901","10205","2025/05/31 12:00:00"
"1020504","117401","10205","2025/05/31 12:00:00"
"1020505","134801","10205","2025/05/31 12:00:00"
"1020506","106501","10205","2025/05/31 12:00:00"
"1020507","104501","10205","2025/05/31 12:00:00"
"1020508","129701","10205","2025/05/31 12:00:00"
"1020601","129001","10206","2025/06/30 12:00:00"
"1020602","106401","10206","2025/06/30 12:00:00"
"1020603","126101","10206","2025/06/30 12:00:00"
