e32706c1381891bc2545398f64898ff7fe6fa31e96610ac1deb13fdfe4380b66,d6b003519932dbf71f07d63c90c8fcaf18e80113eaef253e7d6bf3916f102890
"1061101","1061001"
"1061102","1061001"
"1061111","1061001"
"1067101","1067001"
"1068101","1068001"
"1068102","1068001"
"1068103","1068001"
"1068111","1068001"
"1069101","1069001"
"1099101","1099001"
"1115101","1115001"
"1115102","1115001"
"1158101","1158001"
"1158102","1158001"
"1158103","1158001"
"1158111","1158001"
"1158201","1158001"
"1158203","1158001"
"1158211","1158001"
"1164101","1164001"
"1182101","1182001"
"1185101","1185001"
"1186101","1186001"
"1208101","1208001"
"1208111","1208001"
"1220101","1220001"
"1223101","1223001"
"1223102","1223001"
"1223110","1223011"
"1223111","1223001"
"1227101","1227001"
"1230101","1230001"
"1250101","1250001"
"1250102","1250001"
"1250111","1250001"
"1258101","1258001"
"1260101","1260001"
"1261101","1261001"
"1262101","1262001"
"1264101","1264001"
"1264102","1264001"
"1264103","1264001"
"1265101","1265001"
"1290101","1290001"
"1293101","1293001"
"1294101","1294001"
"1295101","1295001"
"1296101","1296001"
"1297101","1297001"
"1300101","1300001"
"1301101","1301001"
"1311101","1311003"
"1312101","1312001"
"1318101","1318001"
"1320101","1320001"
"1321101","1321001"
"1321102","1321001"
"1324101","1324003"
"1329101","1329001"
"1331101","1331001"
"1338101","1338003"
"1338102","1338003"
"1345101","1345001"
"1349101","1349001"
"1350101","1350001"
"1350102","1350001"
"1351101","1351001"
"1352101","1352001"
"1356101","1356001"
"1812101","1812001"
"4319101","4319012"
