406269249665488d39df232c7531e8d66196fe2ebacc9a4bb7e973345aa59680,9f8f620fc3d4a0890f9f47239fe274e477c2ab277faefd3ebbae3c2d41f35b29,4c41c14c115584532ee26889c63448d9eb4bdfcf972756597bb89bb39b686c1d,8e0cc459275603ab02d9e347a4079eaafd335fcd4375cda52f4c97bb81bcde48,2ed35d5fef993d164c571cede60e56c5697492f279c9529f2870a78a87778c6b,e6d8c8a3c3de8a43120c6394ba90514443d26d2cc60d92841046eeaa34f29eca,b6037c0dc0da2557a5bec3fce94f85f468257a50bed5bd871f6b29b4f94baacf,a78eebb49f7b58acba0fa0f34dbb5211c0d9f7c02e59bb6d461be5b8bb254aa6,6d574fd1b151b3df4dae04a2d3a2be2a88e1366a3618a804c438472c0cffc43a,39c99cf609042732ad584b21e3b19971c83d90969d1b10d30d328bb51087e7a7
"訓練はまだ\nここからですわ","vo_minigame_1013_icon_1_002_001","1","3000","vo_minigame_1013_icon_2_002_001","2","1000","2","2","調子が上がって\nきたなっ"
"クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_1_003_001","2","3000","vo_minigame_1013_icon_2_003_001","2","5000","2","2","ほらほら、\nまだいけるだろ？"
"すばらしい\n記録ですわ","vo_minigame_1013_icon_1_004_001","3","3000","vo_minigame_1013_icon_2_004_001","3","10000","2","2","へへっ、おまえら\nやるじゃねえか！"
"乗りに乗って\nいますわね","vo_minigame_1013_icon_1_005_001","4","3000","vo_minigame_1013_icon_2_005_001","3","10000","2","3","あたしたちはまだ\n止まらねえぜ！"
"まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_1_005_002","5","3000","vo_minigame_1013_icon_2_005_002","3","10000","2","3","見てろよ！\nマコト班の快進撃だ！"
"エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_1_005_003","6","3000","vo_minigame_1013_icon_2_005_003","3","10000","2","3","うおぉぉっ！\n絶好調だぜ！"
"ここからは\n前人未到の領域です！","vo_minigame_1013_icon_1_006_001","7","3000","vo_minigame_1013_icon_2_006_001","3","0","2","4","どこまで行けるか\n楽しみだなっ！"
"厄介でしたわ…","vo_minigame_1013_icon_1_007_001","8","1000","vo_minigame_1013_icon_2_007_001","4","1","3","5","まだ諦めんなよっ"
"油断大敵です","vo_minigame_1013_icon_1_007_002","9","1000","vo_minigame_1013_icon_2_007_002","4","1","3","5","冷やっとしたぜ…！"
"忌々しいっ…","vo_minigame_1013_icon_1_007_003","10","1000","vo_minigame_1013_icon_2_007_003","4","1","3","5","弱音を吐くなっ"
"大所帯ですわね","vo_minigame_1013_icon_1_008_001","11","1500","vo_minigame_1013_icon_2_008_001","3","99","4","6","マコト班集合！"
"エリコ班へようこそ","vo_minigame_1013_icon_1_008_002","12","1500","vo_minigame_1013_icon_2_008_002","3","99","4","6","連携してくぞ！"
"ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_1_020_001","13","3000","vo_minigame_1013_icon_2_020_001","6","0","1","8","みんなに力を！"
"はっはっは！\n任せろ！","vo_minigame_1013_icon_1_022_001","14","3000","vo_minigame_1013_icon_2_022_001","7","0","1","9","任せてくれたまえ"
"どんどんいくわよ","vo_minigame_1013_icon_1_023_001","15","3000","vo_minigame_1013_icon_2_023_001","8","0","1","10","ほな、いきまひょか"
