18dc63000a41454f9abdc4b6d7ad61442373c360f6f25de43154a2077ba693fb,3012dc10726e3b4d109f0c46c11d3c2b3b7d967f86cada6e8dc8c389ec75df15,b6e865789b992d0e4bb2d0a37490c8ae75b85563b4862972ce0df1fc29e92b4d,641f0d679bc6c64d4ce97327d49b2a733422340d40d7d89af264d3a45bdaa38e,ddad85f98a65ad182141ce07beea51298893ada14e4274b27001228135a40399
"100901","1","1009","1","５文字の空欄が空けられたクイズに答えるクイズゲームでございます。\n５人チームで協力して、おひとり１文字ずつ答えましょう。\nクイズのジャンルには、さまざまなものがございますよ。"
"100902","1","1009","2","楽しみ方に合わせた、２つのプレイモードがございます。\nご自身の実力に挑戦されたい場合はＣＰＵと遊ぶソロモードを、\nお仲間と協力して遊ばれる場合はマルチモードを選んでくださいまし。"
"100903","1","1009","3","ランダムで、ヒントが明かされることがございます。\nさらにヒントが欲しい場合は、「ヒントボタン」を使いましょう。\n回数には限りがあるようですので、無駄遣いは『めっ』でございます。"
"100904","1","1009","4","出題されたクイズは、「アーカイブ」機能で振り返ることができます。\nアーカイブを埋めていくと、限定称号などの報酬がいただけますので、\nしっかり復習をしながら、どんどんクイズをプレイいたしましょう。"
"100905","1","1012","5","あたしに勉強を教えてほしい？　……しょうがないわね、クイズ形式で\n楽しく学力アップを目指すわよ！　あたしかスズナを選んで勉強会を\n始めなさい。スズナと挑むなら、あんたがちゃんと教えてあげるのよ？"
"100906","1","1012","6","問題は３つの出題形式からランダムで選ばれるわ。\n「四択問題」と「一問多答」では回数限定でヒントが使えるわよ！\nどのタイミングでヒントを使うかが成績を伸ばすカギになりそうね。"
"100907","1","1012","7","一度出題された問題は「アーカイブ」に記録されるらしいわ！　復習も\nこれでバッチリできるわね。アーカイブの中身を埋めると称号がもらえる\nみたいだから、張り切ってコンプリートを目指すわよ！"
"100908","2","1012","8","条件を満たすと解放される「やり込みモード」では、制限時間内にどれだ\nけたくさんの問題に正解できるか挑戦することができるわ！\n成長したあんたの実力を見せるチャンスね！頑張りなさい！"
"101401","1","1014","9","賞金獲得目指して『戦車バトル大会』とやらに乗り込むよ！\n最高のマシンを組み上げて他の連中を蹴散らしてやろうじゃないか。"
"101402","1","1014","10","マシン同士の戦いは全て自動で行われるみたいだね。\n……じゃあアタシらが乗り込む意味がない？　はん、何言ってんだい。\n搭乗者の持つスキルが勝負を左右するってこと、肝に銘じておくんだよ。"
"101403","1","1014","11","勝負が長引くと、左右から迫り来る壁でマシンがお陀仏になっちまうよ。\nそれから、画面の外にマシンが吹っ飛ばされても負けっつうルールさ。\nこのスリル、なかなか面白いじゃないか。"
"101404","2","1014","12","『クエスト』モードでは全50ステージのバトルに挑めるって噂だよ。\nへぇ……各世界の姫さんたちとも戦えるのかい。リベンジのついでに、\nマシンに使えそうなパーツでも巻き上げてやろうかねぇ。"
"101405","3","1014","13","え～なに～？　ザコお兄さん、マシンのパーツが欲しいんだ～？\nそ・れ・な・ら～、必死におねだりできたら考えたげちゃおっかな～♡\nジョジに頭下げてモノを恵んでもらうとか～、ダッサダサだけど～ｗ"
"101406","3","1014","14","ゆっとくけど～、いくらプライドのないザコお兄さんでも無限に媚び媚び\nってのはダ・メ♡　ちゃ～んとぼくの気が向くまでハウスしててよね♪\nあ、でもいらないパーツとか分解させてくれたら気が向いちゃうかも♡"
"101407","4","1014","15","ここでは～、持ってるパーツを組み合わせてマシンをカスタムできるって\nよ～？　ってことで、ザコお兄さんなりのザコザコ号を作ってみれば～？\nせーぜーカッコいいザコザコ号になるよーに、がんばれ♡　がんばれ♡"
"101408","4","1014","16","マシンってのは、ベースのボディに他のパーツを装着して完成するワケ。\nパーツが付けられる場所はボディごとに違うから、まずはそれぞれの\nボディに設定された装着可能位置を確認するといーんじゃなーい？"
"101409","4","1014","17","あ、そ～そ～。ボディには装着できるパーツのコスト上限があって～、\nそれを超えるようなウェポンやガジェットは付けらんないからね～？\nってザコお兄さんに計算なんてムリか～♡　ぼくが手伝ったげよっか？"
"101410","4","1014","18","マシンには～、リーダー１人とメンバー２人、合計３人まで乗せられるん\nだって。誰が乗るかによってマシンの力も変わるから、ちゃーんと\n選んだ方がいいっぽいよ～？　お兄さんは、ぼくを選んでくれるよね～？"
"101411","5","1014","19","『ライバルバトル』では、いろんな方のマシンに勝負を挑むことできる\nみたいです。たくさん勝ってポイントを集めると、ミッションから報酬を\nもらえるので、頑張らなきゃ……お夕飯のおかずのためにも……！"
"101412","6","1014","20","『仲間とバトル』では、フレンドやクランメンバーのみなさんと\n対戦できるそうです。お、お手柔らかにお願いしますね……\n……ってぇ～！？　フブキちゃん、わたしのこと狙わないで～っ！？"
