33ab7559520c85f8d75d6105e42ec0df818ddc475576172416f47a91c847f85c,353e8ba48e4b3f68b9b6803b9527d317353ad712c20e20723d1640c319f2ac9b,7ddba8eb4fac89e69eb3b9a4a3002626c3382ecc7c5cb1ec9f98ba68a3425749,66d0596522916b000ef8692f5735277ccfe623b769bff463750702b03a1cc014,040e9da5cf1f8c6d45bbc8ed3274fec3acd1e6426bf649958c69c563e947684a
"2700","1","1","0","1"
"3600","2","2","0","1"
"5400","3","3","0","1"
"3600","4","1","1","1"
"5400","5","2","1","1"
"7200","6","3","1","1"
"1800","7","1","0","2"
"2700","8","2","0","2"
"3600","9","3","0","2"
"2700","10","1","1","2"
"4050","11","2","1","2"
"5400","12","3","1","2"
"1800","13","1","0","3"
"2700","14","2","0","3"
"3600","15","3","0","3"
"2700","16","1","1","3"
"4050","17","2","1","3"
"5400","18","3","1","3"
"1800","19","1","0","4"
"2700","20","2","0","4"
"3600","21","3","0","4"
"2700","22","1","1","4"
"4050","23","2","1","4"
"5400","24","3","1","4"
