5d5e56c123da623da0c389d3f656ab735b20213666fb49f6fc442685e0deb70e,ea0eec4d85597ced0d2a1cd12be086664afa10fc938f842c39f70604ffd5ed46,f19c16113febdff69a3a21420c195e9e4cf259ec5030c2219c3d5b6f034b6350,73bab41c383fbbc978f4b615f6f7da226476a80d1557625c55ca885b187c0d7f,e9f5a1624c4202632a96632529ed5f332b0db976d6bb311abadfc84a5149b084,686acaea21d16a2e0b404300ab8ff262f3bc35bc18c5e071bf079cb7811b0b82,33f47f56d0b4b18fdf90b9d7a3cc34f80503a8d437ee46b556c2de228e655f9e,d69f8a89bb5b7537f723d3e4b58645b105a6bacad6f488ba8c8e81364ad1e1db,7b765de00b16ffe8a2b6824101b2f90a1625cfe4ea8d56693dba5ff6f46340b0,8c34705db9b4640be2d0f1afc05a0accefede6df5a7ff92d51773d3cebefef4b,c78001aeddf56bf8bba0d78bf99143845c54a451e40f21d5a18d0b43601f9311,99b9e2e69b9500625ecaa667c9e5950bc30e38dff7d4a1c81f76e5e50b9197c4
"70","5.5","5","10201201","0","1","610201102","0","5201322","0","1","5201321"
"0","1.5","5","10201201","15","3","610201103","3","5201323","600","2","0"
"0","1.5","5","10201201","0","1","610201104","0","0","0","3","0"
"70","5.5","5","10201501","0","1","610201105","0","0","0","1","0"
"0","1.5","5","10201501","15","3","610201106","3","0","600","2","0"
"0","1.5","5","10201501","0","1","610201107","0","0","0","3","0"
"0","5.5","5","10201251","0","2","610201152","3","5201332","600","1","5201331"
"65","1.5","5","10201251","0","1","610201153","0","5201333","0","2","0"
"0","1.5","5","10201251","0","1","610201154","0","0","0","3","0"
"0","5.5","5","10201551","0","2","610201155","3","0","600","1","0"
"65","1.5","5","10201551","0","1","610201156","0","0","0","2","0"
"0","1.5","5","10201551","0","1","610201157","0","0","0","3","0"
"0","5.5","5","10202201","0","2","610202102","3","5202322","600","1","5202321"
"70","1.5","5","10202201","0","1","610202103","0","5202323","0","2","0"
"0","1.5","5","10202201","0","1","610202104","0","0","0","3","0"
"0","5.5","5","10202501","0","2","610202105","3","0","600","1","0"
"70","1.5","5","10202501","0","1","610202106","0","0","0","2","0"
"0","1.5","5","10202501","0","1","610202107","0","0","0","3","0"
"0","5.5","5","10203201","0","2","610203102","3","5203322","600","1","5203321"
"66","1.5","5","10203201","0","1","610203103","0","5203323","0","2","0"
"0","1.5","5","10203201","0","1","610203104","0","0","0","3","0"
"0","5.5","5","10203501","0","2","610203105","3","0","600","1","0"
"66","1.5","5","10203501","0","1","610203106","0","0","0","2","0"
"0","1.5","5","10203501","0","1","610203107","0","0","0","3","0"
"0","5.5","5","10204201","0","2","610204102","3","5204322","600","1","5204321"
"60","1.5","5","10204201","0","1","610204103","0","5204323","0","2","0"
"0","1.5","5","10204201","0","1","610204104","0","0","0","3","0"
"0","5.5","5","10204501","0","2","610204105","3","0","600","1","0"
"80","1.5","5","10204501","0","1","610204106","0","0","0","2","0"
"0","1.5","5","10204501","0","1","610204107","0","0","0","3","0"
"0","5.5","5","10205201","0","2","610205102","3","5205322","600","1","5205321"
"65","1.5","5","10205201","0","1","610205103","0","5205323","0","2","0"
"0","1.5","5","10205201","0","1","610205104","0","0","0","3","0"
"0","5.5","5","10205501","0","2","610205105","3","0","600","1","0"
"66","1.5","5","10205501","0","1","610205106","0","0","0","2","0"
"0","1.5","5","10205501","0","1","610205107","0","0","0","3","0"
"0","5.5","5","10206201","0","2","610206102","3","5206322","600","1","5206321"
"0","1.5","5","10206201","0","2","610206103","3","5206323","600","2","0"
"0","1.5","5","10206201","0","1","610206104","0","0","0","3","0"
"0","5.5","5","10206501","0","2","610206105","3","0","600","1","0"
"0","1.5","5","10206501","0","2","610206106","3","0","600","2","0"
"0","1.5","5","10206501","0","1","610206107","0","0","0","3","0"
"0","5.5","5","10207201","0","2","610207102","3","5207322","600","1","5207321"
"66","1.5","5","10207201","0","1","610207103","0","5207323","0","2","0"
