218e2aa96febea86dd7504590c5e3944e762660b5150d132d9dabfe1e437e656,b16b78ad1db03c4d00feaf02cc3e844db440041883de79b2fa96962c2f276823,19f934c45ae3a18949d4e42f5279fece0b8170f035cfbbba7945d9d8d81865dd,90774ec42d52c2b1a6a2a1c659a71294e88bbcb51ad4de516dfa411aa5f48bc6,4f1d457edf8c96ea3bd94eebb31beb5e99aac65221180650ebf60a53761898df,9c9403b5dc2442f4f5e9922600982799aae585ee91d7d31ce6548b69844cd427,0b4c6e0152bcbc27d76f5ef59710d152a089b1095b05dfe83a2a282ef01dbf84,b9d3bd07ba5bcd02c24e39a4c57cde96f30a6b8e88a678974b644e1a35701bdf,2b493a02a32a70bb08ba2f39d2910be2689abb259a79749d5a898872d0c10205,3fcebc68bdb9ad3846f7ad96f92c8af964f8f9b6bb7f86755b92951bef021bb5
"15","2","","8","22","-1","53003","3","2","10001"
"1","1","","5","22","14","53003","3","1","10002"
"0","0","ワカナの施し","2","23","0","52019","3","0","10003"
"15","2","","8","22","-1","53003","4","2","10004"
"1","1","","5","22","14","53003","4","1","10005"
"0","0","ワカナの施し","2","23","0","52019","4","0","10006"
"15","2","","8","22","-1","53003","5","2","10007"
"1","1","","5","22","14","53003","5","1","10008"
"0","0","ワカナの施し","2","23","0","52019","5","0","10009"
"15","2","","8","22","-1","53003","6","2","10010"
"1","1","","5","22","14","53003","6","1","10011"
"0","0","ワカナの施し","2","23","0","52019","6","0","10012"
"15","2","","8","22","-1","53003","7","2","10013"
"1","1","","5","22","14","53003","7","1","10014"
"0","0","ワカナの施し","2","23","0","52019","7","0","10015"
"15","2","","8","22","-1","53003","8","2","10016"
"1","1","","5","22","14","53003","8","1","10017"
"0","0","ワカナの施し","2","23","0","52019","8","0","10018"
"15","2","","8","22","-1","53003","9","2","10019"
"1","1","","5","22","14","53003","9","1","10020"
"0","0","ワカナの施し","2","23","0","52019","9","0","10021"
"15","2","","8","22","-1","53003","10","2","10022"
"1","1","","5","22","14","53003","10","1","10023"
"0","0","ワカナの施し","2","23","0","52019","10","0","10024"
