570d39db4d2ae5140caf5117b9f57b2e0b993920362f8b0f4357953230d5de4d,84659360fab0882523ffb695ebe93eddba301fb319dc2eb22a9202cf454585d7,8f41023a938e2b5dd54c594af4e8fdd0dfdd73c8a71a590b1e2fbd53f57f3520,6910accac2d149a216b7e1e9bc1dc5296fb426a3d2f208be3105ccb7ca162008,a5b6c2b46633e4fad6e623b5d1838f99b0b29d0272569fef0c2096c8f06fe0ed,624bafadf1f217e34f6c43470e53d8a8162bb00b9185a585aa3c307b3f960439,43d99c7c0dca4e3a3959a400f6fa77ba23da96e98f491faad5ffa8d9e7ad0e3a,7b7d1c21eb210142c00e2868ec878bd9e823fc0169c2c521e8a4de2e8865c5f8,94a741f752b0f919f9fa1f620289e1d5e4e0fb98d496a72243404875edf96712,6fb0ae4309c4aab7f046d332f8677470a9ccc788650723caedf90d253c1e5fa5,68cb5bf1d19fd9862ee0a10bef4141c1fb550874050f6fb5debc1cc1b7518f4f
"1","105811","42","1","1","101","-68","20011","0.8","travel_topdrama_r_2000_idle_smile","1200110001"
"0","106011","-42","1","1","102","-68","20011","0.8","travel_topdrama_r_2000_idle_sad_shy","1200110002"
"0","0","0","0","5","110","-75","20011","1","mana","1200110003"
"","","","0","91","","","20011","","","1200110004"
"","0","","10","93","","","20011","","","1200110005"
"","","","1200110005","101","","","20011","","","1200110006"
"","none","","0","3","0","","20011","0","","1200110007"
"","","","0","91","","","20011","","","1200110008"
"","103","","105811","13","","","20012","","","1200120001"
"","104","","106011","13","","","20012","","","1200120002"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","105811","3","0","1","20012","0.2","","1200120003"
"","vo_travel_talk_20001_00","0","vo_travel_talk","21","0","","20012","","","1200120004"
"0","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","1","105811","11","10","1","20012","0","0","1200120005"
"","","","0","91","","","20012","","","1200120006"
"","travel_topdrama_r_2000_idle_smile","","105811","3","1","","20012","0.2","","1200120007"
"","travel_topdrama_r_2000_talk_anger_shy","","106011","3","1","1","20012","0.2","","1200120008"
"","vo_travel_talk_20001_01","0","vo_travel_talk","21","0","","20012","","","1200120009"
"0","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","1","106011","11","10","1","20012","0","0","1200120010"
"","","","0","91","","","20012","","","1200120011"
"","travel_topdrama_r_2000_idle_sad_shy","","106011","3","1","","20012","0.2","","1200120012"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","105811","3","0","1","20012","0.2","","1200120013"
"","vo_travel_talk_20001_02","0","vo_travel_talk","21","0","","20012","","","1200120014"
"0","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","1","105811","11","10","1","20012","0","0","1200120015"
"","","","0","91","","","20012","","","1200120016"
"","travel_topdrama_r_2000_idle_smile","","105811","3","1","","20012","0.2","","1200120017"
"","","","","112","","","20012","","","1200120018"
"","","","0","91","","","20012","","","1200120019"
"1","100211","42","1","1","101","-68","20021","0.8","travel_topdrama_r_2000_idle_normal","1200210001"
"0","100111","-42","1","1","102","-68","20021","0.8","travel_topdrama_r_2002_sitting_loop","1200210002"
"0","3","-42","3","5","100","-68","20021","0.8","travel_topdrama_r_2002_sitting_loop","1200210003"
"0","0","0","0","5","110","-75","20021","1","mana","1200210004"
"","","","0","91","","","20021","","","1200210005"
"","0","","10","93","","","20021","","","1200210006"
"","","","1200210006","101","","","20021","","","1200210007"
"","none","","0","3","0","","20021","0","","1200210008"
"","","","0","91","","","20021","","","1200210009"
"","103","","100211","13","","","20022","","","1200220001"
"","104","","100111","13","","","20022","","","1200220002"
"","travel_topdrama_r_2000_talk_normal","","100211","3","1","1","20022","0.2","","1200220003"
"","vo_travel_talk_20002_00","0","vo_travel_talk","21","0","","20022","","","1200220004"
"0","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","1","100211","11","10","1","20022","0","0","1200220005"
"","","","0","91","","","20022","","","1200220006"
"","travel_topdrama_r_2000_idle_normal","","100211","3","1","","20022","0.2","","1200220007"
"","vo_travel_talk_20002_01","0","vo_travel_talk","21","0","","20022","","","1200220008"
"0","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","1","100111","11","10","1","20022","0","0","1200220009"
"","","","0","91","","","20022","","","1200220010"
"","travel_topdrama_r_2000_talk_wish_in_joy","travel_topdrama_r_2000_talk_wish_loop_joy","100211","3","0","1","20022","0.2","","1200220011"
"","vo_travel_talk_20002_02","0","vo_travel_talk","21","0","","20022","","","1200220012"
"0","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","1","100211","11","10","1","20022","0","0","1200220013"
"","","","0","91","","","20022","","","1200220014"
"","travel_topdrama_r_2000_idle_wish_joy","","100211","3","1","","20022","0.2","","1200220015"
"","","","","112","","","20022","","","1200220016"
"","","","0","91","","","20022","","","1200220017"
"0","100411","-42","1","1","101","-68","20031","0.8","travel_topdrama_r_2000_idle_doya","1200310001"
"1","102011","42","1","1","102","-68","20031","0.8","travel_topdrama_r_2000_idle_normal","1200310002"
"0","0","0","0","5","110","-75","20031","1","mana","1200310003"
"","","","0","91","","","20031","","","1200310004"
"","0","","10","93","","","20031","","","1200310005"
"","","","1200310005","101","","","20031","","","1200310006"
"","none","","0","3","0","","20031","0","","1200310007"
"","","","0","91","","","20031","","","1200310008"
"","103","","100411","13","","","20032","","","1200320001"
"","104","","102011","13","","","20032","","","1200320002"
"","travel_topdrama_r_2000_talk_doya_in","travel_topdrama_r_2000_talk_doya_loop","100411","3","0","1","20032","0.2","","1200320003"
"","vo_travel_talk_20003_00","0","vo_travel_talk","21","0","","20032","","","1200320004"
"0","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","1","100411","11","10","1","20032","0","0","1200320005"
"","","","0","91","","","20032","","","1200320006"
"","travel_topdrama_r_2000_idle_doya","","100411","3","1","","20032","0.2","","1200320007"
"","travel_topdrama_r_2000_talk_wish_in","travel_topdrama_r_2000_talk_wish_loop","102011","3","0","1","20032","0.2","","1200320008"
"","vo_travel_talk_20003_01","0","vo_travel_talk","21","0","","20032","","","1200320009"
"0","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","1","102011","11","10","1","20032","0","0","1200320010"
"","","","0","91","","","20032","","","1200320011"
"","travel_topdrama_r_2000_idle_wish","","102011","3","1","","20032","0.2","","1200320012"
"","travel_topdrama_r_2000_talk_sad_in_surprise2","travel_topdrama_r_2000_talk_sad_loop_surprise2","100411","3","0","1","20032","0.2","","1200320013"
"","vo_travel_talk_20003_02","0","vo_travel_talk","21","0","","20032","","","1200320014"
"0","えっ？　ぐるぐる？\n……あ～！？　イタズラで使う磁石、\n同じポケットに入れたままだった～！","1","100411","11","10","1","20032","0","0","1200320015"
"","","","0","91","","","20032","","","1200320016"
"","travel_topdrama_r_2000_idle_sad_surprise2","","100411","3","1","","20032","0.2","","1200320017"
"","","","","112","","","20032","","","1200320018"
"","","","0","91","","","20032","","","1200320019"
"1","105311","42","1","1","101","-68","20041","0.8","travel_topdrama_r_2000_idle_normal","1200410001"
"0","104511","-42","1","1","102","-68","20041","0.8","travel_topdrama_r_2000_idle_wish","1200410002"
"0","0","0","0","5","110","-75","20041","1","mana","1200410003"
"","","","0","91","","","20041","","","1200410004"
"","0","","10","93","","","20041","","","1200410005"
"","","","1200410005","101","","","20041","","","1200410006"
"","none","","0","3","0","","20041","0","","1200410007"
"","","","0","91","","","20041","","","1200410008"
"","103","","105311","13","","","20042","","","1200420001"
"","104","","104511","13","","","20042","","","1200420002"
"","travel_topdrama_r_2000_talk_surprise_in_sad","travel_topdrama_r_2000_talk_surprise_loop_sad","105311","3","0","1","20042","0.2","","1200420003"
"","vo_travel_talk_20004_00","0","vo_travel_talk","21","0","","20042","","","1200420004"
"0","ど、どうしたんだクウカ！？\n顔が真っ赤だし、こんなに汗ばんで……\nどこか、体調でも悪いのか！？","1","105311","11","10","1","20042","0","0","1200420005"
"","","","0","91","","","20042","","","1200420006"
"","travel_topdrama_r_2000_idle_surprise_sad","","105311","3","1","","20042","0.2","","1200420007"
"","travel_topdrama_r_2000_talk_wish_loop","","104511","3","1","1","20042","0.2","","1200420008"
"","vo_travel_talk_20004_01","0","vo_travel_talk","21","0","","20042","","","1200420009"
"0","これから行く場所には見たこともない\n恐ろしい魔物がいて、きっとクウカは\n空前絶後の辱めを受けることに……♪","1","104511","11","10","1","20042","0","0","1200420010"
"","","","0","91","","","20042","","","1200420011"
"","travel_topdrama_r_2000_idle_wish","","104511","3","1","","20042","0.2","","1200420012"
"","travel_topdrama_r_2000_talk_doya_in_sad","travel_topdrama_r_2000_talk_doya_loop_sad","105311","3","0","1","20042","0.2","","1200420013"
"","vo_travel_talk_20004_02","0","vo_travel_talk","21","0","","20042","","","1200420014"
