2f3cabd700b7337e0109bd27a24830abf4ec279a0c43830299de4d6c6cde5fd6,02ae2497a450b619286d67575a8674ba55369f18cfbcf7245f08ee72941a8514,956771b6663150b4cebc5c06ee24bfd84ca75622d18d5042ab43bb94cebbdcbc,38f88589996cc5d60ff0e1059a00775949a6bdc8ebabdb33a353589514043fc4,aa875fea7778b5662c9c29ab49371bfcb048add875376a1c82bda8a0ee6e1f1f,8c03acc792214e9fd4d7c9c3135dec684abf685fc6a448c34e4c466663033ce8,5f54daafbc820e7d9c5d6d86537057f48f93dbf4b56a051f5c7189bd0c0f3f49,c42e766f2cb284ddb26cc98079f17ee9b89e3b64e374ccfbb60fc4519e16a75f,6983364a57fcddf365e904f45a4ddf0add2635bc32382a086c599c19d8e44c2e,02368200b5cd2d736994c7c68bee8ddff0d4ef465ed26fea196ce820d76ac08e,9a9e6a7e2a09960d24d49a85b9110e80b58d97c5ce13c89753a4230a8e5f2a7f
"1","0","1000","1","1","0","0","10011","5","1","1"
"2","0","2000","2","0","0","1","10012","2","2","2"
"2","0","2000","3","0","0","1","10013","5","3","3"
"2","0","2000","4","0","0","1","10014","8","4","4"
"3","0","3000","5","0","0","2","10015","2","5","5"
"3","0","3000","6","0","0","3","10016","5","6","6"
"3","0","3000","7","0","0","4","10017","8","7","7"
"4","0","4000","8","0","0","5","10018","2","8","8"
"4","0","4000","9","0","0","6","10019","5","9","9"
"4","0","4000","10","0","0","7","10020","8","10","10"
"5","10","10000","11","1","9","8","10021","5","11","11"
"6","0","8000","12","0","0","11","10022","2","12","12"
"6","0","8000","13","0","0","11","10023","5","13","13"
"6","0","8000","14","0","0","11","10024","8","14","14"
"7","0","10000","15","0","0","12","10025","2","15","15"
"7","0","10000","16","0","0","13","10026","5","16","16"
"7","0","10000","17","0","0","14","10027","8","17","17"
"8","0","12000","18","0","0","15","10028","2","18","18"
"8","0","12000","19","0","0","16","10029","5","19","19"
"8","0","12000","20","0","0","17","10028","8","20","20"
"9","20","20000","21","1","19","18","10030","5","21","21"
"10","0","10000","22","0","0","21","10012","2","22","22"
"10","0","10000","23","0","0","21","10013","5","23","23"
"10","0","10000","24","0","0","21","10014","8","24","24"
"11","0","12000","25","0","0","22","10015","2","25","25"
"11","0","12000","26","0","0","23","10016","5","26","26"
"11","0","12000","27","0","0","24","10017","8","27","27"
"12","0","14000","28","0","0","25","10018","2","28","28"
"12","0","14000","29","0","0","26","10019","5","29","29"
"12","0","14000","30","0","0","27","10020","8","30","30"
"13","30","20000","31","1","29","28","10032","5","31","31"
"14","0","12000","32","0","0","31","10022","2","32","32"
"14","0","12000","33","0","0","31","10023","5","33","33"
"14","0","12000","34","0","0","31","10024","8","34","34"
"15","0","14000","35","0","0","32","10025","2","35","35"
"15","0","14000","36","0","0","33","10026","5","36","36"
"15","0","14000","37","0","0","34","10027","8","37","37"
"16","0","16000","38","0","0","35","10028","2","38","38"
"16","0","16000","39","0","0","36","10029","5","39","39"
"16","0","16000","40","0","0","37","10028","8","40","40"
"17","40","30000","41","1","39","38","10033","5","41","41"
