7ed88781951f8702f9a3b6ddc122eacb67339f3c22a63354a419972f75c87961,3a01a59f9c8d22d106f851131c0ea22b86a49fee76c70c0d23bc064fba75c35b,655066d2d6eb8b7ad87cbe7cebb1d960090fb571e8904228e2231e50aa4ac05f,eb5941e634b03a3d3fb5c47103b92b985eefd4ab2ccb6d094153193a3e7562c9,00c053691222749e286454e6b12a2b5a04f4f2983b6f8c5520dd71fb0173a448,ae7fdf20d90fe49990441a802b95bfffc8b18f6de8ff7d1423c4b83d34d068e4,c828f525e0de702ec87be297a07f08ac6d39bad273c0e05d39e714ee8506763f,9cee254fb2cddc66ea6bc9e94a216a93e6380b2b487f6df0c36539259f53d1f2,301f31c44d2d546a32ef717d41462d4b5ef12152e246dda81a2ef7796962271d,eea734a9fc6c8bdf1c4fad318b5993f3bda6541d8dc26c80e07994d6db39a064
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1001","0","126501","","ライラエル"
"2","","最大1000マイルを入手する","10001","2","1002","0","105301","","モニカ"
"1","","料理を{0}つ入手する","1","3","1003","0","126401","","クローチェ"
"3","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","1","4","1004","0","100501","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","マツリ"
"2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","4","1005","0","101301","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ナナカ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","5","1006","0","104301","","マコト"
"3","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","5","1007","0","102701","","エリコ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1008","0","100901","","アンナ"
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1009","0","105101","","ミツキ"
"2","","最大1000マイルを入手する","10001","2","1010","0","101801","","イオ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","0","8","1011","0","129701","","ネフィ＝ネラ"
"3","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","1","4","1012","0","101601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","スズナ"
"2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","4","1013","0","105601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ルカ"
"3","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","5","1014","0","102001","","ミミ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1015","0","129601","","アネモネ"
"2","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","10","1016","1","100401","","ミソギ"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","2","13","1017","1","127701","","リンド"
"2","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1","10","1018","1","127801","","ヴルム"
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1019","0","104801","","ミフユ"
"2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","4","1020","0","104701","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ジュン"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1021","0","105001","","ミサキ"
"1","","最大2000マイルを入手する","10002","2","1022","0","103201","","アキノ"
"1","","福引券を{0}枚入手する","1","12","1023","0","130901","","クルル"
"1","","料理を{0}つ入手する","1","3","1024","0","102501","","スズメ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","0","8","1025","0","100801","","ユキ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","5","1026","0","123301","","ネア"
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1027","0","104601","","タマキ"
"2","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","2","4","1028","0","118101","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ランファ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1029","0","103401","","ユカリ"
"1","","最大2000マイルを入手する","10002","2","1030","0","118001","","クレジッタ"
"1","","福引券を{0}枚入手する","1","12","1031","0","102801","","サレン"
"1","","料理を{0}つ入手する","1","3","1032","0","100201","","ユイ"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","1","13","1033","1","101201","","ハツネ"
"3","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","1","4","1034","0","118201","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ミソラ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1035","0","106101","","ムイミ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","5","1036","0","103101","","シノブ"
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1037","0","103301","","マヒル"
"1","","最大2000マイルを入手する","10002","2","1038","0","103601","","キョウカ"
"1","","福引券を{0}枚入手する","1","12","1039","0","133001","","グレイス"
"1","","料理を{0}つ入手する","1","3","1040","0","133101","","ヴァイオレット"
"2","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","0","8","1041","0","106801","","ラビリスタ"
"3","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる","1","4","1042","0","107101","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","クリスティーナ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","6","1043","0","107001","","ネネカ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","5","1044","0","106501","","カヤ"
"1","","最大50％割引確定のショップを開く（1品100％割引あり）","10001","1","1045","0","111001","","ユニ"
"1","","最大2000マイルを入手する","10002","2","1046","0","134901","","カノン"
"1","","福引券を{0}枚入手する","1","12","1047","0","105401","","ツムギ"
"1","","料理を{0}つ入手する","1","3","1048","0","134701","","ホウオウ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","0","8","1049","0","100101","","ヒヨリ"
