d1589a1bded12db1be87ece5683a3147f3668d8d3e5f6eca4c87d3c22df531d2,adb856a976bbfdcae26f3f9b7d96c95c772ddaf789f437d48b09ddcc90227a9b,9644177e21e4c0f57f70474e9eef05bde055641563e2c11c1f45081bb441ee0c,0231d4a6dfe4b105fb91716137b843b744175715c2604d322fbd794c27da835c,ec4f82d4847c7a70f824371f14cb482847fc567454b043416e52548d8796fa85,b5eeab20144eea928ceda11589229f3f389b45eb30e950088c1120ed79a23b0b
"リンゴ","1000100","1","10001","1","赤くて甘酸っぱい果物。"
"アップル","1000101","2","10001","1","「リンゴ」の英語読み。"
"きんだんのかじつ","1000102","2","10001","1","知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。"
"ゴリラ","1000200","1","10002","1","強くて黒くてムキムキ。バナナが大好きな生き物。"
"れいちょうるい","1000201","2","10002","1","動物の分類のうちのひとつ。"
"うほうほ","1000202","2","10002","1","ゴリラの猛々しい鳴き声をあらわした擬声語。"
"マスター・ウキキー","1000203","3","10002","1","「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。"
"ラッパ","1000300","1","10003","1","特定の金管楽器をひとまとめにした呼び方。"
"トランペット","1000301","2","10003","1","金管楽器のうちのひとつ。"
"かんがっき","1000302","2","10003","1","楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。"
"パイナップル","1000400","1","10004","1","暖かい地域で育つ、黄色くて甘酸っぱい果物。"
"アナナス","1000401","2","10004","1","「パイナップル」のまた別の呼び方。"
"ルビー","1000500","1","10005","1","宝石の女王とも呼ばれる、鮮やかな赤色の宝石。"
"ほうせき","1000501","1","10005","1","装飾品に用いられる、美しく希少価値の高い鉱物。"
"ガーネット","1000502","2","10005","1","ワインレッド色の宝石。ザクロ石とも呼ばれる。"
"ジュエリー","1000503","2","10005","1","「ほうせき」の英語読み。"
"アキノのブローチ","1000504","3","10005","1","「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。"
"こうきせきウィスタリア","1000505","3","10005","1","「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。"
"ビールっぽいもの","1000600","1","10006","1","「ビール」なる飲み物によく似た飲み物。"
"ジョッキ","1000601","1","10006","1","片っ方に取っ手のついた、飲み物用の容器。"
"むぎしゅわ","1000602","3","10006","1","「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。"
"エターナルジョッキ","1000603","3","10006","1","「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。"
"ゆみや","1000700","1","10007","1","弓と矢からなる武器。"
"とびどうぐ","1000701","2","10007","1","遠くから飛ばして攻撃するタイプの武器のこと。"
"アロー","1000702","2","10007","1","「矢」の英語読み。"
"ボウ","1000703","2","10007","1","「弓」の英語読み。"
"おんぷ","1000800","1","10008","1","音楽において音を書き表すための記号。"
"リズム","1000801","1","10008","1","音楽における音の流れの構造。"
