9ce6c68f89fe7a10dafd3b26966eddca5c6f5f30c5998803f9e90483cb00bc14,558079248a7cba2f81a1b3a342f2758ab1a850f2a0e14de8549ad227497da813,c9a9e81c1e3226625a3a84aee49f4e1b33f24081fd7ad16c4db8d786b1eaaa6d,345f91e1690f226e5d0bcfb822da3c66712826dd701699c209a7595077ddd7ee,62e69b67142acf50610c4ca74a172744bbd320d49dd23cbef418ec45c0721187,4e2b9b4f5a14fbbd075de4587de425be0e53890c4846af7179456bc269e4acdb,3f838e99d0272137e8a7e39dd71d6b34e179423c6eb902d1630bc762d24bd66b
"2500","累計スコアを2500pt 獲得しよう","91002","10","8","101","1"
"5000","累計スコアを5000pt 獲得しよう","91002","10","8","102","1"
"10000","累計スコアを10000pt 獲得しよう","91002","10","8","103","1"
"12500","累計スコアを12500pt 獲得しよう","91002","10","8","104","1"
"15000","累計スコアを15000pt 獲得しよう","91002","10","8","105","1"
"20000","累計スコアを20000pt 獲得しよう","91002","10","8","106","1"
"25000","累計スコアを25000pt 獲得しよう","91002","10","8","107","1"
"30000","累計スコアを30000pt 獲得しよう","91002","10","8","108","1"
"35000","累計スコアを35000pt 獲得しよう","91002","10","8","109","1"
"40000","累計スコアを40000pt 獲得しよう","91002","10","8","110","1"
"45000","累計スコアを45000pt 獲得しよう","91002","10","8","111","1"
"50000","累計スコアを50000pt 獲得しよう","11001302","1","15","112","1"
"2500","累計スコアを2500pt 獲得しよう","91002","10","8","201","2"
"5000","累計スコアを5000pt 獲得しよう","91002","10","8","202","2"
"10000","累計スコアを10000pt 獲得しよう","91002","10","8","203","2"
"12500","累計スコアを12500pt 獲得しよう","91002","10","8","204","2"
"15000","累計スコアを15000pt 獲得しよう","91002","10","8","205","2"
"20000","累計スコアを20000pt 獲得しよう","91002","10","8","206","2"
"25000","累計スコアを25000pt 獲得しよう","91002","10","8","207","2"
"30000","累計スコアを30000pt 獲得しよう","91002","10","8","208","2"
"35000","累計スコアを35000pt 獲得しよう","91002","10","8","209","2"
"40000","累計スコアを40000pt 獲得しよう","91002","10","8","210","2"
"45000","累計スコアを45000pt 獲得しよう","91002","10","8","211","2"
"50000","累計スコアを50000pt 獲得しよう","11001303","1","15","212","2"
