6e9a0f94ee1156e36930e7edfc1e776f15021171b0dd53f3e5921543f801e760,72e9744e529a117db9c061b02a6ac60e3a045e6e801db8374ec5273b4f9339fc
"4101501","1004"
"4101502","1004"
"4101511","1012"
"4102501","1004"
"4103501","1004"
"4103511","1012"
"4104501","1004"
"4105501","1004"
"4106501","1004"
"4107501","1004"
"4107511","1012"
"4108501","1004"
"4109501","1005"
"4109511","1013"
"4110501","1005"
"4110511","1013"
"4201501","1006"
"4201511","1014"
"4201512","1014"
"4201513","1014"
"4201514","1014"
"4201515","1014"
"4202501","1006"
"4202511","1014"
"4202512","1014"
"4202513","1014"
"4202514","1014"
"4202515","1014"
"4203501","1007"
"4203511","1015"
"4203512","1015"
"4203513","1015"
"4203514","1015"
"4203515","1015"
"4204501","1007"
"4204511","1015"
"4204512","1015"
"4204513","1015"
"4204514","1015"
"4204515","1015"
"4301511","1010"
"4301512","1010"
"4301513","1010"
"4301514","1010"
"4301515","1010"
"4301516","1010"
"4301517","1010"
"4301518","1010"
"4301519","1010"
"4301520","1010"
"4301601","1008"
"4302511","1010"
"4302512","1010"
"4302513","1010"
"4302514","1010"
"4302515","1010"
"4302516","1010"
"4302517","1010"
"4302518","1010"
"4302519","1010"
"4302520","1010"
"4302601","1008"
"4303511","1010"
"4303512","1010"
"4303513","1010"
"4303514","1010"
"4303515","1010"
"4303516","1010"
"4303517","1010"
"4303518","1010"
"4303519","1010"
"4303520","1010"
"4303601","1008"
"4304511","1011"
"4304512","1011"
"4304513","1011"
"4304514","1011"
"4304515","1011"
"4304516","1011"
"4304517","1011"
"4304518","1011"
"4304519","1011"
"4304520","1011"
"4304601","1009"
"4305511","1011"
"4305512","1011"
"4305513","1011"
"4305514","1011"
"4305515","1011"
"4305516","1011"
"4305517","1011"
"4305518","1011"
"4305519","1011"
"4305520","1011"
"4305601","1009"
