f233dcd8c7f14d01e9171abfaf44feef15e73dcea2ce93859261fd4a12593b0f,89e9b0565193161cd35fa09f5a2f385ef92712508088265fcfbf34cecf688382,96baa616f783d12b894e79f8ee5bd571099c3df9c28c15c74eb0d84002352dae,575de6469f4ee5589c538b0b487028ca016a7f48a8542964d4daea9205b2ffcb,50110a240215b66fd98b7718d7d30395b4e6e433aa0508b987e8f73d1e7d26e6
"1","1","135","1","300"
"1","1","425","2","-100"
"1","2","-100","3","125"
"1","2","375","4","-415"
"1","3","25","5","-50"
"1","3","-25","6","-300"
"1","4","-195","7","-335"
"1","4","105","8","-415"
"1","5","135","9","-160"
"1","6","345","10","-40"
"1","7","-230","11","90"
"1","8","230","12","-420"
"1","9","30","13","250"
"1","10","280","14","-245"
"1","11","-150","15","-110"
