201dcf242a8f38cdc852093812ef1b4f428373c7e650b396080a2c3aa2292ae9,6f9f0e0d2a0654a07fc18404e123549f59e24df95fada4fe0ee5efe8bdcefbc5,4bf1cc91691916d026aeba3c2f3919be627141ea923bf2a970e9c61ddda0b9f6,0d15230e8569554f49d9a025fcba0145cd0b28cb79a610c1dc4123d6e03eb31d,dc5588706a436d11a0db12d142f9b033702e63655fdf3280b376c902fa7bc3d6,d0da796646c5ee48e7b2e6694b6ae96b429599d7aa0b8c663cfca0f34c7ed0d8,daf46ce023cf9e0a4d7e59043091b6bdb9a2f448a80cfedf6d882dc5724ac893,471072f172f5c3882646cc2c66277ffb7c7de75a2f636dc2a4411ec72600160d,c48b3fb482eb7d467553b8ba9fba7366ef469a6f24eba2b09487bea4608021cf,7f0b629e506e99ed4fccc75d6e4eb82343f306400bf7f4cc99594c2d0b400174
"2","1","vo_minigame_1013_icon_2_002_001","2","訓練はまだ\nここからですわ","2","vo_minigame_1013_icon_1_002_001","3000","1000","調子が上がって\nきたなっ"
"2","2","vo_minigame_1013_icon_2_003_001","2","クスクス、悪くない\n流れですわね","2","vo_minigame_1013_icon_1_003_001","3000","5000","ほらほら、\nまだいけるだろ？"
"3","3","vo_minigame_1013_icon_2_004_001","2","すばらしい\n記録ですわ","2","vo_minigame_1013_icon_1_004_001","3000","10000","へへっ、おまえら\nやるじゃねえか！"
"3","4","vo_minigame_1013_icon_2_005_001","3","乗りに乗って\nいますわね","2","vo_minigame_1013_icon_1_005_001","3000","10000","あたしたちはまだ\n止まらねえぜ！"
"3","5","vo_minigame_1013_icon_2_005_002","3","まだまだ行きます\nついてきなさい","2","vo_minigame_1013_icon_1_005_002","3000","10000","見てろよ！\nマコト班の快進撃だ！"
"3","6","vo_minigame_1013_icon_2_005_003","3","エリコ班の\n本領発揮ですわ！","2","vo_minigame_1013_icon_1_005_003","3000","10000","うおぉぉっ！\n絶好調だぜ！"
"3","7","vo_minigame_1013_icon_2_006_001","4","ここからは\n前人未到の領域です！","2","vo_minigame_1013_icon_1_006_001","3000","0","どこまで行けるか\n楽しみだなっ！"
"4","8","vo_minigame_1013_icon_2_007_001","5","厄介でしたわ…","3","vo_minigame_1013_icon_1_007_001","1000","1","まだ諦めんなよっ"
"4","9","vo_minigame_1013_icon_2_007_002","5","油断大敵です","3","vo_minigame_1013_icon_1_007_002","1000","1","冷やっとしたぜ…！"
"4","10","vo_minigame_1013_icon_2_007_003","5","忌々しいっ…","3","vo_minigame_1013_icon_1_007_003","1000","1","弱音を吐くなっ"
"3","11","vo_minigame_1013_icon_2_008_001","6","大所帯ですわね","4","vo_minigame_1013_icon_1_008_001","1500","99","マコト班集合！"
"3","12","vo_minigame_1013_icon_2_008_002","6","エリコ班へようこそ","4","vo_minigame_1013_icon_1_008_002","1500","99","連携してくぞ！"
"6","13","vo_minigame_1013_icon_2_020_001","8","ナナカちゃんに\nお任せあれ","1","vo_minigame_1013_icon_1_020_001","3000","0","みんなに力を！"
"7","14","vo_minigame_1013_icon_2_022_001","9","はっはっは！\n任せろ！","1","vo_minigame_1013_icon_1_022_001","3000","0","任せてくれたまえ"
"8","15","vo_minigame_1013_icon_2_023_001","10","どんどんいくわよ","1","vo_minigame_1013_icon_1_023_001","3000","0","ほな、いきまひょか"
