dfbd26d04ebfd2fa5783056ac0fcd2728a3c4ca00f0a6ef17a3c7ec6f8b587aa,f5757c017e08ac49881642b7f46d46c420200599308d6c910dd35b5dd0226acb,dd94b64c5921cd016cd9c0e550595efcc010ebcbbf8159a4978b00e25a5fcc56
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"1","0","2"
"1","1","2"
"1","2","2"
"1","5","2"
"1","0","3"
"1","1","3"
"1","2","3"
"1","5","3"
"1","0","4"
"1","1","4"
"1","2","4"
"1","5","4"
"1","0","5"
"1","1","5"
"1","2","5"
"1","5","5"
"1","0","6"
"1","1","6"
"1","2","6"
"1","5","6"
"1","0","7"
"1","1","7"
"1","2","7"
"1","5","7"
"1","0","8"
"1","1","8"
"1","2","8"
"1","5","8"
"1","0","9"
"1","1","9"
"1","2","9"
"1","5","9"
"1","0","10"
"1","1","10"
"1","2","10"
"1","5","10"
"1","0","11"
"1","1","11"
"1","2","11"
"1","5","11"
