5deee3eb73056eea9c38af1a72cbf3f7d2ce751c2983c6ceef818a4e3378fb14,639d17a8dc3b28b026f76c150416c44b2a6ea1470e78204934639bf5d189f155
"1","999999999"
"2","5"
"3","3"
"4","1"
"5","1"
"6","2"
"7","3"
"8","999999999"
"9","999999999"
"10","9"
"11","2"
"12","4"
"13","6"
"14","7"
"100","2"
"101","300"
"102","600"
"103","1200"
"104","2400"
"105","4800"
"106","9999"
"201","500"
"202","500"
"203","500"
"204","500"
"205","500"
"211","100"
"212","100"
"213","100"
"214","100"
"215","100"
"221","100"
"222","200"
"223","100"
"224","1000"
"225","1500"
