d0db4aa540e4af7f3d48ea84e84297d5df55525f29fbc8a2e77b1c2f582b6712,99e37958893974b92ad90d0f70754e33e90c63f9e95b38c4ca8a69f41e2ed76b,9ab4e011122ddaa3eaed7bd2fc80b0c3bfce7d17849d24623cfc1ccb53dda947,f8cc7233dbaa5f9b3dfdda933785d80b782e2343ce619ae9c6c17488dc2c3297,356a0bc630d6a7c8953999e3b62a5cede38301cbcf45ed28ac477fe1227e35d4,9b3fab3f91a104f8d241d54f9ae5f8c36d279a2f40f81828f8122a0370e2f417,6fd2b5bd6725892f8a96ebfa88c6abc13223a5c0d3d4ccaeb5e2aeab38e3a7b6,efcfd79fa17299709dc950fe2f1a838684869c59c40e49f447048acce30c38e2,e300ece68eefcc6b53a0de776269d91002e54b349f3b77411b618b13225ecfff
"2","1","2","1","2","6","100101","3","3"
"1","2","1","3","1","5","100201","2","3"
"2","3","1","1","3","7","100301","3","2"
"2","3","2","1","2","13","100401","3","2"
"3","2","2","2","2","18","100501","1","3"
"3","2","1","1","2","25","100601","2","3"
"1","2","2","3","3","26","100701","2","3"
"1","3","2","3","3","40","100801","1","2"
"3","2","1","1","3","34","100901","3","2"
"1","2","1","3","1","8","101001","2","3"
"1","2","3","2","2","56","101101","2","3"
"2","2","3","1","2","43","101201","3","1"
"3","3","1","1","2","33","101301","1","3"
"2","2","1","3","1","11","101401","1","2"
"1","3","1","3","1","42","101501","2","2"
"1","3","3","2","2","46","101601","1","3"
"2","2","3","1","2","10","101701","1","3"
"2","3","1","3","1","45","101801","1","2"
"2","1","2","2","1","12","102001","3","3"
"2","3","1","1","1","30","102101","2","3"
"2","3","3","1","1","24","102201","2","1"
"3","1","2","1","2","31","102301","3","3"
"1","2","3","3","1","29","102501","1","2"
"1","1","2","3","1","51","102601","2","3"
"1","3","2","2","3","36","102701","3","1"
"1","3","2","2","1","28","102801","1","2"
"1","2","2","2","1","52","102901","2","3"
"2","3","1","2","2","39","103001","1","3"
"1","1","2","3","3","27","103101","3","2"
"1","2","2","3","2","19","103201","3","1"
"2","1","1","2","2","48","103301","3","3"
"3","2","2","2","1","20","103401","2","1"
"3","2","2","3","3","14","103601","1","1"
"3","3","2","1","3","17","103701","1","2"
"3","1","1","3","3","49","103801","2","2"
"3","1","3","2","1","44","104001","2","1"
"2","2","2","3","3","53","104201","1","2"
"1","2","3","1","3","9","104301","3","2"
"2","1","1","3","3","23","104401","3","2"
"3","2","1","2","1","38","104501","2","2"
"1","1","3","3","2","21","104601","2","2"
"3","2","3","1","3","15","104701","1","2"
"2","3","3","1","3","22","104801","2","1"
"1","2","2","2","1","55","104901","3","2"
"2","2","3","2","1","47","105001","1","3"
"2","1","3","3","3","35","105101","1","1"
"1","2","2","2","2","50","105201","2","3"
"1","3","2","1","3","37","105301","3","2"
"1","1","3","2","2","54","105401","2","3"
"3","1","1","2","1","41","105501","3","2"
"1","2","3","1","3","32","105601","2","3"
"2","2","2","1","1","67","105701","2","3"
"1","2","2","2","2","1","105801","2","3"
"2","2","1","3","1","2","105901","2","2"
"3","1","3","2","3","3","106001","1","2"
"2","2","2","1","2","58","106101","3","3"
"2","1","2","1","1","68","106301","3","3"
"3","2","2","1","1","4","106401","2","3"
"3","2","2","1","3","61","106501","1","3"
"3","1","2","3","2","62","106601","1","3"
"2","2","1","2","3","60","106701","1","2"
"3","2","2","1","1","57","106801","1","1"
"2","1","1","3","3","59","107001","2","1"
"2","3","2","1","3","16","107101","2","1"
"2","2","1","2","1","70","109201","2","2"
"1","2","3","2","2","72","109301","2","3"
"2","3","3","1","3","71","109401","1","2"
"2","2","3","1","1","64","110801","2","2"
"1","3","2","2","2","65","110901","1","2"
"2","1","1","3","3","63","111001","1","3"
"3","1","3","2","2","69","111401","2","2"
"2","2","3","3","2","66","118001","1","1"
