4968be2285e3f368b62da6156b936bd679cc0d87fa6b9bc02badcc992ffb7d95,600d8866707675b3231bdc0ed7ad777fc57cba3ab6ce88ac8ceb265cb8037be2,11d84fbaf22aa9790d3861be77c7e2e878cf9eb7d067cfbd783131ab049aba10,24eb46cbce4011b6cd6766afb35d341929516edf5a47f1be1a83de6edf1cce0c,7f577c35775d5e741628cf2ede611198d59f53d17750537aece1fee0b7f34737,62761071c66b07d9d7fd6a2e472b3f14427134b0ea62a263e13a739b95a857c4,ee466df6c8efa8eb94fae328f8eed6e0f9fd0233634d6e78a957774ebe9c61f6,8230e3acea565ef706035b17e80b749bb007bba21f9a00bd5664ce1f022949d5,371eb10bf163746fdeb1e0618328ca96513af5dc8934c15ec4c1b78b824ea16d,43d3a533b865b28b5985b7e3d4e7255d8fb46a5239f46202335cf630b1e59984,18bea6260adfef9416ccef4542c3c13f757e9547b83b8031893b0bc17486a317,d0ed6eb491a56ad9cb64ea69432dda7e375d49f6e04176f14cead54e6dfbcf0f
"0","0","99999999","1","全対象のセレクトサイン","1","0","全対象のキャラから1人選んで仲間にできる。","0","0","11000000","0"
"0","0","3600","1","プリンセスフェスのセレクトサイン","1","999","プリンセスフェスのキャラから1人選んで仲間にできる。","0","0","11000999","0"
"0","0","2800","1","アタッカーロールのセレクトサイン","1","0","アタッカーロールのキャラから1人選んで仲間にできる。","1","0","11001000","0"
"0","0","2800","1","ブレイカーロールのセレクトサイン","1","0","ブレイカーロールのキャラから1人選んで仲間にできる。","2","0","11002000","0"
"0","0","2800","1","バッファーロールのセレクトサイン","1","0","バッファーロールのキャラから1人選んで仲間にできる。","3","0","11003000","0"
"0","0","2800","1","デバッファーロールのセレクトサイン","1","0","デバッファーロールのキャラから1人選んで仲間にできる。","4","0","11004000","0"
"0","0","2800","1","ブースターロールのセレクトサイン","1","0","ブースターロールのキャラから1人選んで仲間にできる。","5","0","11005000","0"
"0","0","2800","1","ヒーラーロールのセレクトサイン","1","0","ヒーラーロールのキャラから1人選んで仲間にできる。","6","0","11006000","0"
"0","0","2800","1","タンクロールのセレクトサイン","1","0","タンクロールのキャラから1人選んで仲間にできる。","7","0","11007000","0"
"0","0","2800","1","ジャマーロールのセレクトサイン","1","0","ジャマーロールのキャラから1人選んで仲間にできる。","8","0","11008000","0"
