41b31341afdb5271e7dd1a4f8e6fcc963a899950d064909593d3d22a0dfaf41e,2bf96cadf8950d91a220481fa25e3adebc07ea357076dfcb1d3ce60d2c14bab7,3573acac152f24c5b3b1878fce599d8c321ff72633e25b75bbb0d8cac93d3b2b,24fbfbcc7fef7a84c50d792049cdce811857aa9021d28a3502a1b0dc55e5a712,693318d0898126efd485e0981fea2335648d05c17f216a92c942cd946ff3c77f,fd2c92b67702f6b6b93288231b1671e786f565e22b01bf089e815457fe1fd11b,d3e8ac1e174cdff4971a46ca0a852df1857b47e8efbc32393863ca3c1d0b8ff6,3f9c36598c746a01875175b00da7ee43da755abdeb0907401b62863a6ece725a
"20001","4","2","2025/06/16 14:30:00","1","26203","25000","1"
"20002","0","18","2025/06/16 14:30:00","1","4304511","50000","1"
"20003","0","18","2025/06/16 14:30:00","1","4304512","50000","1"
"20004","0","18","2025/06/16 14:30:00","1","4304513","50000","1"
"20005","0","18","2025/06/16 14:30:00","1","4304514","50000","1"
"20006","0","18","2025/06/16 14:30:00","1","4304515","50000","1"
"20007","0","18","2025/06/16 14:30:00","1","4302511","50000","1"
"20008","0","18","2025/06/16 14:30:00","1","4302512","50000","1"
"20009","0","18","2025/06/16 14:30:00","1","4302513","50000","1"
"20010","0","18","2025/06/16 14:30:00","1","4302514","50000","1"
"20011","0","18","2025/06/16 14:30:00","1","4302515","50000","1"
"20012","0","18","2025/06/16 14:30:00","1","4305511","50000","1"
"20013","0","18","2025/06/16 14:30:00","1","4305512","50000","1"
"20014","0","18","2025/06/16 14:30:00","1","4305513","50000","1"
"20015","0","18","2025/06/16 14:30:00","1","4305514","50000","1"
"20016","0","18","2025/06/16 14:30:00","1","4305515","50000","1"
"20017","0","18","2025/06/16 14:30:00","1","4301511","50000","1"
"20018","0","18","2025/06/16 14:30:00","1","4301512","50000","1"
"20019","0","18","2025/06/16 14:30:00","1","4301513","50000","1"
"20020","0","18","2025/06/16 14:30:00","1","4301514","50000","1"
"20021","0","18","2025/06/16 14:30:00","1","4301515","50000","1"
"20022","0","18","2025/06/16 14:30:00","1","4303511","50000","1"
"20023","0","18","2025/06/16 14:30:00","1","4303512","50000","1"
"20024","0","18","2025/06/16 14:30:00","1","4303513","50000","1"
"20025","0","18","2025/06/16 14:30:00","1","4303514","50000","1"
"20026","0","18","2025/06/16 14:30:00","1","4303515","50000","1"
"20027","0","2","2025/06/16 14:30:00","1","25001","2500","5"
"20028","0","4","2025/06/16 14:30:00","1","140000","2500","5"
"20029","0","4","2025/06/16 14:30:00","1","140001","2500","10"
"20030","0","2","2025/06/16 14:30:00","1","26202","2500","2500"
