7861391c27911357aa3cc060fbf4d11166a4687d02844f7b5c0d0d49df1ccb3f,7f81a43d5624d7d60a0201f91643505958023cadddc498eb20ac37e085031b2f,32c92dcce168bdda7ac9f6cb43aa645a170a224021bcbb563a8a8f313b7c954d,00dfbe9ba81bd98aa9595ff16a2883bcd2ff32fb6fb886db7284bdca90af8063,dd9e75b4abb3e9c91e337012cfa42ebae86b3ec7345255269278a9c91590d892
"8","91002","30109001","1","100"
"2","20002","30109001","2","10"
"8","91002","30109002","3","100"
"12","94002","30109002","4","40000"
"8","91002","30109003","5","300"
"8","91002","30109004","6","500"
"8","91002","30109005","7","500"
"12","94002","30109005","8","1000000"
"8","91002","30109006","9","500"
"12","94002","30109006","10","500000"
"8","91002","30110001","11","600"
"12","94002","30110006","12","200000"
