bc0bcf56b4824603c8d1f23f145025eacabede373f2469f606117a1d4c4d3fc3,41eaa3aa11f327c7751b8ce7bac1e852fed6b3d49d5f9d81c5ce76c35f54ff77,94838b6d1a4e20a7f38131f042393ede2ca875e6f896f6013eaee2170b4a44b7,e1b6e309345e0f96350252277730b8091a1c8dd033679897a0724f7388486d33,1ee726f3ca1d025ca202ec8abd987f3b858bf9b565618eab324f1329c96a46f2,d8bd0d599b56aa8f49a2011a18698d1a932fc2452c07c5d33b04381b24d16633,e2ec4a64a06ba89ce0f6a99eedd75245f9469d3ce689d14585e3c44d0de0462a,aefdc9b3936efa39d16ade85158b86691e60fb0658fcb025dc773cc2418f27de,d4e49f8dc1d8b6ecb8acfa8062f059ef266fbd3377b698868a47cbcceaa199b6,c18e0b67b5fa0988140d1397888e0c8fbb9b5d4955e0b7876392a343e8c72920,778bfed15db8c3b243a964b89672c0571b2761dfd36b9316047c47fbdbed5b4d
"201","55","150","1.3","-150","0","118511","empty","2","201001","1"
"201","56","150","0.65","-150","0","1","empty","1","201002","5"
"201","50","-650","1.9","-180","0","3","empty","3","201003","5"
"201","","","","","","0","","201001","201004","91"
"201","0","","0","","","empty","","118511","201005","3"
"201","","","","","","","","0","201006","91"
"201","0","","","","","se_labyrinth_event_drama_201","","se_labyrinth","201007","23"
"201","0","","0","","","201_karin","","118511","201008","3"
"201","0","","0","","","201_karin","","1","201009","3"
"201","0","","0","","","201_hero","","3","201010","3"
"201","-180","1.2","","11","","-150","","3","201011","2"
"201","","","","","","0","","1.7","201012","93"
"201","0","","","","","vo_labyrinth_drama_20101","","vo_labyrinth_drama","201013","21"
"201","","","","","","0","","0.8","201014","93"
"201","1","0","0","0","0","7","0","3","201015","12"
"201","0","","","","","se_labyrinth_event_emote_7","","se_labyrinth","201016","23"
"201","","","","","","0","","1.1","201017","93"
"311","55","-225","1.9","-213","0","310","empty","310","311001","5"
"311","50","427","0.8","-187","0","104","empty","104","311002","5"
"311","0","0","0","1","","300","","300","311003","31"
"311","0","0","1","1","","303","","303","311004","31"
"311","0","0","1","1","","304","","303","311005","31"
"311","0","0","0","1","","301","","301","311006","31"
"311","","","","","","0","","311001","311007","91"
"311","0","","0","","","empty","","310","311008","3"
"311","","","","","","","","0","311009","91"
"311","0","","","","","se_labyrinth_event_drama_311","","se_labyrinth","311010","23"
"311","0","","","","","vo_labyrinth_drama_31101","","vo_labyrinth_drama","311011","21"
"311","0","","0","","","311_hiyori_jankenpon_win","","310","311012","3"
"311","0","","0","","","jankenpon_lose","","104","311013","3"
"311","","","","","","1","","300","311014","32"
"311","","","","","","L_gu_WIN","","303","311015","37"
"311","","","","","","R_choki_LOSE","","304","311016","37"
"311","","","","","","0","","3.133","311017","93"
"311","","","","","","1","","301","311018","32"
"311","0","","","","","vo_labyrinth_drama_31102","","vo_labyrinth_drama","311019","21"
"311","","","","","","0","","1.867","311020","93"
"312","55","-225","1.9","-213","0","310","empty","310","312001","5"
"312","50","427","0.8","-187","0","105","empty","105","312002","5"
"312","0","0","0","1","","300","","300","312003","31"
