cf28d1c364963acf7b26bbdd45815c3c3c02962aeaae2f97331cf4247a5f4113,9fb0b269af040ef8f433c2e3299020aeda01e25ed233ab397934dd0f065d4da9,f02e8ad6abdf1e72626dcc00ee0642cebf70f61307da5895dd1e90bfcb45b05e,c52b20a254087a85652ff479ea5089640fc4c0df136e3cd4e7a7ddbe9f0912aa,3fbd5a122ffb8024c20ccc9d1e21184762c20cd0d83aaadbf8dec35d56171dba,e2d29682abfd028a826ca0487744e735102721c7414a92035cc2ddb49a4f94dc,97fc9bcbeac98ebf3f3b3f52f874cb0852d584db0f5be6dffe3a972dea11c575,05bb0fa3a639d07f5aa115b045654e34da6a822a46773a9596d7f18c60886c2b,a5afb6c97e9336c4ec0126edb85a27e0b42309d8975b6fe11b051525b2d6a421,359200f0aaeac09121baa0ba4401570391a10fa086ecbe1143dc6bc0374617d5,a1f88841de35c279a7e44ba7794fd33af5b134ce4ad613eae700d46ad27942e4
"1001","お兄ちゃん争奪！\nどっちのチョコがおいしいでSHOW","2020-02-15 15:00:00","bgm_M199","2030/12/31 15:00:00","10000","","bgm_M199_juke","愛情たっぷりのチョコレートケー\nキを完成させよう！\n超キュートなタップゲーム！","2030/12/31 15:00:00","1002"
"1002","クウカ大回転\n飛行道中エクスタシー","2020-02-15 15:00:00","bgm_M227","2030/12/31 15:00:00","10000","","bgm_M227_juke","大回転！クウカ！\n最高のエクスタシーここにあり！\n引っ張って飛ばす、空の旅！","2030/12/31 15:00:00","1003"
"1003","カオリのマブイ式空手道場","2020-02-15 15:00:00","bgm_M249","2030/12/31 15:00:00","10000","","bgm_M249_juke","これぞ琉球魂！\n押し寄せるマジムンをなぎ倒す\n爽快アクションゲーム！","2030/12/31 15:00:00","1004"
"1004","大激戦！しりとりドラゴンズ","2020-02-15 15:00:00","bgm_M277","2030/12/31 15:00:00","10000","","bgm_M277_juke","白熱バトル！\nドラゴンズネスト流\nタイマン式頭脳しりとり！","2030/12/31 15:00:00","1005"
"1005","チュウチュウパニック！\nチーズお守り大作戦！","2020-05-31 12:00:00","bgm_M355_Lofi","2030/12/31 15:00:00","10000","","bgm_M355_Lofi_juke","キミはチーズを守り抜けるか！？\n瞬発力が試される\n反射神経系カジュアルゲーム！","2030/12/31 15:00:00","1006"
"1006","猛訓打撃道！\nミサトのホームランドリル","2020-08-15 15:00:00","bgm_M399","2030/12/31 15:00:00","10000","","bgm_M399","目指せホームランバッター！\nミートタイミングがカギを握る\nスポーツアクションゲーム！","2030/12/31 15:00:00","1007"
"1007","カルミナサマーライブ\nライブ会場 グッズエリア","2021-08-31 12:00:00","bgm_M500","2030/12/31 15:00:00","10000","","bgm_M500","カルミナファン大興奮！\nライブ応援グッズを手に入れて\n目指せ「カルミナ神推し」！","2030/12/31 15:00:00","1008"
"1008","ミヤコ's キッチン　究極への道","2021-12-18 15:00:00","bgm_M540","2030/12/31 15:00:00","10000","","bgm_M540","レッツ・クッキング！\nミヤコとプリンを作って食べて\nプリンの道を極めよう！","2030/12/31 15:00:00","1009"
"1009","Happy Anniv.スペシャル　\nランドソルクイズコネクト！","2022-02-15 15:00:00","bgm_M569","2022/02/15 15:00:00","0","ランドソルクイズコネクト！","bgm_M569","５人チームで力を合わせて多種多\n様なジャンルのクイズに挑戦！\n目指せ、クイズプリンセス！","2022/02/28 11:59:59","1010"
"1010","駆けろ常夏！\nアルティメットビーチフラッグス","2022-07-18 15:00:00","bgm_M605","2030/12/31 15:00:00","10000","","bgm_M605","砂浜駆けるプリンセス！\nハチャメチャなコースに挑む、\n南の島のビーチフラッグス！","2030/12/31 15:00:00","1011"
"1012","キャルとスズナの\n放課後クイズエデュケーション","2023-09-18 15:00:00","bgm_MC068","2030/12/31 15:00:00","10000","放課後クイズエデュケーション　{0}","bgm_MC068","めざせ全問正解！\nキャルとスズナと放課後の教室で\n二人きりのクイズ勉強会！","2030/12/31 15:00:00","1012"
"1013","エリコとマコトの\n行軍（マーチ）A-Go-Go！","2024-04-18 15:00:00","bgm_MC141","2030/12/31 15:00:00","10000","行軍（マーチ）A-Go-Go！","bgm_MC141","魔物はびこる街道を突き進め！\n【王宮騎士団(NIGHTMARE)】\nの兵たちを率い、訓練に挑戦だ！","2030/12/31 15:00:00","1013"
"1014","激突！破壊！\nイリーガルタンクウォー","2024-11-18 15:00:00","bgm_MC199","2030/12/31 15:00:00","10000","激突！破壊！\nイリーガルタンクウォー","bgm_MC199_Battle","戦車バトル大会開幕！\n組み上げたオリジナルマシンで\n頂点を目指せ！","2030/12/31 15:00:00","1014"
