d9fcb96c0b353e9f37693260e84a5d3bb26926d474582d61c87b24820c9828cd,942ad116343e9e9dbde9f23c3a62e012382b7c93519cb0abe790e9aac92f6087,3b27241b382efa041842716d92299dd4ecaac40124d7a2df84ce3da322749f45,150cc8b86e3c1393eccc1b52c48e581f03fbb24de88d118cfcd609eae1706e9a,ccd8b4ebc311ef3794808703e821cf5cf30f69366f4d2ccab500c83958ea1a28,68937c239cf65bc885850b93f7b941d63e85571fc311b3f7ebd20af0c1802e34,a1b9b1d48d049cf5bd2461bf4ba4b84b9b8ad0cc1060c3777b27e695e2ebf5e3,6611de7f8afcd9faab4df237f6a99d64c8da26ba9e321878a2ccae24f3462cc0,31a1c9100d4aacea3dd42e5d60b152e75a69f4b11f777f4ea199fa3fac998115
"11","1","0.7","1","1","0","320010106","43.5","502001102"
"67","2","0.65","2","3","0","320010106","13","502001103"
"49","3","0.65","3","2","0","320010106","-74","0"
"13","4","0.7","1","1","0","320010107","-49","502001108"
"62","5","0.85","2","3","0","320010107","-4","502001109"
"50","6","0.65","3","2","0","320010107","59","0"
"-10","7","1.05","1","1","0","320010108","0","0"
"-10","8","1.05","1","1","0","320010109","-15","0"
"-45","9","0.43","1","1","0","320010110","-85","0"
"-45","10","0.43","2","2","0","320010110","85","0"
"11","11","0.7","1","1","0","320010206","43.5","502001202"
"67","12","0.65","2","3","0","320010206","13","502001203"
"49","13","0.65","3","2","0","320010206","-74","0"
"13","14","0.7","1","1","0","320010207","-49","502001208"
"62","15","0.85","2","3","0","320010207","-4","502001209"
"50","16","0.65","3","2","0","320010207","59","0"
"-10","17","1.05","1","1","0","320010208","0","0"
"-10","18","1.05","1","1","0","320010209","-15","0"
"-45","19","0.43","1","1","0","320010210","-85","0"
"-45","20","0.43","2","2","0","320010210","85","0"
"11","21","0.7","1","1","0","320010306","43.5","502001302"
"67","22","0.65","2","3","0","320010306","13","502001303"
"49","23","0.65","3","2","0","320010306","-74","0"
"13","24","0.7","1","1","0","320010307","-49","502001308"
"62","25","0.85","2","3","0","320010307","-4","502001309"
"50","26","0.65","3","2","0","320010307","59","0"
"-10","27","1.05","1","1","0","320010308","0","0"
"-10","28","1.05","1","1","0","320010309","-15","0"
"-45","29","0.43","1","1","0","320010310","-85","0"
"-45","30","0.43","2","2","0","320010310","85","0"
"11","31","0.7","1","1","0","320010406","43.5","502001402"
"67","32","0.65","2","3","0","320010406","13","502001403"
"49","33","0.65","3","2","0","320010406","-74","0"
"13","34","0.7","1","1","0","320010407","-49","502001408"
"62","35","0.85","2","3","0","320010407","-4","502001409"
"50","36","0.65","3","2","0","320010407","59","0"
"-10","37","1.05","1","1","0","320010408","0","0"
"-10","38","1.05","1","1","0","320010409","-15","0"
"-45","39","0.43","1","1","0","320010410","-85","0"
"-45","40","0.43","2","2","0","320010410","85","0"
"11","41","0.7","1","1","0","320010506","43.5","502001502"
"67","42","0.65","2","3","0","320010506","13","502001503"
"49","43","0.65","3","2","0","320010506","-74","0"
"13","44","0.7","1","1","0","320010507","-49","502001508"
"62","45","0.85","2","3","0","320010507","-4","502001509"
"50","46","0.65","3","2","0","320010507","59","0"
"-10","47","1.05","1","1","0","320010508","0","0"
"-10","48","1.05","1","1","0","320010509","-15","0"
"-45","49","0.43","1","1","0","320010510","-85","0"
"-45","50","0.43","2","2","0","320010510","85","0"
"11","51","0.7","1","1","0","320020106","43.5","502002102"
"67","52","0.65","2","3","0","320020106","13","502002103"
"49","53","0.65","3","2","0","320020106","-74","0"
"13","54","0.7","1","1","0","320020107","-49","502002108"
"62","55","0.85","2","3","0","320020107","-4","502002109"
"50","56","0.65","3","2","0","320020107","59","0"
"-10","57","1.05","1","1","0","320020108","0","0"
"-10","58","1.05","1","1","0","320020109","-15","0"
"-45","59","0.43","1","1","0","320020110","-85","0"
"-45","60","0.43","2","2","0","320020110","85","0"
"11","61","0.7","1","1","0","320020206","43.5","502002202"
"67","62","0.65","2","3","0","320020206","13","502002203"
"49","63","0.65","3","2","0","320020206","-74","0"
"13","64","0.7","1","1","0","320020207","-49","502002208"
"62","65","0.85","2","3","0","320020207","-4","502002209"
"50","66","0.65","3","2","0","320020207","59","0"
"-10","67","1.05","1","1","0","320020208","0","0"
"-10","68","1.05","1","1","0","320020209","-15","0"
"-45","69","0.43","1","1","0","320020210","-85","0"
"-45","70","0.43","2","2","0","320020210","85","0"
"11","71","0.7","1","1","0","320020306","43.5","502002302"
"67","72","0.65","2","3","0","320020306","13","502002303"
"49","73","0.65","3","2","0","320020306","-74","0"
"13","74","0.7","1","1","0","320020307","-49","502002308"
"62","75","0.85","2","3","0","320020307","-4","502002309"
"50","76","0.65","3","2","0","320020307","59","0"
"-10","77","1.05","1","1","0","320020308","0","0"
"-10","78","1.05","1","1","0","320020309","-15","0"
"-45","79","0.43","1","1","0","320020310","-85","0"
"-45","80","0.43","2","2","0","320020310","85","0"
"11","81","0.7","1","1","0","320020406","43.5","502002402"
"67","82","0.65","2","3","0","320020406","13","502002403"
"49","83","0.65","3","2","0","320020406","-74","0"
"13","84","0.7","1","1","0","320020407","-49","502002408"
"62","85","0.85","2","3","0","320020407","-4","502002409"
"50","86","0.65","3","2","0","320020407","59","0"
"-10","87","1.05","1","1","0","320020408","0","0"
"-10","88","1.05","1","1","0","320020409","-15","0"
"-45","89","0.43","1","1","0","320020410","-85","0"
"-45","90","0.43","2","2","0","320020410","85","0"
"11","91","0.7","1","1","0","320020506","43.5","502002502"
"67","92","0.65","2","3","0","320020506","13","502002503"
"49","93","0.65","3","2","0","320020506","-74","0"
"13","94","0.7","1","1","0","320020507","-49","502002508"
"62","95","0.85","2","3","0","320020507","-4","502002509"
"50","96","0.65","3","2","0","320020507","59","0"
"-10","97","1.05","1","1","0","320020508","0","0"
"-10","98","1.05","1","1","0","320020509","-15","0"
"-45","99","0.43","1","1","0","320020510","-85","0"
"-45","100","0.43","2","2","0","320020510","85","0"
"11","101","0.7","1","1","0","320030106","43.5","502003102"
"67","102","0.65","2","2","0","320030106","13","502003103"
"49","103","0.65","3","3","0","320030106","-74","0"
"13","104","0.7","1","1","0","320030107","-49","502003108"
"62","105","0.85","2","3","0","320030107","-4","502003109"
"50","106","0.65","3","2","0","320030107","59","0"
"-10","107","1.05","1","1","0","320030108","0","0"
"-10","108","1.05","1","1","0","320030109","-15","0"
"-45","109","0.43","1","1","0","320030110","-85","0"
"-45","110","0.43","2","2","0","320030110","85","0"
"11","111","0.7","1","1","0","320030206","43.5","502003202"
"67","112","0.65","2","2","0","320030206","13","502003203"
"49","113","0.65","3","3","0","320030206","-74","0"
"13","114","0.7","1","1","0","320030207","-49","502003208"
"62","115","0.85","2","3","0","320030207","-4","502003209"
"50","116","0.65","3","2","0","320030207","59","0"
"-10","117","1.05","1","1","0","320030208","0","0"
"-10","118","1.05","1","1","0","320030209","-15","0"
"-45","119","0.43","1","1","0","320030210","-85","0"
"-45","120","0.43","2","2","0","320030210","85","0"
"11","121","0.7","1","1","0","320030306","43.5","502003302"
"67","122","0.65","2","2","0","320030306","13","502003303"
"49","123","0.65","3","3","0","320030306","-74","0"
"13","124","0.7","1","1","0","320030307","-49","502003308"
"62","125","0.85","2","3","0","320030307","-4","502003309"
"50","126","0.65","3","2","0","320030307","59","0"
"-10","127","1.05","1","1","0","320030308","0","0"
"-10","128","1.05","1","1","0","320030309","-15","0"
"-45","129","0.43","1","1","0","320030310","-85","0"
"-45","130","0.43","2","2","0","320030310","85","0"
"11","131","0.7","1","1","0","320030406","43.5","502003402"
"67","132","0.65","2","2","0","320030406","13","502003403"
"49","133","0.65","3","3","0","320030406","-74","0"
"13","134","0.7","1","1","0","320030407","-49","502003408"
"62","135","0.85","2","3","0","320030407","-4","502003409"
"50","136","0.65","3","2","0","320030407","59","0"
"-10","137","1.05","1","1","0","320030408","0","0"
"-10","138","1.05","1","1","0","320030409","-15","0"
"-45","139","0.43","1","1","0","320030410","-85","0"
"-45","140","0.43","2","2","0","320030410","85","0"
"11","141","0.7","1","1","0","320030506","43.5","502003502"
"67","142","0.65","2","2","0","320030506","13","502003503"
"49","143","0.65","3","3","0","320030506","-74","0"
"13","144","0.7","1","1","0","320030507","-49","502003508"
"62","145","0.85","2","3","0","320030507","-4","502003509"
"50","146","0.65","3","2","0","320030507","59","0"
"-10","147","1.05","1","1","0","320030508","0","0"
"-10","148","1.05","1","1","0","320030509","-15","0"
"-45","149","0.43","1","1","0","320030510","-85","0"
"-45","150","0.43","2","2","0","320030510","85","0"
"49","151","0.7","1","1","0","320040106","-74","502004103"
"67","152","0.85","2","3","0","320040106","13","502004104"
"11","153","0.65","3","2","0","320040106","43.5","0"
"50","154","0.7","1","1","0","320040107","59","502004107"
"62","155","0.85","2","3","0","320040107","-4","502004109"
"13","156","0.65","3","2","0","320040107","-49","0"
"-10","157","0.8","1","1","0","320040108","0","0"
"20","158","0.9","1","1","0","320040109","30","0"
"-25","159","1","1","1","0","320040110","20","0"
"49","160","0.7","1","1","0","320040206","-74","502004203"
"67","161","0.85","2","3","0","320040206","13","502004204"
"11","162","0.65","3","2","0","320040206","43.5","0"
"50","163","0.7","1","1","0","320040207","59","502004207"
"62","164","0.85","2","3","0","320040207","-4","502004209"
"13","165","0.65","3","2","0","320040207","-49","0"
"-10","166","0.8","1","1","0","320040208","0","0"
"20","167","0.9","1","1","0","320040209","30","0"
"-25","168","1","1","1","0","320040210","20","0"
"49","169","0.7","1","1","0","320040306","-74","502004303"
"67","170","0.85","2","3","0","320040306","13","502004304"
"11","171","0.65","3","2","0","320040306","43.5","0"
"50","172","0.7","1","1","0","320040307","59","502004307"
"62","173","0.85","2","3","0","320040307","-4","502004309"
"13","174","0.65","3","2","0","320040307","-49","0"
"-10","175","0.8","1","1","0","320040308","0","0"
"20","176","0.9","1","1","0","320040309","30","0"
"-25","177","1","1","1","0","320040310","20","0"
"49","178","0.7","1","1","0","320040406","-74","502004403"
"67","179","0.85","2","3","0","320040406","13","502004404"
"11","180","0.65","3","2","0","320040406","43.5","0"
"50","181","0.7","1","1","0","320040407","59","502004407"
"62","182","0.85","2","3","0","320040407","-4","502004409"
"13","183","0.65","3","2","0","320040407","-49","0"
"-10","184","0.8","1","1","0","320040408","0","0"
"20","185","0.9","1","1","0","320040409","30","0"
"-25","186","1","1","1","0","320040410","20","0"
"49","187","0.7","1","1","0","320040506","-74","502004503"
"67","188","0.85","2","3","0","320040506","13","502004504"
"11","189","0.65","3","2","0","320040506","43.5","0"
"50","190","0.7","1","1","0","320040507","59","502004507"
"62","191","0.85","2","3","0","320040507","-4","502004509"
"13","192","0.65","3","2","0","320040507","-49","0"
"-10","193","0.8","1","1","0","320040508","0","0"
"20","194","0.9","1","1","0","320040509","30","0"
"-25","195","1","1","1","0","320040510","20","0"
"40","196","0.7","1","2","0","320050106","-74","502005101"
"67","197","1","2","3","0","320050106","13","502005103"
"11","198","0.65","3","1","0","320050106","43.5","0"
"50","199","0.7","1","2","0","320050107","59","502005106"
"62","200","0.9","2","3","0","320050107","30","502005108"
"13","201","0.65","3","1","0","320050107","-49","0"
"10","202","0.75","1","1","0","320050108","5","0"
"10","203","0.75","1","1","0","320050109","-10","0"
"-25","204","1","1","1","0","320050110","20","0"
"40","205","0.7","1","2","0","320050206","-74","502005201"
"67","206","1","2","3","0","320050206","13","502005203"
"11","207","0.65","3","1","0","320050206","43.5","0"
"50","208","0.7","1","2","0","320050207","59","502005206"
"62","209","0.9","2","3","0","320050207","30","502005208"
"13","210","0.65","3","1","0","320050207","-49","0"
"10","211","0.75","1","1","0","320050208","5","0"
