90cec81f948ad38f73411f16d0b49ad667e74f9b71b56125e1f371fdf7cea602,0cbe89560d8215c4c957eee4ccc7e5d694f01a3354794da6012e0926e5013290,eca2d8e795a39e64cb502cf5e196f0a811abc8aae288f0f3876409ecd60a7c94,f2dcfc469c1738814308d1a3bd8ce46b2ff12cf7079ed991900fa135b483fbf9,00df3a288d0d7e31a02c45fe644933456a987697f5edd8078859baad04ee3cf5,6fd2790184afe84d6be9443b74975b2de65c2260e6051485623a37d9285e5e2e,75e7872d40779ddec76e0ae070c17a258c13f7ecbf0ce448fa4a8b6b141e8823,42bd94a3f4dae59de93d3713cb14f3e195f14d7fbfed22042375b517f3ccf4a0,8feb3ffb333e47c0347495ff898948f98fbcf0d962dea06da2dcce86e8e2ff7a,d85c09a07597d267aaf3b6bcf942515b3de6180e9ccc195d9fcd8fa5c7546a53,c8e57bdc4e8af0018cad50fea2897f7a722396edde7995f0acb8f81455123d1d,56fe0ce881bf15a28fc4a7d63a7f3458c3133d13cd5e2795ac01a32e37f78d9f
"0","0","1","4","1005801","0","0","100580101","0","0","1","0.8"
"0","vo_ske","0","2","1005801","0","0","100580102","0","vo_ske_0101","2","0"
"60","0","0","1","1005801","1","0.705","100580103","0","0","3","0"
"0","0","1","4","1005801","0","0","100580104","0","0","4","1.549"
"304","0","0","1","1005801","1","1.807","100580105","60","0","5","0"
"0","0","1","4","1005801","0","0","100580106","0","0","6","3.027"
"140","0","0","1","1005801","2","1.141","100580107","0","0","7","0"
"0","0","1","4","1005801","0","0","100580108","0","0","8","1.9"
"380","0","0","1","1005801","2","1.78","100580109","140","0","9","0"
"0","0","1","4","1005801","0","0","100580110","0","0","10","4.544"
"0","vo_ske","0","2","1005801","0","0","100580111","0","vo_ske_0102","11","0"
"195","0","0","1","1005801","3","1.322","100580112","0","0","12","0"
"0","0","1","4","1005801","0","0","100580113","0","0","13","2.917"
"0","vo_ske","0","2","1005801","0","0","100580114","0","vo_ske_0103","14","0"
"228","0","0","1","1005801","4","1.932","100580115","0","0","15","0"
"0","0","1","4","1005801","0","0","100580116","0","0","16","2.582"
"367","0","0","1","1005801","4","0.996","100580117","228","0","17","0"
"0","0","1","4","1005801","0","0","100580118","0","0","18","3.856"
"0","vo_ske","0","2","1005801","0","0","100580119","0","vo_ske_0104","19","0"
"102","0","0","1","1005801","5","0.67","100580120","0","0","20","0"
"0","0","1","4","1005801","0","0","100580121","0","0","21","1.785"
"364","0","0","1","1005801","5","2.253","100580122","102","0","22","0"
"0","0","1","4","1005801","0","0","100580123","0","0","23","2.253"
"120","0","0","1","1005801","6","0.962","100580124","0","0","24","0"
"0","0","1","4","1005801","0","0","100580125","0","0","25","2.244"
"334","0","0","1","1005801","6","1.707","100580126","120","0","26","0"
"0","0","1","4","1005801","0","0","100580127","0","0","27","4.225"
"0","vo_ske","0","2","1005801","0","0","100580128","0","vo_ske_0105","28","0"
"168","0","0","1","1005801","7","1.256","100580129","0","0","29","0"
"0","0","1","4","1005801","0","0","100580130","0","0","30","3.119"
"0","vo_ske","0","2","1005801","0","0","100580131","0","vo_ske_0106","31","0"
"89","0","0","1","1005801","8","0.702","100580132","0","0","32","0"
"0","0","1","4","1005801","0","0","100580133","0","0","33","1.386"
"278","0","0","1","1005801","8","1.352","100580134","89","0","34","0"
"0","0","1","4","1005801","0","0","100580135","0","0","35","2.053"
"383","0","0","1","1005801","8","0.733","100580136","278","0","36","0"
"0","0","1","4","1005801","0","0","100580137","0","0","37","1.868"
"195","0","0","1","1005801","9","1.764","100580138","0","0","38","0"
"0","0","1","4","1005801","0","0","100580139","0","0","39","2.905"
"314","0","0","1","1005801","9","0.969","100580140","195","0","40","0"
"0","0","1","4","1005801","0","0","100580141","0","0","41","0.969"
"115","0","0","1","1005801","10","0.808","100580142","0","0","42","0"
"0","0","1","4","1005801","0","0","100580143","0","0","43","2.8"
"0","vo_ske","0","2","1005801","0","0","100580144","0","vo_ske_0107","44","0"
"52","0","0","1","1005801","11","0.25","100580145","0","0","45","0"
"0","0","1","4","1005801","0","0","100580146","0","0","46","0.25"
