8b104bdfe60de3ff0b873b557ea1eee2f62246eca3fb99dd596cfe8e9326734d,aa01ee53a14b6593e854cae9dcab8ce870208e672f97c9a5af77b8ceb6f374ab,ac82ec0a3b18bdc14899355f73015b5ee14914d5c9b3420a677a2d6984ed2fcc,34817b5f81e81a90f530e5d34ca84dce8f3e00310bcf5ef4f7e49d718076648d,504c9470799b524231f6f434cedfd95ed386638c7203115b2101ff87dfea335f,70160d4668ed2e238f86104d92085d043548ee472850748c966c671643cf16cd,1849d742849674848da9fea376624a896005db11f000e227336581d4ea0ea771,66cd1e130746c8878163d43b63d38e53756c8a3949e1cfb032cfd869d2608907,e8429c121da99dc09ab07677284ebd26fb2236a71225563692945d25feac7207,119f16b03d9dbff971eee24d21d7a5c330bea3df2c659d5240d0e69805c4b665,24083b95bcafd0ea6cbb6ba0935b220d86e7c7be741225dd1e07d1b7525a6257,3283367deb647fbb7ea52205762909109061192b555fe032bd1f92ff1b6807c5
"1","1010001","0","1","0","1","0","0","4","0","3","0"
"0","1010002","0","2","vo_minigame_1005","1","0","vo_minigame_1005_nikki01_000","2","0","0","0"
"0","1010003","202","3","0","1","0","0","1","1","0","1.418"
"1.858","1010004","0","4","0","1","0","0","4","0","1","0"
"0","1010005","316","5","0","1","0","0","1","2","0","2.536"
"3.484","1010006","0","6","0","1","0","0","4","0","1","0"
"0","1010007","0","7","vo_minigame_1005","1","0","vo_minigame_1005_nikki01_001","2","0","0","0"
"0","1010008","121","8","0","1","0","0","1","3","0","1.131"
"1.407","1010009","0","9","0","1","0","0","4","0","1","0"
"0","1010010","276","10","0","1","121","0","1","3","0","1.043"
"1.719","1010011","0","11","0","1","0","0","4","0","1","0"
"0","1010012","389","12","0","1","276","0","1","3","0","0.69"
"0.69","1010013","0","13","0","1","0","0","4","0","1","0"
"0","1010014","224","14","0","1","0","0","1","4","0","1.694"
"2.204","1010015","0","15","0","1","0","0","4","0","1","0"
"0","1010016","384","16","0","1","224","0","1","4","0","1.298"
"1.298","1010017","0","17","0","1","0","0","4","0","1","0"
"0","1010018","131","18","0","1","0","0","1","5","0","1.118"
"1.199","1010019","0","19","0","1","0","0","4","0","1","0"
"0","1010020","244","20","0","1","131","0","1","5","0","0.958"
"1.269","1010021","0","21","0","1","0","0","4","0","1","0"
"0","1010022","394","22","0","1","244","0","1","5","0","1.373"
"1.373","1010023","0","23","0","1","0","0","4","0","1","0"
"0","1010024","25","24","0","1","0","0","1","6","0","0.193"
"0.552","1010025","0","25","0","1","0","0","4","0","1","0"
"0","1010026","368","26","0","1","25","0","1","6","0","2.64"
"3.195","1010027","0","27","0","1","0","0","4","0","1","0"
"0","1010028","65","28","0","1","0","0","1","7","0","0.599"
"0.929","1010029","0","29","0","1","0","0","4","0","1","0"
"0","1010030","252","30","0","1","65","0","1","7","0","1.302"
"2.395","1010031","0","31","0","1","0","0","4","0","1","0"
"0","1010032","0","32","vo_minigame_1005","1","0","vo_minigame_1005_nikki01_002","2","0","0","0"
