1bb36489e7e860435fa4a380cca70f71f87a2082647128d074a022cdd61482aa,79184ac2271545dbd492126f56c59d4983a2d39b078b1badfcfe09a8eca965d7,3fdaaf950c7ee782e8da52029cf8a59baf60dba4b51d19578f4b672fc4782274,ecd475f4e61fa7891b95d5d3a81024b3bc6dea23fb9020cefa016633c8f67b5e
"1","バトルの残り時間が0:05以上で勝利","10104001","4001"
"1","バトルの残り時間が0:10以上で勝利","10109001","9001"
"1","バトルの残り時間が0:15以上で勝利","10114001","14001"
"1","バトルの残り時間が0:20以上で勝利","10119001","19001"
"1","バトルの残り時間が0:25以上で勝利","10124001","24001"
"1","バトルの残り時間が0:30以上で勝利","10129001","29001"
"1","バトルの残り時間が0:35以上で勝利","10134001","34001"
"1","バトルの残り時間が0:40以上で勝利","10139001","39001"
"1","バトルの残り時間が0:45以上で勝利","10144001","44001"
"1","バトルの残り時間が0:50以上で勝利","10149001","49001"
"1","バトルの残り時間が0:55以上で勝利","10154001","54001"
"1","バトルの残り時間が1:00以上で勝利","10159001","59001"
"1","バトルの残り時間が1:05以上で勝利","10164001","64001"
"1","バトルの残り時間が1:10以上で勝利","10169001","69001"
"1","バトルの残り時間が1:15以上で勝利","10174001","74001"
"1","バトルの残り時間が1:20以上で勝利","10179001","79001"
"2","戦闘不能になったキャラが0人以下で勝利","10200000","0"
"2","戦闘不能になったキャラが1人以下で勝利","10200001","1"
"2","戦闘不能になったキャラが2人以下で勝利","10200002","2"
"2","戦闘不能になったキャラが3人以下で勝利","10200003","3"
"2","戦闘不能になったキャラが4人以下で勝利","10200004","4"
"3","物理タイプキャラを1人以上編成して勝利","10300001","1"
"3","物理タイプキャラを2人以上編成して勝利","10300002","2"
"3","物理タイプキャラを3人以上編成して勝利","10300003","3"
"3","物理タイプキャラを4人以上編成して勝利","10300004","4"
"3","物理タイプキャラを5人編成して勝利","10300005","5"
"4","魔法タイプキャラを1人以上編成して勝利","10400001","1"
"4","魔法タイプキャラを2人以上編成して勝利","10400002","2"
"4","魔法タイプキャラを3人以上編成して勝利","10400003","3"
"4","魔法タイプキャラを4人以上編成して勝利","10400004","4"
"4","魔法タイプキャラを5人編成して勝利","10400005","5"
"5","タンクキャラを1人以上編成して勝利","10500001","1"
"5","タンクキャラを2人以上編成して勝利","10500002","2"
"5","タンクキャラを3人以上編成して勝利","10500003","3"
"5","タンクキャラを4人以上編成して勝利","10500004","4"
"5","タンクキャラを5人編成して勝利","10500005","5"
"6","ヒーラーキャラを1人以上編成して勝利","10600001","1"
"6","ヒーラーキャラを2人以上編成して勝利","10600002","2"
"6","ヒーラーキャラを3人以上編成して勝利","10600003","3"
"6","ヒーラーキャラを4人以上編成して勝利","10600004","4"
"6","ヒーラーキャラを5人編成して勝利","10600005","5"
"7","ブースターキャラを1人以上編成して勝利","10700001","1"
"7","ブースターキャラを2人以上編成して勝利","10700002","2"
"7","ブースターキャラを3人以上編成して勝利","10700003","3"
"7","ブースターキャラを4人以上編成して勝利","10700004","4"
"7","ブースターキャラを5人編成して勝利","10700005","5"
"8","バッファーキャラを1人以上編成して勝利","10800001","1"
"8","バッファーキャラを2人以上編成して勝利","10800002","2"
"8","バッファーキャラを3人以上編成して勝利","10800003","3"
"8","バッファーキャラを4人以上編成して勝利","10800004","4"
"8","バッファーキャラを5人編成して勝利","10800005","5"
"9","デバッファーキャラを1人以上編成して勝利","10900001","1"
"9","デバッファーキャラを2人以上編成して勝利","10900002","2"
"9","デバッファーキャラを3人以上編成して勝利","10900003","3"
"9","デバッファーキャラを4人以上編成して勝利","10900004","4"
"9","デバッファーキャラを5人編成して勝利","10900005","5"
"10","ジャマーキャラを1人以上編成して勝利","11000001","1"
"10","ジャマーキャラを2人以上編成して勝利","11000002","2"
"10","ジャマーキャラを3人以上編成して勝利","11000003","3"
"10","ジャマーキャラを4人以上編成して勝利","11000004","4"
"10","ジャマーキャラを5人編成して勝利","11000005","5"
"11","アタッカーキャラを1人以上編成して勝利","11100001","1"
"11","アタッカーキャラを2人以上編成して勝利","11100002","2"
"11","アタッカーキャラを3人以上編成して勝利","11100003","3"
"11","アタッカーキャラを4人以上編成して勝利","11100004","4"
"11","アタッカーキャラを5人編成して勝利","11100005","5"
"12","ブレイカーキャラを1人以上編成して勝利","11200001","1"
"12","ブレイカーキャラを2人以上編成して勝利","11200002","2"
"12","ブレイカーキャラを3人以上編成して勝利","11200003","3"
"12","ブレイカーキャラを4人以上編成して勝利","11200004","4"
"12","ブレイカーキャラを5人編成して勝利","11200005","5"
"13","火属性キャラを1人以上編成して勝利","11300001","1"
"13","火属性キャラを2人以上編成して勝利","11300002","2"
"13","火属性キャラを3人以上編成して勝利","11300003","3"
"13","火属性キャラを4人以上編成して勝利","11300004","4"
"13","火属性キャラを5人編成して勝利","11300005","5"
"14","水属性キャラを1人以上編成して勝利","11400001","1"
"14","水属性キャラを2人以上編成して勝利","11400002","2"
"14","水属性キャラを3人以上編成して勝利","11400003","3"
"14","水属性キャラを4人以上編成して勝利","11400004","4"
"14","水属性キャラを5人編成して勝利","11400005","5"
"15","風属性キャラを1人以上編成して勝利","11500001","1"
"15","風属性キャラを2人以上編成して勝利","11500002","2"
"15","風属性キャラを3人以上編成して勝利","11500003","3"
"15","風属性キャラを4人以上編成して勝利","11500004","4"
"15","風属性キャラを5人編成して勝利","11500005","5"
"16","光属性キャラを1人以上編成して勝利","11600001","1"
"16","光属性キャラを2人以上編成して勝利","11600002","2"
"16","光属性キャラを3人以上編成して勝利","11600003","3"
"16","光属性キャラを4人以上編成して勝利","11600004","4"
"16","光属性キャラを5人編成して勝利","11600005","5"
"17","闇属性キャラを1人以上編成して勝利","11700001","1"
"17","闇属性キャラを2人以上編成して勝利","11700002","2"
"17","闇属性キャラを3人以上編成して勝利","11700003","3"
"17","闇属性キャラを4人以上編成して勝利","11700004","4"
"17","闇属性キャラを5人編成して勝利","11700005","5"
