56c4336f8dbf4bc1591ebe397a3318a090fea6720ef09a71ab54d07902b15b95,21874119188c5d7154effcc2c7577e7bd114f1efb7a7127adb1ac0feea99d91e,024950c95d846a365efcaa80f6709254592ef06e7ea480a3479401bbeb67ab6f,3b2bc949c4afe42a19f944a125d2a9d9f6153e2fc8a3deceff4473d04508a6d7,271c02b93d4c312317f66eae81facd9cf8bc59dcf14bfd91343ff2441323c466,7acc55d9987bf6d8dba3deceff4400726563d0b94d5b92faba740b5921cd455f,e3d90411789a3674a611c192e9ad5095f3d9fa75cd3ec5d6a625acfa1ac7894c,0cf05e5d69c072b815f0462b2ec407665ce2d4b5e74cc09993496a704a4412c1,9a863683baebf234480cbbe53a55b1048d5f80d2daf0cadb37dbaa5c4cb1a516,f0aa892b5962ccb903a693397cf9abc2b98057ce0008922c06964fec5e693871,d68421fccfd75308bfca493166e0ddf0971535ab90a35eed9e82c11328e059cc,64564e41562d4ab1b460cf897fd93ad6116006ff5d0006fed508a48cd99ba8d3,4e9ca6427aea709387b05486f87ccbd0180810cb644a87dff6b9745437592198,9929ac1dbc7e447b6cd3e48aaa84ff239d79f60d02ea32b2aa53022c3e6c7260,c2b91f847919303d8039fd7bd73f6a1e252c3911586c60aa5424d94d5393c748,adf6a22e5723b9cf7f5d4f25d0803b557554d0800f1c18a8aae5166260b8528c,9e481d751fc88e5bc9e53bfae5835a737099b22cb8e8b699265dbf706755e560,68d8c5e7b8e46951db60db66fec5335a14b3ca24e3b0854ec3c1f8e0eb268579,b5e982f4cd6186aa64876019082451827dd07f0d51fb158ff903eceba1357229,5d737e4de0b9875c836db16c8dba66a79a4c34294b97e9e348422fa0ae41d8e0,ab7f9874505a29ba807c1e2eef1a5134897cca3fc52b6e70bde2a12df6a18a84
"SummerEnemyC","1000","SpeedTerritoryA","NONE","SummerEnemyA","AccelBoardA","0","0","0","0","1000","BeachJumpOverTrap","3100","NONE","NONE","0","1800","NONE","NONE","2500","600"
"SpeedTerritoryA","1001","WaterMelon","NONE","SummerEnemyB","AccelBoardA","0","0","0","0","800","AccelBoardA","3000","NONE","NONE","0","1300","NONE","NONE","2000","500"
"SpeedTerritoryA_NoColl","1002","EnemyB_NoColl","NONE","Balloon","SummerEnemyA_NoColl","0","0","0","0","1000","BeachTrap_NoCall","2000","NONE","NONE","0","1300","NONE","NONE","1600","400"
"EnemyB","1003","BeachJumpOverTrap","NONE","BeachJumpOverTrap","AccelBoardA","0","0","0","0","1500","AccelBoardA","3300","NONE","NONE","0","2300","NONE","NONE","3000","700"
"BeachJumpOverTrap","1004","SpeedTerritoryA","NONE","BeachJumpOverTrap","SummerEnemyA","0","0","0","0","1300","NONE","0","NONE","NONE","0","1900","NONE","NONE","2700","800"
"SpeedTerritoryA","1005","AccelBoardA","NONE","BeachJumpBoard","SummerJumpOverEnemyC","0","0","0","0","1500","SummerEnemyB","3300","NONE","NONE","0","2000","NONE","NONE","2600","300"
"BeachTrap","1006","BeachJumpOverTrap","BeachTrap","SummerEnemyA","BeachTrap","3700","0","0","0","1300","AccelBoardA","3000","NONE","NONE","0","1800","NONE","NONE","2500","700"
"BeachJumpOverTrap","1007","SummerEnemyB","NONE","AccelBoardA","SummerEnemyB","0","0","0","0","1300","BeachJumpOverTrap","3100","NONE","NONE","0","1800","NONE","NONE","2400","500"
"SummerEnemyB","1008","AccelBoardA","SummerEnemyB","AccelBoardA","BeachJumpBoard","3700","0","0","0","1100","BeachJumpOverTrap","3400","NONE","NONE","0","2300","NONE","NONE","2700","500"
"SummerEnemyA_NoColl","1009","BeachJumpOverTrap","SpeedTerritoryA","Balloon","BeachTrap_NoCall","3700","0","0","0","1000","BeachJumpOverTrap","3300","NONE","NONE","0","2000","NONE","NONE","2900","400"
"BeachJumpOverTrap","1010","EnemyB","NONE","BeachJumpOverTrap","SpeedTerritoryA","0","0","0","0","1400","BeachJumpOverTrap","3500","NONE","NONE","0","2200","NONE","NONE","3000","400"
"BeachJumpBoard","1011","BeachJumpOverTrap","AccelBoardA","SummerEnemyD","SpeedTerritoryA","3300","0","0","0","900","SummerEnemyA","2800","NONE","NONE","0","1500","NONE","NONE","2400","400"
"SpeedTerritoryA_NoColl","1012","BeachJumpBoard","NONE","Balloon","SpeedTerritoryA_NoColl","0","0","0","0","1200","EnemyB","3750","NONE","NONE","0","2200","NONE","NONE","2850","300"
"BeachTrap","1013","SummerEnemyD","NONE","SpeedTerritoryA","AccelBoardA","0","0","0","0","1400","BeachTrap","3300","NONE","NONE","0","2100","NONE","NONE","2600","900"
"BeachTrap","1014","SummerJumpOverEnemyB","AccelBoardA","WaterMelon","SpeedTerritoryA","3000","0","3500","0","1400","BeachJumpOverTrap","2600","NONE","NONE","0","1800","SummerJumpOverEnemyB","NONE","2200","400"
"SpeedTerritoryA_NoColl","1015","BeachTrap_NoCall","NONE","Balloon","SummerEnemyA_NoColl","0","0","0","0","1100","SummerEnemyB","3700","NONE","NONE","0","1900","NONE","NONE","2500","600"
"AccelBoardA","1016","BeachTrap","NONE","AccelBoardA","EnemyB","0","0","0","0","1400","NONE","0","NONE","NONE","0","2300","NONE","NONE","3300","600"
"WaterMelon","1017","AccelBoardA","NONE","AccelBoardA","EnemyB","0","0","0","0","1200","BeachTrap","3300","NONE","NONE","0","1600","NONE","NONE","2500","400"
"Balloon","1018","EnemyB_NoColl","EnemyB_NoColl","BeachTrap","BeachTrap","2900","0","0","0","900","SummerEnemyA_NoColl","2400","NONE","NONE","0","1100","NONE","NONE","1900","600"
"BeachTrap","1019","SummerEnemyA","BeachTrap","BeachTrap","BeachTrap","3800","0","0","0","1200","AccelBoardA","3000","NONE","NONE","0","2000","NONE","NONE","2500","500"
"BeachTrap","1020","BeachTrap","SummerEnemyD","AccelBoardA","BeachJumpBoard","3100","0","3700","0","900","BeachTrap","2700","NONE","NONE","0","1900","SummerEnemyD","NONE","2300","400"
"SummerEnemyA_NoColl","1021","BeachTrap_NoCall","NONE","EnemyB","Balloon","0","0","0","0","700","AccelBoardA","3400","NONE","NONE","0","1550","NONE","NONE","2400","400"
"BeachTrap","1022","AccelBoardA","NONE","SummerEnemyB","BeachTrap","0","0","0","0","1200","SpeedTerritoryA","3400","NONE","NONE","0","1800","NONE","NONE","2500","800"
"SummerJumpOverEnemyC","1023","WaterMelon","BeachTrap","SummerEnemyC","BeachTrap","3500","0","0","0","1000","BeachTrap","3000","NONE","NONE","0","1500","NONE","NONE","2000","500"
"SummerEnemyA_NoColl","1024","SpeedTerritoryA_NoColl","BeachTrap","SummerEnemyB","Balloon","3200","0","3700","0","600","EnemyB_NoColl","2300","NONE","NONE","0","1300","SummerJumpOverEnemyC","NONE","1800","400"
"AccelBoardA","1025","AccelBoardA","NONE","EnemyB","AccelBoardA","0","0","0","0","1300","AccelBoardA","3400","NONE","NONE","0","2000","NONE","NONE","2700","900"
"WaterMelon","1026","BeachJumpBoard","NONE","EnemyB","AccelBoardA","0","0","0","0","800","NONE","0","NONE","NONE","0","1500","NONE","NONE","2500","400"
"Balloon","1027","EnemyB_NoColl","BeachJumpBoard","SpeedTerritoryA","BeachTrap","3100","0","0","0","630","SummerEnemyA_NoColl","2600","NONE","NONE","0","700","NONE","NONE","1700","400"
"SummerEnemyD","1028","BeachTrap","NONE","SpeedTerritoryA","AccelBoardA","0","0","0","0","1400","AccelBoardA","3200","NONE","NONE","0","2300","NONE","NONE","2700","600"
"SpeedTerritoryA","1029","WarpGateA","NONE","SummerEnemyC","BeachTrap","0","0","0","0","1000","NONE","0","NONE","NONE","0","1700","NONE","NONE","2500","500"
"AccelBoardA","1030","BeachTrap","SpeedTerritoryA","WaterMelon","AccelBoardA","3500","0","0","0","1500","BeachTrap","2800","NONE","NONE","0","2000","NONE","NONE","2500","500"
"SpeedTerritoryA_NoColl","1031","BeachTrap","AccelBoardA","Balloon","SpeedTerritoryA_NoColl","3500","0","0","0","1200","SummerEnemyD","3200","NONE","NONE","0","2200","NONE","NONE","2900","350"
"SummerEnemyA","1032","NONE","NONE","AccelBoardA","SummerEnemyA","0","0","0","0","1500","NONE","0","NONE","NONE","0","3000","NONE","NONE","0","700"
"SummerEnemyA","1033","SpeedTerritoryA","NONE","BeachTrap","AccelBoardA","0","0","0","0","1400","NONE","0","NONE","NONE","0","2200","NONE","NONE","3100","700"
"SummerJumpOverEnemyC","1034","SummerJumpOverEnemyD","SpeedTerritoryB","BeachTrap","BeachJumpOverTrap","3500","0","0","0","1000","SummerJumpOverEnemyA","3000","NONE","NONE","0","2000","NONE","NONE","2500","500"
"BeachTrap","1035","Balloon","BeachTrap_NoCall","BeachJumpOverTrap","SummerEnemyC","2700","0","3100","0","800","EnemyB_NoColl","2300","NONE","NONE","0","1200","EnemyB_NoColl","NONE","1500","400"
"BeachTrap","1036","NONE","NONE","AccelBoardA","SpeedTerritoryA","0","0","0","0","1200","NONE","0","NONE","NONE","0","2700","NONE","NONE","0","500"
"BeachTrap","1037","AccelBoardA","NONE","SummerEnemyD","AccelBoardA","0","0","0","0","1000","NONE","0","NONE","NONE","0","2000","NONE","NONE","3000","500"
"AccelBoardA","1038","EnemyB","AccelBoardA","SpeedTerritoryB","WaterMelon","3500","0","0","0","1000","AccelBoardA","3000","NONE","NONE","0","2200","NONE","NONE","2700","500"
"WarpGateA","1039","NONE","NONE","SpeedTerritoryA","BeachTrap","0","0","0","0","1700","NONE","3100","NONE","NONE","0","2500","NONE","NONE","2400","800"
"SummerJumpOverEnemyA","1040","SummerJumpOverEnemyA","NONE","EnemyB","SummerEnemyC","0","0","0","0","1000","WarpGateA","2500","NONE","NONE","0","1400","NONE","NONE","1800","500"
"AccelBoardA","1041","SummerEnemyC","NONE","BeachTrap","BeachTrap","0","0","0","0","1500","AccelBoardA","3300","NONE","NONE","0","2000","NONE","NONE","2800","1000"
"AccelBoardA","1042","WaterMelon","AccelBoardA","BeachTrap","BeachTrap","3300","0","0","0","900","SummerJumpOverEnemyA","2700","NONE","NONE","0","1300","NONE","NONE","1800","500"
"AccelBoardA","1043","SummerEnemyC","NONE","AccelBoardA","SummerEnemyB","0","0","0","0","1100","BeachTrap","2700","NONE","NONE","0","1500","NONE","NONE","2200","500"
"BeachJumpBoard","1044","SpeedTerritoryB","NONE","AccelBoardA","SummerEnemyB","0","0","0","0","1400","NONE","0","NONE","NONE","0","2300","NONE","NONE","3300","500"
"AccelBoardA","1045","AccelBoardA","NONE","EnemyB","AccelBoardA","0","0","0","0","1900","NONE","0","NONE","NONE","0","2300","NONE","NONE","2700","1280"
"AccelBoardA","1046","EnemyB","NONE","AccelBoardA","AccelBoardA","0","0","0","0","900","BeachJumpBoard","2500","NONE","NONE","0","1300","NONE","NONE","2000","400"
"WarpGateA","1047","NONE","NONE","SpeedTerritoryB","AccelBoardA","0","0","0","0","1500","NONE","0","NONE","NONE","0","2400","NONE","NONE","0","700"
"BeachTrap","1048","BeachTrap","NONE","SummerEnemyD","AccelBoardA","0","0","0","0","1600","NONE","0","NONE","NONE","0","2500","NONE","NONE","3100","550"
"AccelBoardA","1049","BeachJumpOverTrap","BeachTrap","SpeedTerritoryB","WaterMelon","3500","0","0","0","1000","BeachTrap","3000","NONE","NONE","0","2000","NONE","NONE","2500","500"
"BeachJumpOverTrap","1050","BeachJumpOverTrap","BeachJumpOverTrap","BeachJumpOverTrap","BeachJumpOverTrap","3600","0","0","0","1200","BeachJumpOverTrap","3000","NONE","NONE","0","1800","NONE","NONE","2400","600"
"BeachJumpBoard","1051","BeachJumpBoard","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1300","NONE","0","NONE","NONE","0","2200","NONE","NONE","3000","500"
"BeachJumpBoard","1052","SpeedTerritoryA","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1200","NONE","0","NONE","NONE","0","2100","NONE","NONE","3500","300"
"BeachJumpOverTrap","1053","BeachTrap","BeachTrap","BeachJumpOverTrap","BeachJumpOverTrap","3600","0","0","0","1200","BeachTrap","3000","NONE","NONE","0","1800","NONE","NONE","2400","600"
"NONE","1054","NONE","NONE","BeachJumpBoard","NONE","0","0","0","0","0","NONE","0","NONE","NONE","0","0","NONE","NONE","0","500"
"BeachJumpBoard","1055","EnemyB","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1200","NONE","0","NONE","NONE","0","2100","NONE","NONE","3500","300"
"BeachJumpOverTrap","1056","BeachJumpOverTrap","BeachTrap","BeachJumpOverTrap","BeachJumpOverTrap","3600","0","0","0","1200","BeachJumpOverTrap","3000","NONE","NONE","0","1800","NONE","NONE","2400","600"
"BeachJumpBoard","1057","NONE","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1500","NONE","0","NONE","NONE","0","2500","NONE","NONE","0","500"
